lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1	0	0	0	0.9982423	1.0002388	2.2886983e-06	-1.7113332e-09	4.5577725e-08	-1.1218461e-08	1.1445141e-06	-3.3484821e-08	3.5411893e-08	-3.4006515e-08	-1.9250395e-09	-1.1437625e-06	2.3071363e-09	2.2904496e-06	2.2183336e-06	-0.032509093
0.004	1.004	0	0	0	1	0	0	0	0.99636111	1.0003466	4.2276315e-06	1.5970756e-09	1.0232141e-07	-1.5122221e-08	1.7969487e-06	-5.806774e-08	8.255368e-08	-6.0486619e-08	-4.8602976e-09	-2.0065733e-06	8.8733342e-09	4.232282e-06	4.2008293e-06	-0.0074872604
0.006	1.006	0	0	0	1	0	0	0	0.99441499	1.0003815	6.0276939e-06	9.5345881e-09	1.6425165e-07	-1.2442328e-08	2.2122008e-06	-7.8003031e-08	1.363743e-07	-8.2275048e-08	-7.5091955e-09	-2.7441285e-06	1.9110453e-08	6.0350396e-06	6.0207375e-06	-0.0023754718
0.008	1.008	0	0	0	1	0	0	0	0.99244819	1.0003878	7.8522207e-06	1.9134964e-08	2.2702053e-07	-6.7224054e-09	2.5847829e-06	-9.6968598e-08	1.9225664e-07	-1.027297e-07	-9.7172594e-09	-3.4757621e-06	3.2956284e-08	7.861808e-06	7.8424034e-06	-0.0024743188
0.01	1.01	0	0	0	1	0	0	0	0.99046849	1.0003732	9.712594e-06	2.9409531e-08	2.9003602e-07	5.8414957e-10	2.9466114e-06	-1.1567424e-07	2.4908337e-07	-1.2262676e-07	-1.1626874e-08	-4.2158595e-06	5.0480067e-08	9.7241344e-06	9.6984415e-06	-0.0026491766
0.012	1.012	0	0	0	1	0	0	0	0.98847792	1.0003397	1.1603151e-05	3.9986465e-08	3.5322274e-07	8.7812058e-09	3.3053546e-06	-1.3433414e-07	3.0640261e-07	-1.4223519e-07	-1.3329046e-08	-4.9650589e-06	7.175005e-08	1.1616451e-05	1.158536e-05	-0.0026836278
0.014	1.014	0	0	0	1	0	0	0	0.98647725	1.0002879	1.3517761e-05	5.0722784e-08	4.1657924e-07	1.7512045e-08	3.6636489e-06	-1.5303539e-07	3.6395968e-07	-1.6168107e-07	-1.4880279e-08	-5.7221764e-06	9.6821508e-08	1.3532682e-05	1.3497099e-05	-0.0026363616
0.016	1.016	0	0	0	1	0	0	0	0.98446681	1.0002183	1.5451661e-05	6.1560772e-08	4.8010641e-07	2.6581366e-08	4.0226362e-06	-1.7181885e-07	4.2158766e-07	-1.810333e-07	-1.6317662e-08	-6.4859932e-06	1.2573845e-07	1.5468103e-05	1.5428732e-05	-0.0025518207
0.018	1.018	0	0	0	1	0	0	0	0.98244674	1.0001308	1.7401359e-05	7.2473885e-08	5.4379655e-07	3.5874948e-08	4.3828988e-06	-1.9070531e-07	4.7916803e-07	-2.0033305e-07	-1.7666746e-08	-7.2555303e-06	1.5853644e-07	1.7419245e-05	1.737661e-05	-0.0024535901
0.02	1.02	0	0	0	1	0	0	0	0.98041711	1.0000255	1.9364307e-05	8.3446754e-08	6.0763441e-07	4.532182e-08	4.7447739e-06	-2.0970599e-07	5.3661221e-07	-2.1960633e-07	-1.8945796e-08	-8.0300451e-06	1.9524489e-07	1.9383579e-05	1.933807e-05	-0.0023533088
