E11	E22	P11	P12	P21	P22	S11	S12	S21	S22
-9.99500000000001e-04	-9.99500000000001e-04	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
-9.95000000000000e-03	-9.95000000000000e-03	-1.42329354529571e-03	4.21655785443170e-07	7.90871287638454e-07	-7.59484656250675e-04	-0.00112538269691506	4.25914934791080e-07	7.98859886503489e-07	-7.67156218435026e-04
-1.98000000000000e-02	-1.98000000000000e-02	-2.56264533171642e-03	6.69100977495860e-06	1.04437630419820e-05	-1.15528429079083e-03	-0.0027982051076442	6.82756099485571e-06	1.06569010632470e-05	-1.17886152121513e-03
-2.95500000000000e-02	-2.95500000000000e-02	-3.56764429170180e-03	9.82633241211064e-05	5.17001323052324e-05	-1.15061525582969e-03	-0.0043943764864681	1.01302396001141e-04	5.32991054693117e-05	-1.18620129466978e-03
-3.92000000000000e-02	-3.92000000000000e-02	-4.67558761676337e-03	1.44716718447784e-04	5.63569117895044e-05	-1.19283258437049e-03	-0.00577311180879455	1.50746581716442e-04	5.87051164474004e-05	-1.24253394205259e-03
-4.87500000000000e-02	-4.87500000000000e-02	-5.82975673229452e-03	2.05435889021795e-04	6.66490740567712e-05	-1.28679544666043e-03	-0.0070528302677841	2.16248304233468e-04	7.01569200597591e-05	-1.35452152280046e-03
-5.82000000000000e-02	-5.82000000000000e-02	-7.02952158392147e-03	3.64589507011745e-04	1.22374512786515e-04	-1.48534259381457e-03	-0.00832167680909835	3.87861177672070e-04	1.30185651900547e-04	-1.58015169554742e-03
-6.75500000000000e-02	-6.75500000000000e-02	-8.25180264987110e-03	4.58976665284544e-04	1.91980031126549e-04	-1.70473731368312e-03	-0.0095479581709174	4.93523296004887e-04	2.06430140996289e-04	-1.83305087492808e-03
-7.68000000000000e-02	-7.68000000000000e-02	-8.46491603140622e-03	4.94027983490156e-04	3.78986139419191e-04	-1.81752942094078e-03	-0.0106680534824081	5.36986938576256e-04	4.11941455890425e-04	-1.97557545754432e-03
-8.59500000000000e-02	-8.59500000000000e-02	-5.02848992326330e-03	1.35957609239229e-04	9.20949142241412e-04	-1.52633732700281e-03	-0.0117132225027583	1.49403966196955e-04	1.01203202444111e-03	-1.67729376593715e-03
-9.50000000000000e-02	-9.50000000000000e-02	-5.13317153146475e-03	2.06675193765987e-04	1.56680670343546e-03	-1.71657660375520e-03	-0.0127774661510567	2.29639104184430e-04	1.74089633715051e-03	-1.90730733750578e-03
-1.03950000000000e-01	-1.03950000000000e-01	-4.39757050506519e-03	7.52005634118142e-04	2.73890463768402e-03	-1.69109275800140e-03	-0.0138648468125533	8.44950150694542e-04	3.07742094121800e-03	-1.90010422247348e-03
-1.12800000000000e-01	-1.12800000000000e-01	-4.07832284241255e-03	7.73056439989278e-04	3.26603505523219e-03	-1.88487703580197e-03	-0.0149580679322371	8.78473227260543e-04	3.71140347185476e-03	-2.14190572250224e-03
-1.21550000000000e-01	-1.21550000000000e-01	-3.54826642024713e-03	6.69749769467491e-04	3.70867456729286e-03	-2.15696288434614e-03	-0.0160369709923948	7.69827321227001e-04	4.26284433022168e-03	-2.47926768315649e-03
-1.30200000000000e-01	-1.30200000000000e-01	-2.97510621073881e-03	5.11280492806817e-04	4.07734242182913e-03	-2.31489888349708e-03	-0.0170676496743563	5.94512200938159e-04	4.74109583933620e-03	-2.69174288778730e-03
-1.38750000000000e-01	-1.38750000000000e-01	-2.50007848249403e-03	2.02040891493821e-04	4.47133217020379e-03	-2.59689885609824e-03	-0.0180001397172565	2.37695166463319e-04	5.26039078847505e-03	-3.05517512482146e-03
-1.47200000000000e-01	-1.47200000000000e-01	-2.08764133501914e-03	-1.50562267341997e-04	4.82991507085116e-03	-2.90790874038462e-03	-0.0187779329238714	-1.79240794454758e-04	5.74989889387042e-03	-3.46179611950550e-03
-1.55550000000000e-01	-1.55550000000000e-01	-1.69036661680775e-03	-5.35400039906172e-04	5.19496904938258e-03	-3.26546382458332e-03	-0.0193520409139574	-6.45060289043581e-04	6.25899885467780e-03	-3.93429376455822e-03
-1.63800000000000e-01	-1.63800000000000e-01	-1.25998083895638e-03	-9.79978770054044e-04	5.55402483046931e-03	-3.61774196723466e-03	-0.0194710247196429	-1.19509606104152e-03	6.77320101276746e-03	-4.41188044784715e-03
-1.71950000000000e-01	-1.71950000000000e-01	-8.93501545374423e-04	-1.55910472813732e-03	5.84778334153223e-03	-3.92831007461808e-03	-0.0192170947262526	-1.92482065202139e-03	7.21948560682992e-03	-4.84976552421985e-03
-1.80000000000000e-01	-1.80000000000000e-01	-4.66421727295500e-04	-2.14300821914752e-03	6.18321735280090e-03	-4.23975868913835e-03	-0.0185908851788817	-2.67876027393440e-03	7.72902169100113e-03	-5.29969836142294e-03

2.31831759894093e-04	-1.89506934773256e-03	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
