E11	E22	P11	P12	P21	P22	S11	S12	S21	S22
-9.99500000000001e-04	-9.99500000000001e-04	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
-9.95000000000000e-03	-9.95000000000000e-03	-5.49168800694132e-03	1.90599675623732e-05	3.59179665184365e-05	-5.12671582946669e-03	-0.00270091847259613	1.92524924872457e-05	3.62807742610470e-05	-5.17850083784514e-03
-1.98000000000000e-02	-1.98000000000000e-02	-9.39392166181543e-03	1.38262431742448e-04	2.16465379461996e-04	-6.01309651745615e-03	-0.00671569225834608	1.41084114022906e-04	2.20883040267343e-04	-6.13581277291444e-03
-2.95500000000000e-02	-2.95500000000000e-02	-1.24078734337235e-02	4.08559365725024e-04	2.80737335156223e-04	-6.50077017810516e-03	-0.0105465035675234	4.21195222396932e-04	2.89419933150746e-04	-6.70182492588161e-03
-3.92000000000000e-02	-3.92000000000000e-02	-1.51788896523153e-02	7.22263669657653e-04	4.55830884075311e-04	-7.25618480028473e-03	-0.0138554683411069	7.52357989226722e-04	4.74823837578449e-04	-7.55852583362992e-03
-4.87500000000000e-02	-4.87500000000000e-02	-1.79040626270313e-02	1.05595995377152e-03	6.69955552750566e-04	-7.73940753583959e-03	-0.0169267926426818	1.11153679344370e-03	7.05216371316385e-04	-8.14674477456799e-03
-5.82000000000000e-02	-5.82000000000000e-02	-2.03802273260714e-02	1.50941681937077e-03	1.01102669511131e-03	-8.72566512430030e-03	-0.019972024341836	1.60576257379869e-03	1.07556031394820e-03	-9.28262247265989e-03
-6.75500000000000e-02	-6.75500000000000e-02	-2.23314104295896e-02	2.07875895103089e-03	1.60908387883566e-03	-9.54100135463973e-03	-0.0229150996102018	2.23522467852784e-03	1.73019771917813e-03	-1.02591412415481e-02
-7.68000000000000e-02	-7.68000000000000e-02	-2.29676833952150e-02	2.71631179995921e-03	2.66552789230123e-03	-1.00806058604475e-02	-0.0256033283577794	2.95251282604262e-03	2.89731292641438e-03	-1.09571802830951e-02
-8.59500000000000e-02	-8.59500000000000e-02	-1.83106576313657e-02	3.62894320384956e-03	5.40756990616807e-03	-8.91622882055065e-03	-0.02811173400662	3.98784967455995e-03	5.94238451227260e-03	-9.79805364895676e-03
-9.50000000000000e-02	-9.50000000000000e-02	-1.68134847875274e-02	4.00690656890486e-03	7.03390887181103e-03	-8.72248960137800e-03	-0.0306659187625361	4.45211840989429e-03	7.81545430201225e-03	-9.69165511264223e-03
-1.03950000000000e-01	-1.03950000000000e-01	-1.51841580752615e-02	3.82216950072705e-03	8.15443580031113e-03	-8.80744352827347e-03	-0.0332756323501279	4.29457247272702e-03	9.16228741607993e-03	-9.89600396435222e-03
-1.12800000000000e-01	-1.12800000000000e-01	-1.38732260101361e-02	3.69894111195010e-03	9.24309093964246e-03	-8.90788418763911e-03	-0.035899363037369	4.20334217267057e-03	1.05035124314119e-02	-1.01225956677717e-02
-1.21550000000000e-01	-1.21550000000000e-01	-1.25456076958863e-02	3.28627987076523e-03	1.04314309179403e-02	-8.78993054036686e-03	-0.0384887303817475	3.77733318478762e-03	1.19901504803912e-02	-1.01033684372033e-02
-1.30200000000000e-01	-1.30200000000000e-01	-1.11683862385137e-02	2.83073144050285e-03	1.14735067216310e-02	-8.79578613112841e-03	-0.0409623592184552	3.29154818663122e-03	1.33412868856174e-02	-1.02276582920098e-02
-1.38750000000000e-01	-1.38750000000000e-01	-9.84019103951863e-03	1.91931589446488e-03	1.23773693826282e-02	-9.17336895212309e-03	-0.0432003353214156	2.25801869937044e-03	1.45616110383861e-02	-1.07921987672036e-02
-1.47200000000000e-01	-1.47200000000000e-01	-8.00113683446752e-03	1.44019463563549e-03	1.33333664740002e-02	-9.11312153264141e-03	-0.0450670390172912	1.71451742337558e-03	1.58730553261907e-02	-1.08489542055255e-02
-1.55550000000000e-01	-1.55550000000000e-01	-6.30627131571151e-03	7.38500953085869e-04	1.41140098642265e-02	-9.28051992558933e-03	-0.0464448981934978	8.89760184440807e-04	1.70048311617187e-02	-1.11813493079390e-02
-1.63800000000000e-01	-1.63800000000000e-01	-4.56241067871203e-03	-3.48222484400792e-04	1.48485005265972e-02	-9.63794172795399e-03	-0.0467304593271431	-4.24661566342429e-04	1.81079274714600e-02	-1.17535874731146e-02
-1.71950000000000e-01	-1.71950000000000e-01	-2.71834590849977e-03	-1.82916536910690e-03	1.56331190313023e-02	-1.01430703892878e-02	-0.0461210273430062	-2.25822885074926e-03	1.93001469522250e-02	-1.25223091225775e-02
-1.80000000000000e-01	-1.80000000000000e-01	-1.66108055758995e-03	-3.87379502347616e-03	1.62691337839883e-02	-1.05677096836528e-02	-0.044618124429316	-4.84224377934521e-03	2.03364172299854e-02	-1.32096371045660e-02

2.31831759894093e-04	-1.89506934773256e-03	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
2.32073560682269e-03	-1.87887785391702e-02	-2.07580201379063e-03	-6.47607720893204e-14	2.71047416499335e-12	-5.21264870672684e-03	-2.07100133136753e-03	-6.46110006283572e-14	2.76288240839930e-12	-5.31343762614917e-03
4.64684456449374e-03	-3.72177461046618e-02	-2.29510865931354e-03	3.46603510409796e-05	3.01947289453537e-06	-6.81802633865981e-03	-2.28451741301753e-03	3.45004037926906e-05	3.13854087485089e-06	-7.08688406788515e-03
6.97832687301315e-03	-5.52869026964748e-02	-1.78127870348146e-03	4.80771951801855e-05	6.60966396100268e-06	-7.89107335087755e-03	-1.76897697790158e-03	4.77451682713132e-05	7.00848942522271e-06	-8.36721873601763e-03
9.31518253238092e-03	-7.29962483146092e-02	-7.07942560960286e-04	6.14164735930239e-05	5.60813169877710e-06	-9.52490198528971e-03	-7.01438684190964e-04	6.08522397160361e-05	6.06858390077350e-06	-1.03069382013584e-02
