E11	E22	P11	P12	P21	P22	S11	S12	S21	S22
-9.99500000000001e-04	-9.99500000000001e-04	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
-9.95000000000000e-03	-9.95000000000000e-03	-6.76880955276374e-04	2.42154876701600e-10	1.06917720896821e-09	-1.99550958169921e-04	-6.83718136642802e-04	2.44600885557171e-10	1.07997697875577e-09	-2.01566624414062e-04
-1.98000000000000e-02	-1.98000000000000e-02	-1.37890562813984e-03	-1.95743544002354e-08	-3.62012784407352e-07	-2.52481573304238e-04	-1.40704655932637e-03	-1.99738310206484e-08	-3.69400800415666e-07	-2.57634258473712e-04
-2.95500000000000e-02	-2.95500000000000e-02	-2.05725437020848e-03	-5.81005499330762e-07	-4.08520909799198e-06	-2.51464381758423e-04	-2.12088079402936e-03	-5.98974741578105e-07	-4.21155577112575e-06	-2.59241630678787e-04
-3.92000000000000e-02	-3.92000000000000e-02	-2.78094460166550e-03	-1.85145352541218e-05	-3.59718377458663e-05	-2.59031430380164e-04	-2.89681729340156e-03	-1.92859742230435e-05	-3.74706643186108e-05	-2.69824406646004e-04
-4.87500000000000e-02	-4.87500000000000e-02	-3.50572057848199e-03	-7.08337098805302e-05	-1.13737821418890e-04	-3.42203528848258e-04	-3.69023218787578e-03	-7.45617998742423e-05	-1.19724022546200e-04	-3.60214240892903e-04
-5.82000000000000e-02	-5.82000000000000e-02	-4.20009045211372e-03	-1.59374362680140e-04	-1.97253695471627e-04	-5.43643694325748e-04	-4.46818133203587e-03	-1.69547194340575e-04	-2.09844356884709e-04	-5.78344355665690e-04
-6.75500000000000e-02	-6.75500000000000e-02	-4.48605753115857e-03	-1.93341619360774e-04	-3.86117248346625e-04	-7.42062403878926e-04	-0.00515539	-2.07894214366424e-04	-4.15179836931855e-04	-7.97916563310674e-04
-7.68000000000000e-02	-7.68000000000000e-02	-2.79732434960805e-03	-1.06388320738547e-04	-5.95885468726853e-04	-5.80612340174408e-04	-0.00587504	-1.15639479063638e-04	-6.47701596442232e-04	-6.31100369754792e-04
-8.59500000000000e-02	-8.59500000000000e-02	-2.48574058622172e-03	-2.77224216211514e-04	-1.35080294188741e-03	-7.88488252368182e-04	-0.00658691	-3.04641995836829e-04	-1.48439883723891e-03	-8.66470606998002e-04
-9.50000000000000e-02	-9.50000000000000e-02	-2.44742104426761e-03	-2.68512664168241e-04	-1.62469095957789e-03	-1.00323903893199e-03	-0.007291	-2.98347404631379e-04	-1.80521217730877e-03	-1.11471004325776e-03
-1.03950000000000e-01	-1.03950000000000e-01	-2.18217960302488e-03	-1.79159467862091e-04	-1.92936274789686e-03	-1.31255029293673e-03	-0.00798731	-2.01302772878754e-04	-2.16782331224367e-03	-1.47477561004127e-03
-1.12800000000000e-01	-1.12800000000000e-01	-1.78928526108879e-03	-9.51193685001346e-05	-2.21997976755887e-03	-1.53862887967507e-03	-0.00867584	-1.08090191477426e-04	-2.52270428131690e-03	-1.74844190872167e-03
-1.21550000000000e-01	-1.21550000000000e-01	-1.47317454232930e-03	1.27004488204004e-05	-2.49917096131347e-03	-1.73411376356337e-03	-0.00935659	1.45982170349430e-05	-2.87261030036031e-03	-1.99323421099238e-03
-1.30200000000000e-01	-1.30200000000000e-01	-1.11768493382382e-03	1.36732612745903e-04	-2.80333046839588e-03	-1.93827516619352e-03	-0.01002956	1.58991410169655e-04	-3.25968659115800e-03	-2.25380833278317e-03
-1.38750000000000e-01	-1.38750000000000e-01	-8.01642506627670e-04	3.76144370209361e-04	-3.08391901899658e-03	-2.23269957597977e-03	-0.01069475	4.42522788481601e-04	-3.62814002234892e-03	-2.62670538350561e-03
-1.47200000000000e-01	-1.47200000000000e-01	-5.34736929041432e-04	6.27184525836032e-04	-3.32384790066048e-03	-2.54077529411259e-03	-0.01135216	7.46648245042895e-04	-3.95696178650057e-03	-3.02473249299118e-03
-1.55550000000000e-01	-1.55550000000000e-01	-2.75137357966327e-04	9.23363994462840e-04	-3.58490545489217e-03	-2.89151785760255e-03	-0.01200179	1.11248674031668e-03	-4.31916319866526e-03	-3.48375645494283e-03
-1.63800000000000e-01	-1.63800000000000e-01	-4.26992193078311e-05	1.28514289126320e-03	-3.82610640482266e-03	-3.22387988192189e-03	-0.01264364	1.56724742836975e-03	-4.66598342051544e-03	-3.93156083161206e-03
-1.71950000000000e-01	-1.71950000000000e-01	1.84191779989222e-04	1.68827351339038e-03	-4.07563511954166e-03	-3.57432383013407e-03	-0.01327771	2.08428828813627e-03	-5.03164829573044e-03	-4.41274546930132e-03
-1.80000000000000e-01	-1.80000000000000e-01	4.35005527961544e-04	2.18258434232625e-03	-4.34402828595820e-03	-3.96254645957538e-03	-0.013904	2.72823042790781e-03	-5.43003535744775e-03	-4.95318307446923e-03

2.31831759894093e-04	-1.89506934773256e-03	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
2.32073560682269e-03	-1.87887785391702e-02	-4.09706745184950e-05	1.77880318190723e-14	-6.16325143117640e-14	-2.61756641091284e-04	-4.08759221308796e-05	1.77468936512085e-14	-6.28242068405062e-14	-2.66817824088935e-04
4.64684456449374e-03	-3.72177461046618e-02	5.58115762396297e-05	-4.66703189685150e-08	-1.99240561642602e-08	-6.70865651551680e-04	5.55540223553184e-05	-4.64549492774534e-08	-2.07097287667416e-08	-6.97320142445730e-04
6.97832687301315e-03	-5.52869026964748e-02	4.54396287924102e-04	-5.89068010290103e-07	-7.57143796591824e-08	-1.30237089601763e-03	4.51258172351489e-04	-5.84999835559045e-07	-8.02829663216614e-08	-1.38095562895647e-03
9.31518253238092e-03	-7.29962483146092e-02	8.68809504032386e-04	3.34867650133484e-08	-1.28970616598021e-08	-1.84107443231150e-03	8.60827740734276e-04	3.31791217029157e-08	-1.39559669707873e-08	-1.99223471561618e-03
1.16574115425970e-02	-9.03457829590651e-02	1.25730170129845e-03	3.85308672603308e-08	-3.64653530104224e-08	-2.42613757870636e-03	1.24289622991053e-03	3.80894017749210e-08	-4.02862375652857e-08	-2.68035125928702e-03
1.40050139036615e-02	-1.07335506629842e-01	1.66649447891384e-03	2.78733769556123e-07	1.01928641355074e-07	-3.03683327012991e-03	1.64363433009887e-03	2.74910237265776e-07	1.15019220904619e-07	-3.42685031512177e-03
1.63579896155744e-02	-1.23965419326941e-01	2.03648576878945e-03	4.31950980676289e-07	1.33923267448364e-07	-3.36487228403799e-03	2.00396868648363e-03	4.25053910337773e-07	1.54428390911248e-07	-3.88007119559111e-03
0.0187163386783356	-0.140235521050361	2.03648576878945e-03	4.31950980676289e-07	1.33923267448364e-07	-3.36487228403799e-03	0.00224729369412148	4.25053910337773e-07	1.54428390911248e-07	-0.00446705146137208
0.0210800610919451	-0.156145811800103	2.03648576878945e-03	4.31950980676289e-07	1.33923267448364e-07	-3.36487228403799e-03	0.00256899631461373	4.25053910337773e-07	1.54428390911248e-07	-0.00506909156011842
0.023449156856403	-0.171696291576165	2.03648576878945e-03	4.31950980676289e-07	1.33923267448364e-07	-3.36487228403799e-03	0.00289143024815645	4.25053910337773e-07	1.54428390911248e-07	-0.00567250025132584
0.0258236259717093	-0.18688696037855	2.03648576878945e-03	4.31950980676289e-07	1.33923267448364e-07	-3.36487228403799e-03	0.00321459549474964	4.25053910337773e-07	1.54428390911248e-07	-0.00627727753499436
0.0282034684378639	-0.201717818207256	2.03648576878945e-03	4.31950980676289e-07	1.33923267448364e-07	-3.36487228403799e-03	0.00353849205439328	4.25053910337773e-07	1.54428390911248e-07	-0.00688342341112393
0.0305886842548669	-0.216188865062283	2.03648576878945e-03	4.31950980676289e-07	1.33923267448364e-07	-3.36487228403799e-03	0.00386311992708739	4.25053910337773e-07	1.54428390911248e-07	-0.0074909378797146
