C_11	C_12	C_44	D_212	D_122	D_123	D_212313	D_212122	D_212133	D_122133	D_123231	E	G	nu
7.40504058795e-07	7.40474527676e-07	8.75619556593e-12	3.470778048e-08	3.83261094682e-13	6.9420126409e-08	3.47094352845e-08	2.39410949008e-14	2.02198452631e-14	-3.61655558774e-14	3.47099759376e-08	4.42963838709e-11	8.75619556593e-12	0.499990029863
4.62853971582e-06	4.62777165848e-06	3.42122864271e-10	2.16951382428e-07	1.49696399375e-11	4.3387895148e-07	2.16928792845e-07	9.23242690078e-13	1.00092836558e-12	-1.4122640699e-12	2.16935806805e-07	1.1520541436e-09	3.42122864271e-10	0.499958511695
1.85197090789e-05	1.85083117493e-05	5.47253034825e-09	8.67998514187e-07	2.39429406341e-10	1.73555990068e-06	8.67609178477e-07	1.46920896839e-11	1.59618142846e-11	-2.25704098325e-11	8.67721190726e-07	1.70942404223e-08	5.47253034825e-09	0.499846098584
7.41674584778e-05	7.39889352944e-05	8.74531511802e-08	3.47499176548e-06	3.82545675806e-09	6.94294434473e-06	3.46874392361e-06	2.34611212393e-10	2.54194230411e-10	-3.59481980914e-10	3.47053240254e-06	2.67677218098e-07	8.74531511802e-08	0.499397517789
0.00046737525475	0.000460516487407	3.38680650916e-06	2.18481393153e-05	1.47975044425e-07	4.34241093447e-05	2.16065722518e-05	9.05356301778e-09	9.62050699015e-09	-1.36054488333e-08	2.16754739403e-05	1.02628017801e-05	3.38680650916e-06	0.496304112306
0.00192155872351	0.00181603656582	5.25760345896e-05	8.91618548375e-05	2.28929563256e-06	0.000174128182842	8.54352251932e-05	1.37891229053e-07	1.38141121985e-07	-1.95361046391e-07	8.64860230506e-05	0.000156793652342	5.25760345896e-05	0.485883683288
0.00838282585202	0.00691584362472	0.000751719094913	0.000380856861432	3.25562154685e-05	0.00070302819643	0.000328548929911	1.69764833338e-06	1.51713034374e-06	-2.1455463074e-06	0.000342686359815	0.00213013922274	0.000751719094913	0.452055234949
0.0398879100482	0.0244850048472	0.0084370248339	0.00176452178538	0.000374890520044	0.00289851279452	0.00119378558229	1.73997676705e-06	8.40004138409e-06	-1.1879452434e-05	0.00132754543582	0.0212615836393	0.0084370248339	0.380361909772
