lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1.00066	0	0	0	0.99815398	1.0008104	1.2630132e-05	-1.7145687e-08	4.1333451e-08	-1.8584325e-08	8.4818833e-06	-1.8573742e-08	3.8332168e-08	-2.1669189e-08	-1.4883963e-09	-7.0368422e-06	1.5408434e-08	1.5430541e-05	1.5462254e-05	0.0020509968
0.004	1.004	0	0	0	1.00132	0	0	0	0.996271	1.0015764	2.5426333e-05	-4.4563495e-08	8.1208913e-08	-4.733805e-08	1.686953e-05	-2.9308769e-08	7.6834893e-08	-3.6442213e-08	-2.552745e-09	-1.409777e-05	6.1849015e-08	3.0995701e-05	3.1022924e-05	0.00087751455
0.006	1.006	0	0	0	1.00198	0	0	0	0.99435603	1.0023028	3.830993e-05	-7.814253e-08	1.2043786e-07	-8.2278967e-08	2.518018e-05	-3.1470486e-08	1.1557785e-07	-4.3072344e-08	-3.4065666e-09	-2.1162234e-05	1.3950013e-07	4.6622674e-05	4.6651126e-05	0.00060988764
0.008	1.008	0	0	0	1.00264	0	0	0	0.99241389	1.0029941	5.1246553e-05	-1.1575796e-07	1.5930243e-07	-1.2129503e-07	3.3444902e-05	-2.3501308e-08	1.5442746e-07	-4.0042976e-08	-4.2212082e-09	-2.8229078e-05	2.4845352e-07	6.2287496e-05	6.2317526e-05	0.00048188757
0.01	1.01	0	0	0	1.0033	0	0	0	0.99044711	1.0036527	6.4213713e-05	-1.562453e-07	1.9785088e-07	-1.6317237e-07	4.1691222e-05	-3.1836782e-09	1.9322112e-07	-2.5282877e-08	-5.0933166e-09	-3.5299947e-05	3.8877023e-07	7.7976857e-05	7.8006996e-05	0.00038636158
0.012	1.012	0	0	0	1.00396	0	0	0	0.98845521	1.0042779	7.7183454e-05	-1.9890808e-07	2.3607361e-07	-2.0711987e-07	4.994241e-05	3.24971e-08	2.3185879e-07	4.0522951e-09	-6.0446522e-09	-4.2373273e-05	5.604815e-07	9.3670514e-05	9.3698454e-05	0.00029818727
0.014	1.014	0	0	0	1.00462	0	0	0	0.98643388	1.0048651	9.0110031e-05	-2.4322604e-07	2.7400236e-07	-2.52462e-07	5.8222953e-05	8.743325e-08	2.7035625e-07	5.1684741e-08	-7.0159799e-09	-4.9441989e-05	7.6356405e-07	0.00010933076	0.00010935274	0.00020098905
0.016	1.016	0	0	0	1.00528	0	0	0	0.98437313	1.0054038	0.00010291404	-2.8857157e-07	3.1181415e-07	-2.9831974e-07	6.6566438e-05	1.6582202e-07	3.0892242e-07	1.2169614e-07	-7.8382133e-09	-5.6490881e-05	9.9789247e-07	0.00012488916	0.00012489991	8.61307e-05
0.018	1.018	0	0	0	1.00594	0	0	0	0.98225572	1.0058759	0.00011547025	-3.3386188e-07	3.4997357e-07	-3.4325342e-07	7.5021464e-05	2.6942787e-07	3.4805663e-07	2.1592447e-07	-8.2084218e-09	-6.3494503e-05	1.2631637e-06	0.00014023618	0.0001402347	-1.0568457e-05
0.02	1.02	0	0	0	1.0066	0	0	0	0.98006253	1.0062616	0.00012764317	-3.7747019e-07	3.8926468e-07	-3.8532171e-07	8.363892e-05	3.9221444e-07	3.8848006e-07	3.2874138e-07	-7.791316e-09	-7.0424767e-05	1.5588313e-06	0.00015525272	0.00015525187	-5.4391797e-06
