lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	0.998	0	0	0	1	0	0	0	1.0008897	0.99888789	-1.1842177e-05	5.2549136e-08	1.5158978e-07	3.9821312e-08	-3.6740901e-06	-2.0261381e-07	1.3473029e-07	-1.9706512e-07	-7.3140632e-09	5.174527e-06	1.1897707e-08	-1.1838962e-05	-1.1730157e-05	-0.0092756405
-0.004	0.996	0	0	0	1	0	0	0	1.0017581	0.99775109	-2.3028721e-05	1.3674816e-07	3.6963946e-07	1.0983662e-07	-7.2465289e-06	-3.5193565e-07	2.968595e-07	-3.9100575e-07	-1.6417356e-08	1.0097222e-05	4.6920629e-08	-2.3021825e-05	-2.25442e-05	-0.021186182
-0.006	0.994	0	0	0	1	0	0	0	1.0025698	0.99655439	-3.1540442e-05	1.9208318e-06	8.9425419e-07	1.8975475e-06	-9.1635471e-06	-3.2949026e-07	4.9793825e-07	-6.0427514e-07	-3.2523722e-08	1.3578838e-05	1.0207451e-07	-3.1527356e-05	-3.1285076e-05	-0.0077442421
-0.008	0.992	0	0	0	1	0	0	0	1.0033676	0.99534069	-3.8390055e-05	4.7783306e-06	1.3151287e-06	4.7737972e-06	-9.7692087e-06	-3.2255734e-07	6.9820688e-07	-7.9926738e-07	-4.903955e-08	1.6069434e-05	1.7206093e-07	-3.8370631e-05	-3.8316494e-05	-0.0014129013
-0.01	0.99	0	0	0	1	0	0	0	1.0041541	0.99411256	-4.490024e-05	7.6558666e-06	1.6607295e-06	7.6835296e-06	-1.0224492e-05	-3.8470688e-07	8.6824701e-07	-9.9091169e-07	-6.4372982e-08	1.8396368e-05	2.5534048e-07	-4.4875148e-05	-4.4833636e-05	-0.00092590293
-0.012	0.988	0	0	0	1	0	0	0	1.0049268	0.99286772	-5.1190554e-05	1.0464574e-05	1.9792494e-06	1.0535816e-05	-1.0595669e-05	-4.819818e-07	1.0341526e-06	-1.1827977e-06	-7.9680063e-08	2.0621968e-05	3.5139548e-07	-5.1160088e-05	-5.1116087e-05	-0.00086080322
-0.014	0.986	0	0	0	1	0	0	0	1.0056835	0.99160395	-5.7269687e-05	1.3174503e-05	2.2881576e-06	1.3299597e-05	-1.0886741e-05	-6.0568927e-07	1.202562e-06	-1.3772038e-06	-9.5414476e-08	2.2750614e-05	4.5980483e-07	-5.7234034e-05	-5.7184319e-05	-0.00086938611
-0.016	0.984	0	0	0	1	0	0	0	1.0064215	0.99031873	-6.3118347e-05	1.5760351e-05	2.5951432e-06	1.5948485e-05	-1.1089235e-05	-7.5224161e-07	1.3755792e-06	-1.5754046e-06	-1.118596e-07	2.4773147e-05	5.8013275e-07	-6.307769e-05	-6.3020325e-05	-0.00091025218
-0.018	0.982	0	0	0	1	0	0	0	1.0071374	0.98900892	-6.8695143e-05	1.8183083e-05	2.9034472e-06	1.8441974e-05	-1.1181068e-05	-9.1963112e-07	1.5536184e-06	-1.7780344e-06	-1.2909235e-07	2.6668434e-05	7.1188613e-07	-6.8649774e-05	-6.8619585e-05	-0.00043995447
-0.02	0.98	0	0	0	1	0	0	0	1.0078272	0.98767069	-7.3924192e-05	2.0424015e-05	3.2157767e-06	2.0761278e-05	-1.1104318e-05	-1.0991093e-06	1.7397494e-06	-1.9849212e-06	-1.4871385e-07	2.8392408e-05	8.5461109e-07	-7.3874153e-05	-7.3899936e-05	0.00034889278
-0.022	0.978	0	0	0	1	0	0	0	1.0084833	0.98629668	-7.8955566e-05	2.2571543e-05	3.52877e-06	2.2993166e-05	-1.1072228e-05	-1.308098e-06	1.9214224e-06	-2.1982222e-06	-1.6862757e-07	3.0065474e-05	1.0074859e-06	-7.8901905e-05	-7.8831731e-05	-0.00089017153
-0.024	0.976	0	0	0	1	0	0	0	1.0091001	0.98488173	-8.3536122e-05	2.445565e-05	3.8413314e-06	2.4965515e-05	-1.0856781e-05	-1.525194e-06	2.1065924e-06	-2.413584e-06	-1.9059006e-07	3.1527831e-05	1.169938e-06	-8.3479853e-05	-8.3411152e-05	-0.00082364245
