lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	0.99937936	0	0	0	0.99926771	1.0006448	1.2219167e-05	-6.886667e-08	5.9695543e-08	-6.6966377e-08	1.5445049e-09	4.5936422e-08	4.9629437e-08	4.7102771e-08	-1.5159349e-10	-4.07352e-06	1.217408e-08	1.2218739e-05	1.2235418e-05	0.001363173
0.004	1.004	0	0	0	0.99874681	0	0	0	0.99853528	1.0012731	2.4583722e-05	-1.3926272e-07	1.3375832e-07	-1.3510606e-07	3.0522563e-09	9.6399334e-08	1.028362e-07	1.0262326e-07	4.6487046e-11	-8.1956068e-06	4.8941671e-08	2.4582733e-05	2.4585667e-05	0.00011934376
0.006	1.006	0	0	0	0.99810548	0	0	0	0.99780105	1.0018862	3.7034772e-05	-2.0705888e-07	2.1664128e-07	-2.0039479e-07	4.6041855e-09	1.5213995e-07	1.5886395e-07	1.6623548e-07	7.5889923e-10	-1.2346712e-05	1.1051675e-07	3.7033009e-05	3.7028798e-05	-0.00011371854
0.008	1.008	0	0	0	0.99745736	0	0	0	0.99706381	1.0024849	4.9558726e-05	-2.7086481e-07	3.0525509e-07	-2.6150078e-07	6.2672253e-09	2.1413122e-07	2.1733277e-07	2.3868565e-07	2.3330478e-09	-1.6522442e-05	1.9705686e-07	4.9555823e-05	4.954593e-05	-0.00019968682
0.01	1.01	0	0	0	0.99680336	0	0	0	0.99632303	1.0030695	6.2149056e-05	-3.3030459e-07	3.9780414e-07	-3.1808845e-07	8.0798702e-09	2.8352383e-07	2.7793379e-07	3.2102589e-07	4.9529355e-09	-2.0720696e-05	3.0870047e-07	6.2144563e-05	6.212991e-05	-0.00023584707
0.012	1.012	0	0	0	0.99614354	0	0	0	0.995579	1.0036405	7.4802243e-05	-3.854345e-07	4.9327998e-07	-3.7028034e-07	1.0051766e-08	3.6158394e-07	3.4006432e-07	4.1415555e-07	8.3163731e-09	-2.4940204e-05	4.455765e-07	7.4795811e-05	7.477661e-05	-0.00025677443
0.014	1.014	0	0	0	0.99547768	0	0	0	0.99483191	1.0041976	8.7514523e-05	-4.3647792e-07	5.911108e-07	-4.1837134e-07	1.2182584e-08	4.4998382e-07	4.0319063e-07	5.1946577e-07	1.2091621e-08	-2.9179599e-05	6.0780691e-07	8.7505921e-05	8.7482011e-05	-0.00027332164
0.016	1.016	0	0	0	0.99480553	0	0	0	0.9940815	1.0047404	0.00010028072	-4.837019e-07	6.909668e-07	-4.6269125e-07	1.4473714e-08	5.5108275e-07	4.6700779e-07	6.392587e-07	1.6127457e-08	-3.3437107e-05	7.9550454e-07	0.00010026976	0.0001002408	-0.00028898536
0.018	1.018	0	0	0	0.99412665	0	0	0	0.99332722	1.0052679	0.00011309397	-5.2737201e-07	7.926797e-07	-5.0356667e-07	1.6929792e-08	6.6824215e-07	5.3135977e-07	7.7698465e-07	2.0386005e-08	-3.7710428e-05	1.0087701e-06	0.00011308048	0.00011304578	-0.00030693732
0.02	1.02	0	0	0	0.99344031	0	0	0	0.99256819	1.0057784	0.0001259447	-5.6772851e-07	8.9619296e-07	-5.4130748e-07	1.9559428e-08	8.0646677e-07	5.9618518e-07	9.3784063e-07	2.4900217e-08	-4.1996385e-05	1.2476877e-06	0.00012592845	0.00012588663	-0.00033223674
0.022	1.022	0	0	0	0.99274509	0	0	0	0.99180289	1.0062688	0.00013881768	-6.0495611e-07	1.0015095e-06	-5.7619365e-07	2.2376907e-08	9.7382217e-07	6.6150003e-07	1.130185e-06	2.9779518e-08	-4.6289944e-05	1.5123166e-06	0.00013879837	0.00013874614	-0.00037644986
0.024	1.024	0	0	0	0.99203797	0	0	0	0.99102831	1.006733	0.00015168327	-6.3911036e-07	1.1085873e-06	-6.0844338e-07	2.5404842e-08	1.1849204e-06	7.2739788e-07	1.3690403e-06	3.52711e-08	-5.0581315e-05	1.8026722e-06	0.00015166035	0.00015158831	-0.00047519737
0.026	1.026	0	0	0	0.99131078	0	0	0	0.99023654	1.0071546	0.00016446529	-6.6988537e-07	1.2169836e-06	-6.3811213e-07	2.8673697e-08	1.4708534e-06	7.9402662e-07	1.6860324e-06	4.1957964e-08	-5.4845307e-05	2.1186698e-06	0.00016443741	0.00016431014	-0.00077457439
0.028	1.028	0	0	0	0.99053343	0	0	0	0.98939874	1.0074734	0.00017688749	-6.9578446e-07	1.3241444e-06	-6.6476096e-07	3.2167348e-08	1.9110677e-06	8.6118157e-07	2.1610229e-06	5.141346e-08	-5.8990356e-05	2.4599128e-06	0.00017684974	0.00017650873	-0.0019319404
0.03	1.03	0	0	0	0.98957278	0	0	0	0.98838722	1.0074235	0.00018773054	-7.1229258e-07	1.4169325e-06	-6.8712892e-07	3.5240268e-08	2.687154e-06	9.2438385e-07	2.9734983e-06	6.7418146e-08	-6.2611066e-05	2.8247048e-06	0.00018766936	0.00018693654	-0.003920157
0.032	1.032	0	0	0	0.98820497	0	0	0	0.98698586	1.0065554	0.00019493889	-7.2018077e-07	1.4717351e-06	-7.0809927e-07	3.5623157e-08	3.7354673e-06	9.6899078e-07	4.0511698e-06	8.9267856e-08	-6.5021259e-05	3.2076589e-06	0.00019484381	0.00019441097	-0.0022264129
0.034	1.034	0	0	0	0.98656841	0	0	0	0.98532595	1.0051426	0.00019977527	-7.3142652e-07	1.5014731e-06	-7.3419121e-07	3.3287499e-08	4.6540473e-06	9.9620667e-07	4.9910827e-06	1.0904092e-07	-6.6639199e-05	3.6023487e-06	0.00019965412	0.00019954251	-0.00055934972
0.036	1.036	0	0	0	0.98483348	0	0	0	0.98357095	1.0035251	0.00020380301	-7.500237e-07	1.5236733e-06	-7.6681333e-07	2.961068e-08	5.3972573e-06	1.0161174e-06	5.7518452e-06	1.2555543e-07	-6.798606e-05	4.0058289e-06	0.00020366545	0.00020367558	4.9752139e-05
0.038	1.038	0	0	0	0.98305359	0	0	0	0.98177228	1.0018099	0.00020751608	-7.7683376e-07	1.5445231e-06	-8.0653973e-07	2.5213296e-08	6.0170197e-06	1.0336891e-06	6.3872925e-06	1.3970618e-07	-6.9227e-05	4.417051e-06	0.00020736687	0.00020743272	0.00031743386
0.04	1.04	0	0	0	0.98124574	0	0	0	0.97994637	1.0000309	0.00021107566	-8.1303282e-07	1.5668748e-06	-8.5452286e-07	2.0344183e-08	6.5500165e-06	1.0516625e-06	6.9348549e-06	1.5215949e-07	-7.0416053e-05	4.8355598e-06	0.00021091743	0.00021101552	0.00046481358
0.042	1.042	0	0	0	0.97941615	0	0	0	0.97809921	0.99820074	0.00021454524	-8.6027744e-07	1.5929312e-06	-9.1235296e-07	1.5120752e-08	7.0190267e-06	1.0722454e-06	7.417601e-06	1.6333479e-07	-7.1574566e-05	5.2611131e-06	0.00021437969	0.00021449928	0.0005575335
0.044	1.044	0	0	0	0.9775668	0	0	0	0.97623272	0.99632334	0.00021795193	-9.203791e-07	1.6249309e-06	-9.8171318e-07	9.6157503e-09	7.4388679e-06	1.0976345e-06	7.850351e-06	1.7350969e-07	-7.2711685e-05	5.6935569e-06	0.00021778021	0.0002179153	0.00061991104
0.046	1.046	0	0	0	0.97569737	0	0	0	0.97434654	0.99439805	0.00022130508	-9.9456889e-07	1.664796e-06	-1.0636979e-06	3.9030266e-09	7.8196618e-06	1.1296721e-06	8.2428486e-06	1.8289422e-07	-7.3830625e-05	6.1327743e-06	0.00022112788	0.00022127421	0.0006613017
0.048	1.048	0	0	0	0.97380484	0	0	0	0.97243763	0.99241876	0.00022459939	-1.0813931e-06	1.7103349e-06	-1.1569236e-06	-1.8964746e-09	8.1674665e-06	1.1663311e-06	8.5998141e-06	1.9172795e-07	-7.4929741e-05	6.5786538e-06	0.00022441656	0.00022456813	0.00067496368
0.05	1.05	0	0	0	0.97187749	0	0	0	0.97049425	0.99036159	0.00022779348	-1.1643299e-06	1.7329512e-06	-1.2463023e-06	-7.5166401e-09	8.4798641e-06	1.1811392e-06	8.9145332e-06	2.0062013e-07	-7.5995527e-05	7.0310468e-06	0.00022760305	0.0002277533	0.00065967372
0.052	1.052	0	0	0	0.96989296	0	0	0	0.96849438	0.98818135	0.0002308051	-1.1896756e-06	1.6781339e-06	-1.2822778e-06	-1.2496334e-08	8.7585657e-06	1.1239859e-06	9.1857055e-06	2.1059023e-07	-7.7001064e-05	7.489667e-06	0.00023060489	0.00023078472	0.00077920554
0.054	1.054	0	0	0	0.96786658	0	0	0	0.96645344	0.98590948	0.00023369729	-1.1702318e-06	1.6038263e-06	-1.2761682e-06	-1.6925782e-08	9.0258639e-06	1.0492053e-06	9.4441336e-06	2.2094786e-07	-7.7967104e-05	7.9541857e-06	0.00023348789	0.00023369601	0.00089053382
0.056	1.056	0	0	0	0.96581866	0	0	0	0.96439135	0.98358708	0.00023654991	-1.1478827e-06	1.5470424e-06	-1.266664e-06	-2.1146722e-08	9.2781664e-06	9.9111556e-07	9.6892142e-06	2.3097092e-07	-7.8919912e-05	8.424451e-06	0.00023633265	0.00023655665	0.00094691936
0.058	1.058	0	0	0	0.96375579	0	0	0	0.96231447	0.98122743	0.00023938968	-1.1326931e-06	1.5066735e-06	-1.2631166e-06	-2.5270696e-08	9.5115098e-06	9.4841836e-07	9.9165158e-06	2.4058419e-07	-7.986833e-05	8.9004123e-06	0.00023916524	0.0002394007	0.00098352195
0.06	1.06	0	0	0	0.96168043	0	0	0	0.96022519	0.97883556	0.00024222728	-1.124913e-06	1.4783947e-06	-1.2658014e-06	-2.9331461e-08	9.7263423e-06	9.1690241e-07	1.0126032e-05	2.4982986e-07	-8.0815927e-05	9.3820538e-06	0.00024199612	0.00024224099	0.001010851
0.062	1.062	0	0	0	0.95959383	0	0	0	0.9581247	0.976414	0.00024506849	-1.1233359e-06	1.4587809e-06	-1.2736534e-06	-3.3350863e-08	9.924324e-06	8.9328011e-07	1.0319199e-05	2.587464e-07	-8.1764628e-05	9.8693762e-06	0.00024483094	0.00024508392	0.0010322243
0.064	1.064	0	0	0	0.95749672	0	0	0	0.9560137	0.9739643	0.00024791696	-1.1267992e-06	1.4452869e-06	-1.2856493e-06	-3.7349201e-08	1.0107195e-05	8.7513778e-07	1.049767e-05	2.6735877e-07	-8.2715658e-05	1.036239e-05	0.00024767335	0.00024793347	0.0010491312
0.066	1.066	0	0	0	0.95538957	0	0	0	0.95389265	0.97148747	0.00025077529	-1.1343455e-06	1.4360438e-06	-1.3009526e-06	-4.1344153e-08	1.0276498e-05	8.6072341e-07	1.0662951e-05	2.7568396e-07	-8.3669876e-05	1.086111e-05	0.00025052591	0.00025079236	0.0010624514
0.068	1.068	0	0	0	0.9532727	0	0	0	0.95176186	0.96898422	0.00025364537	-1.1451931e-06	1.4297101e-06	-1.3188815e-06	-4.5348994e-08	1.0433538e-05	8.4879315e-07	1.081633e-05	2.8373601e-07	-8.4627918e-05	1.1365559e-05	0.0002533905	0.00025366263	0.0010728034
0.07	1.07	0	0	0	0.95114633	0	0	0	0.94962152	0.96645505	0.00025652867	-1.1587022e-06	1.4253472e-06	-1.3388784e-06	-4.9372249e-08	1.0579409e-05	8.3848639e-07	1.0958886e-05	2.9152828e-07	-8.5590276e-05	1.1875761e-05	0.00025626861	0.00025654585	0.0010806609
0.072	1.072	0	0	0	0.9490106	0	0	0	0.94747177	0.96390033	0.00025942637	-1.1743523e-06	1.422311e-06	-1.3604887e-06	-5.3418406e-08	1.0715038e-05	8.2922018e-07	1.1091521e-05	2.9907415e-07	-8.6557343e-05	1.2391742e-05	0.00025916138	0.00025944324	0.0010863987
0.074	1.074	0	0	0	0.94686561	0	0	0	0.94531271	0.96132032	0.00026233943	-1.191724e-06	1.4201656e-06	-1.3833453e-06	-5.7488981e-08	1.0841216e-05	8.2060542e-07	1.1215001e-05	3.063869e-07	-8.7529442e-05	1.2913534e-05	0.00026206975	0.00026235581	0.001090318
0.076	1.076	0	0	0	0.94471142	0	0	0	0.94314439	0.95871523	0.00026526864	-1.2104807e-06	1.4186173e-06	-1.4071536e-06	-6.1583497e-08	1.0958627e-05	8.1238495e-07	1.1329986e-05	3.134795e-07	-8.8506846e-05	1.3441166e-05	0.00026499453	0.0002652844	0.0010926629
0.078	1.078	0	0	0	0.94254808	0	0	0	0.94096685	0.95608521	0.00026821471	-1.2303534e-06	1.4174692e-06	-1.4316779e-06	-6.5700245e-08	1.1067873e-05	8.0439013e-07	1.143705e-05	3.2036432e-07	-8.9489792e-05	1.3974671e-05	0.00026793639	0.00026822973	0.0010936337
0.08	1.08	0	0	0	0.94037561	0	0	0	0.93878011	0.95343039	0.00027117826	-1.2511264e-06	1.4165893e-06	-1.4567295e-06	-6.9836815e-08	1.1169485e-05	7.9651136e-07	1.1536702e-05	3.2705299e-07	-9.0478491e-05	1.4514084e-05	0.00027089593	0.00027119245	0.0010933971
