lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1	0.002	0	0	1	0	0	0	1	1	-6.6990502e-08	1.9762339e-05	-7.9380725e-08	1.9763594e-05	2.9959884e-08	4.1533402e-08	-7.1991855e-08	4.3729174e-08	-1.129487e-07	4.9993107e-08	1.975623e-08	1.9762339e-05	1.9749884e-05	-0.00063066751
0.004	1	0.004	0	0	1	0	0	0	1	1	-9.3846384e-10	3.9504581e-05	-1.5770836e-07	3.950682e-05	1.2955781e-07	9.2089745e-08	-1.4326534e-07	9.6174714e-08	-1.8844452e-07	1.9941725e-08	7.8999535e-08	3.9504581e-05	3.9482189e-05	-0.00056713383
0.006	1	0.006	0	0	1	0	0	0	1	1	2.0095173e-07	5.9222035e-05	-2.3571944e-07	5.9224566e-05	3.0179023e-07	1.519699e-07	-2.1462088e-07	1.5761563e-07	-2.2621817e-07	-9.2174598e-08	1.7768499e-07	5.9222035e-05	5.9189585e-05	-0.0005482521
0.008	1	0.008	0	0	1	0	0	0	1	1	5.4210076e-07	7.890957e-05	-3.142135e-07	7.8911248e-05	5.5030913e-07	2.2158069e-07	-2.8692802e-07	2.2843177e-07	-2.2586019e-07	-2.888499e-07	3.1575787e-07	7.890957e-05	7.8866931e-05	-0.00054064327
0.01	1	0.01	0	0	1	0	0	0	1	1	1.0266581e-06	9.8561487e-05	-3.9407453e-07	9.8560685e-05	8.7953125e-07	3.0145228e-07	-3.6114889e-07	3.0912009e-07	-1.8680423e-07	-5.7312838e-07	4.9315271e-07	9.8561487e-05	9.8508528e-05	-0.00053760889
0.012	1	0.012	0	0	1	0	0	0	1	1	1.6596405e-06	0.00011817137	-4.7629806e-07	0.00011816594	1.2947836e-06	3.9226133e-07	-4.3836767e-07	4.0031626e-07	-1.0830168e-07	-9.4870747e-07	7.0979198e-07	0.00011817137	0.00011810796	-0.00053689049
0.014	1	0.014	0	0	1	0	0	0	1	1	2.4471158e-06	0.0001377319	-5.620259e-07	0.00013771909	1.8024972e-06	4.9486164e-07	-5.1982838e-07	5.0282341e-07	1.0616075e-08	-1.4200764e-06	9.6558455e-07	0.0001377319	0.00013765791	-0.00053749032
0.016	1	0.016	0	0	1	0	0	0	1	1	3.396449e-06	0.00015723457	-6.5259122e-07	0.00015721101	2.4104656e-06	6.1032473e-07	-6.0698382e-07	6.1765032e-07	1.7119425e-07	-1.992703e-06	1.2604236e-06	0.00015723457	0.00015714989	-0.00053887357
0.018	1	0.018	0	0	1	0	0	0	1	1	4.5166309e-06	0.00017666941	-7.4957738e-07	0.00017663097	3.1281908e-06	7.3999353e-07	-7.0155943e-07	7.4606204e-07	3.7503978e-07	-2.6732872e-06	1.5941841e-06	0.00017666941	0.00017657393	-0.00054069806
0.02	1	0.02	0	0	1	0	0	0	1	1	5.8187174e-06	0.00019602446	-8.5489506e-07	0.00019596618	3.9673464e-06	8.8555338e-07	-8.0563695e-07	8.8964712e-07	6.2425067e-07	-3.4701048e-06	1.9667194e-06	0.00019602446	0.00019591814	-0.00054269948
0.022	1	0.022	0	0	1	0	0	0	1	1	7.3164154e-06	0.00021528529	-9.7088272e-07	0.0002152012	4.9423959e-06	1.049125e-06	-9.2176337e-07	1.050406e-06	9.2161412e-07	-4.3934751e-06	2.3778567e-06	0.00021528529	0.0002151681	-0.00054462836
0.024	1	0.024	0	0	1	0	0	0	1	1	9.0268522e-06	0.00023443414	-1.1004354e-06	0.00023431712	6.0714048e-06	1.233384e-06	-1.0530908e-06	1.2308654e-06	1.2709118e-06	-5.4563896e-06	2.8273918e-06	0.00023443414	0.00023430616	-0.00054620071
0.026	1	0.026	0	0	1	0	0	0	1	1	1.097156e-05	0.00025344906	-1.2471642e-06	0.00025329051	7.3770841e-06	1.4417097e-06	-1.2035495e-06	1.4342211e-06	1.6773907e-06	-6.6753451e-06	3.3150813e-06	0.00025344906	0.00025331049	-0.00054704279
0.028	1	0.028	0	0	1	0	0	0	1	1	1.3177677e-05	0.00027230268	-1.415579e-06	0.00027209227	8.8880604e-06	1.6783552e-06	-1.3780481e-06	1.6645036e-06	2.148483e-06	-8.0714067e-06	3.8406337e-06	0.00027230268	0.00027215392	-0.00054661674
0.03	1	0.03	0	0	1	0	0	0	1	1	1.5679271e-05	0.00029096103	-1.6112676e-06	0.0002906862	1.0640291e-05	1.9486143e-06	-1.5826707e-06	1.9267421e-06	2.6948877e-06	-9.6714832e-06	4.403697e-06	0.00029096103	0.0002908028	-0.00054412372
0.032	1	0.032	0	0	1	0	0	0	1	1	1.8518573e-05	0.00030938243	-1.8410012e-06	0.0003090279	1.267837e-05	2.2589157e-06	-1.8247996e-06	2.2270624e-06	3.3321348e-06	-1.1509693e-05	5.0038449e-06	0.00030938243	0.00030921595	-0.00053840699
0.034	1	0.034	0	0	1	0	0	0	1	1	2.174664e-05	0.0003275171	-2.1126269e-06	0.00032706412	1.5056257e-05	2.6167051e-06	-2.113015e-06	2.5725827e-06	4.0827082e-06	-1.3628535e-05	5.6405608e-06	0.0003275171	0.00032734428	-0.00052793072
0.036	1	0.036	0	0	1	0	0	0	1	1	2.5422857e-05	0.00034530798	-2.4345245e-06	0.00034473365	1.7836747e-05	3.0298857e-06	-2.4565347e-06	2.970881e-06	4.9786391e-06	-1.6079414e-05	6.313222e-06	0.00034530798	0.00034513164	-0.00051095674
0.038	1	0.038	0	0	1	0	0	0	1	1	2.9612702e-05	0.00036269345	-2.8143492e-06	0.00036196986	2.1089123e-05	3.505513e-06	-2.8638937e-06	3.4287323e-06	6.0641221e-06	-1.8921982e-05	7.0210873e-06	0.00036269345	0.00036251728	-0.00048596633
0.04	1	0.04	0	0	1	0	0	0	1	1	3.4383636e-05	0.00037961181	-3.2568668e-06	0.00037870539	2.4884817e-05	4.0475105e-06	-3.3406478e-06	3.9498779e-06	7.3971295e-06	-2.2221861e-05	7.7632912e-06	0.00037961181	0.00037944027	-0.00045208347
0.042	1	0.042	0	0	1	0	0	0	1	1	3.9799242e-05	0.00039600724	-3.7610256e-06	0.00039487828	2.9291315e-05	4.6535292e-06	-3.886233e-06	4.5319422e-06	9.0482618e-06	-2.6046273e-05	8.5388484e-06	0.00039600724	0.00039584532	-0.00040904844
0.044	1	0.044	0	0	1	0	0	0	1	1	4.5911332e-05	0.0004118371	-4.3170858e-06	0.00041043962	3.4364111e-05	5.3118349e-06	-4.4908293e-06	5.1633775e-06	1.109453e-05	-3.0456657e-05	9.3466724e-06	0.0004118371	0.0004116902	-0.0003568052
0.046	1	0.046	0	0	1	0	0	0	1	1	5.2749554e-05	0.00042708057	-4.9054513e-06	0.00042536287	4.0136219e-05	6.0000783e-06	-5.133976e-06	5.8222742e-06	1.3606547e-05	-3.549744e-05	1.0185609e-05	0.00042708057	0.00042695431	-0.00029571823
0.048	1	0.048	0	0	1	0	0	0	1	1	6.0310395e-05	0.00044174715	-5.4990157e-06	0.00043965306	4.6607085e-05	6.6879915e-06	-5.7869122e-06	6.4790492e-06	1.6631392e-05	-4.1182957e-05	1.105449e-05	0.00044174715	0.00044164647	-0.00022796837
0.05	1	0.05	0	0	1	0	0	0	1	1	6.8551809e-05	0.00045587984	-6.0691512e-06	0.00045335067	5.3736988e-05	7.3441149e-06	-6.4188718e-06	7.103081e-06	2.0178943e-05	-4.7489247e-05	1.1952195e-05	0.00045587984	0.00045580761	-0.00015846731
0.052	1	0.052	0	0	1	0	0	0	1	1	7.7399246e-05	0.00046954864	-6.5925512e-06	0.00046652525	6.1452888e-05	7.943364e-06	-7.0044267e-06	7.6701209e-06	2.422029e-05	-5.4357475e-05	1.287772e-05	0.00046954864	0.0004695048	-9.3358522e-05
0.054	1	0.054	0	0	1	0	0	0	1	1	8.6761202e-05	0.00048283647	-7.0552303e-06	0.00047926089	6.9663934e-05	8.4713023e-06	-7.5279095e-06	8.1664234e-06	2.8698921e-05	-6.1708019e-05	1.3830214e-05	0.00048283647	0.00048281848	-3.7267332e-05
0.056	1	0.056	0	0	1	0	0	0	1	1	9.6545828e-05	0.00049582494	-7.4524547e-06	0.00049164123	7.8278256e-05	8.9238392e-06	-7.9835073e-06	8.5883766e-06	3.3546899e-05	-6.9456994e-05	1.4808994e-05	0.00049582494	0.00049582894	8.0615196e-06
0.058	1	0.058	0	0	1	0	0	0	1	1	0.00010667186	0.00050858528	-7.7861678e-06	0.00050373973	8.7214147e-05	9.3041987e-06	-8.3726262e-06	8.9394793e-06	3.8697844e-05	-7.752795e-05	1.581353e-05	0.00050858528	0.00050860726	4.3212882e-05
0.06	1	0.06	0	0	1	0	0	0	1	1	0.00011707279	0.00052117527	-8.0620199e-06	0.00051561625	9.6404468e-05	9.6195343e-06	-8.7007638e-06	9.2270047e-06	4.409383e-05	-8.5857029e-05	1.6843423e-05	0.00052117527	0.00052121169	6.9877849e-05
0.062	1	0.062	0	0	1	0	0	0	1	1	0.00012769657	0.0005336398	-8.2871209e-06	0.00052731742	0.00010579649	9.8784178e-06	-8.9751083e-06	9.4595425e-06	4.968741e-05	-9.4393492e-05	1.7898377e-05	0.0005336398	0.0005336878	8.993467e-05
0.064	1	0.064	0	0	1	0	0	0	1	1	0.00013850337	0.00054601309	-8.4686944e-06	0.00053887887	0.00011534976	1.0089367e-05	-9.203081e-06	9.6455683e-06	5.5441005e-05	-0.00010309805	1.8978174e-05	0.00054601309	0.00054607043	0.00010501734
0.066	1	0.066	0	0	1	0	0	0	1	1	0.00014946296	0.000558321	-8.6134112e-06	0.00055032757	0.00012503345	1.0260141e-05	-9.3915996e-06	9.7927668e-06	6.132531e-05	-0.00011194058	2.0082659e-05	0.000558321	0.000558386	0.0001164029
0.068	1	0.068	0	0	1	0	0	0	1	1	0.00016055236	0.00057058317	-8.7271344e-06	0.00056168401	0.00013482413	1.0397487e-05	-9.5467837e-06	9.9077996e-06	6.7317577e-05	-0.00012089802	2.1211718e-05	0.00057058317	0.00057065452	0.00012503976
0.07	1	0.07	0	0	1	0	0	0	1	1	0.000171754	0.0005828146	-8.81488e-06	0.00057296382	0.00014470381	1.0507129e-05	-9.6738954e-06	9.9963011e-06	7.3400108e-05	-0.00012995264	2.2365277e-05	0.0005828146	0.00058289132	0.00013161676
0.072	1	0.072	0	0	1	0	0	0	1	1	0.00018305434	0.00059502688	-8.8808781e-06	0.00058417911	0.0001546586	1.0593858e-05	-9.7773914e-06	1.0062974e-05	7.9559057e-05	-0.00013909067	2.3543284e-05	0.00059502688	0.00059510819	0.00013663109
0.074	1	0.074	0	0	1	0	0	0	1	1	0.00019444281	0.00060722905	-8.9286694e-06	0.00059533931	0.00016467766	1.0661652e-05	-9.8610167e-06	1.0111714e-05	8.5783503e-05	-0.00014830132	2.4745709e-05	0.00060722905	0.00060731435	0.00014044268
0.076	1	0.076	0	0	1	0	0	0	1	1	0.00020591107	0.00061942829	-8.9612092e-06	0.00060645186	0.00017475242	1.071381e-05	-9.9279082e-06	1.0145745e-05	9.2064758e-05	-0.00015757608	2.5972541e-05	0.00061942829	0.00061951707	0.00014331429
0.078	1	0.078	0	0	1	0	0	0	1	1	0.00021745249	0.00063163031	-8.9809628e-06	0.00061752274	0.00018487605	1.0753062e-05	-9.9806919e-06	1.0167726e-05	9.8395845e-05	-0.00016690813	2.7223778e-05	0.00063163031	0.00063172218	0.00014543996
0.08	1	0.08	0	0	1	0	0	0	1	1	0.00022906169	0.00064383976	-8.9899891e-06	0.00062855676	0.00019504302	1.078167e-05	-1.0021569e-05	1.0179858e-05	0.00010477111	-0.00017629194	2.849943e-05	0.00064383976	0.0006439344	0.00014696492
0.082	1	0.082	0	0	1	0	0	0	1	1	0.00024073432	0.00065606046	-8.9900112e-06	0.00063955785	0.00020524885	1.0801511e-05	-1.0052386e-05	1.0183961e-05	0.00011118594	-0.00018572303	2.9799515e-05	0.00065606046	0.00065615757	0.00014799936
0.084	1	0.084	0	0	1	0	0	0	1	1	0.00025246677	0.00066829556	-8.9824746e-06	0.00065052929	0.00021548981	1.0814149e-05	-1.0074701e-05	1.0181546e-05	0.00011763651	-0.0001951977	3.112406e-05	0.00066829556	0.00066839491	0.00014862812
0.086	1	0.086	0	0	1	0	0	0	1	1	0.00026425606	0.00068054771	-8.9685958e-06	0.00066147377	0.00022576284	1.0820883e-05	-1.0089827e-05	1.0173867e-05	0.00012411966	-0.00020471286	3.2473095e-05	0.00068054771	0.00068064907	0.00014891743
0.088	1	0.088	0	0	1	0	0	0	1	1	0.00027609968	0.00069281913	-8.9494009e-06	0.00067239359	0.00023606535	1.0822802e-05	-1.0098877e-05	1.0161971e-05	0.00013063275	-0.00021426593	3.3846656e-05	0.00069281913	0.00069292232	0.00014891973
0.09	1	0.09	0	0	1	0	0	0	1	1	0.0002879955	0.00070511173	-8.9257583e-06	0.00068329068	0.00024639515	1.0820814e-05	-1.0102796e-05	1.0146727e-05	0.00013717353	-0.00022385473	3.5244784e-05	0.00070511173	0.00070521658	0.00014867709
0.092	1	0.092	0	0	1	0	0	0	1	1	0.00029994173	0.00071742715	-8.8984047e-06	0.0006941667	0.00025675039	1.0815682e-05	-1.0102389e-05	1.0128865e-05	0.00014374011	-0.00023347741	3.6667523e-05	0.00071742715	0.0007175335	0.0001482237
0.094	1	0.094	0	0	1	0	0	0	1	1	0.00031193679	0.0007297668	-8.8679668e-06	0.00070502307	0.00026712946	1.0808043e-05	-1.0098344e-05	1.010899e-05	0.00015033088	-0.00024313237	3.8114918e-05	0.0007297668	0.00072987452	0.00014758764
