lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1	0	0	0	0.99939864	1.0013974	1.9619432e-05	3.5200501e-08	-2.2645601e-07	4.3429796e-08	4.5888241e-06	-9.1327783e-08	-2.2315438e-07	-9.1868621e-08	-1.136501e-09	-8.0690399e-06	1.9561464e-08	1.9619775e-05	1.9688644e-05	0.0034979002
0.004	1.004	0	0	0	1	0	0	0	0.99879206	1.0027872	3.9601005e-05	3.3235234e-08	-4.4065825e-07	4.9289165e-08	9.3150153e-06	-1.7767329e-07	-4.3290274e-07	-1.770307e-07	-2.2055781e-09	-1.6304605e-05	7.8754576e-08	3.9601676e-05	3.9663873e-05	0.0015680769
0.006	1.006	0	0	0	1	0	0	0	0.99818051	1.0041696	5.9868953e-05	6.3097851e-09	-6.429955e-07	3.0001027e-08	1.4143002e-05	-2.583011e-07	-6.3003683e-07	-2.5560103e-07	-3.2151519e-09	-2.466958e-05	1.7821695e-07	5.986994e-05	5.9926689e-05	0.00094698323
0.008	1.008	0	0	0	1	0	0	0	0.99756416	1.0055447	8.0370768e-05	-3.6609919e-08	-8.3411683e-07	-5.3407092e-09	1.9050234e-05	-3.3272722e-07	-8.1528466e-07	-3.2745308e-07	-4.1660404e-09	-3.3138946e-05	3.1846133e-07	8.0372057e-05	8.0423971e-05	0.00064549767
0.01	1.01	0	0	0	1	0	0	0	0.99694307	1.0069125	0.00010106902	-8.9492027e-08	-1.0147371e-06	-5.0629231e-08	2.4022471e-05	-4.0049133e-07	-9.8936709e-07	-3.9231164e-07	-5.0558079e-09	-4.1695478e-05	4.9991284e-07	0.00010107059	0.00010111792	0.00046804168
0.012	1.012	0	0	0	1	0	0	0	0.99631725	1.0082731	0.00012193601	-1.4836696e-07	-1.1855798e-06	-1.0184957e-07	2.905091e-05	-4.6105704e-07	-1.1529987e-06	-4.4974743e-07	-5.8798257e-09	-5.0327014e-05	7.2293302e-07	0.00012193786	0.00012198064	0.00035075689
0.014	1.014	0	0	0	1	0	0	0	0.99568653	1.0096261	0.00014295033	-2.1061831e-07	-1.347353e-06	-1.5635534e-07	3.413065e-05	-5.1373569e-07	-1.306878e-06	-4.9913868e-07	-6.6313923e-09	-5.9024784e-05	9.8783542e-07	0.00014295243	0.0001429906	0.0002668987
0.016	1.016	0	0	0	1	0	0	0	0.99505057	1.0109714	0.00016409451	-2.7450502e-07	-1.5007358e-06	-2.1238228e-07	3.9260088e-05	-5.5761247e-07	-1.4516763e-06	-5.3961572e-07	-7.3014267e-09	-6.7782433e-05	1.2948954e-06	0.00016409684	0.00016413022	0.00020334144
0.018	1.018	0	0	0	1	0	0	0	0.99440871	1.0123081	0.00018535327	-3.3885634e-07	-1.6463678e-06	-2.6873771e-07	4.4441018e-05	-5.9148077e-07	-1.5880266e-06	-5.700054e-07	-7.8780554e-09	-7.6595469e-05	1.6443563e-06	0.00018535581	0.00018538415	0.00015287752
0.02	1.02	0	0	0	1	0	0	0	0.99375987	1.0136351	0.00020671209	-4.0287916e-07	-1.7848395e-06	-3.2460477e-07	4.9679338e-05	-6.1382722e-07	-1.7165128e-06	-5.888218e-07	-8.3466357e-09	-8.5461027e-05	2.036432e-06	0.00020671481	0.00020673782	0.00011129981
0.022	1.022	0	0	0	1	0	0	0	0.99310236	1.0149506	0.00022815596	-4.6603665e-07	-1.9166841e-06	-3.7942098e-07	5.4986071e-05	-6.2298364e-07	-1.8376624e-06	-5.9441972e-07	-8.6913919e-09	-9.4377779e-05	2.4713076e-06	0.00022815884	0.00022817627	7.6376987e-05
0.024	1.024	0	0	0	1	0	0	0	0.99243382	1.0162522	0.00024966863	-5.2797273e-07	-2.0423767e-06	-4.3280902e-07	6.037767e-05	-6.1765444e-07	-1.9519496e-06	-5.8551806e-07	-8.9006003e-09	-0.0001033458	2.9491371e-06	0.00024967164	0.00024968356	4.7724956e-05
0.026	1.026	0	0	0	1	0	0	0	0.99175152	1.0175371	0.00027123348	-5.8846664e-07	-2.1623568e-06	-4.8454588e-07	6.5873246e-05	-5.9793866e-07	-2.0598255e-06	-5.6221077e-07	-8.9760554e-09	-0.00011236592	3.4700418e-06	0.00027123658	0.00027124376	2.6472409e-05
0.028	1.028	0	0	0	1	0	0	0	0.99105325	1.0188027	0.0002928366	-6.4740301e-07	-2.2770806e-06	-5.345489e-07	7.1486949e-05	-5.6631301e-07	-2.1617755e-06	-5.2693715e-07	-8.9410038e-09	-0.0001214382	4.0341121e-06	0.00029283976	0.00029284367	1.3329746e-05
0.03	1.03	0	0	0	1	0	0	0	0.99033833	1.0200485	0.00031447048	-7.0474168e-07	-2.3870717e-06	-5.8284416e-07	7.7219534e-05	-5.2733203e-07	-2.2583614e-06	-4.841819e-07	-8.83474e-09	-0.00013056039	4.6414165e-06	0.00031447367	0.00031447568	6.3783405e-06
0.032	1.032	0	0	0	1	0	0	0	0.98960761	1.0212751	0.00033613409	-7.6048364e-07	-2.492912e-06	-6.2950818e-07	8.3057443e-05	-4.8584921e-07	-2.3501943e-06	-4.3871353e-07	-8.6936847e-09	-0.00013972761	5.2920148e-06	0.0003361373	0.00033613797	2.0065215e-06
0.034	1.034	0	0	0	1	0	0	0	0.98886256	1.0224839	0.00035782924	-8.1464426e-07	-2.595183e-06	-6.7461738e-07	8.8979715e-05	-4.4540718e-07	-2.437862e-06	-3.9399203e-07	-8.5356747e-09	-0.00014893347	5.9859683e-06	0.00035783245	0.00035783155	-2.5117935e-06
