lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1	0.002	0	0	1	0	0	0	1	1	7.1975747e-09	1.1760525e-06	-6.94986e-08	1.1739048e-06	8.7430033e-10	-6.4606661e-08	-7.0492343e-08	-6.654287e-08	6.3304764e-08	-2.3792213e-08	1.1741578e-09	1.1760525e-06	1.1678776e-06	-0.0069997847
0.004	1	0.004	0	0	1	0	0	0	1	1	1.2263726e-07	2.3281988e-06	-1.3990823e-07	2.3235702e-06	1.0714266e-07	-1.3499774e-07	-1.4148497e-07	-1.3892878e-07	1.7673626e-07	-1.3550539e-07	4.6715104e-09	2.3281988e-06	2.3128649e-06	-0.0066298491
0.006	1	0.006	0	0	1	0	0	0	1	1	3.6305023e-07	3.4390093e-06	-2.0825443e-07	3.4308018e-06	3.3715575e-07	-2.0949388e-07	-2.1003559e-07	-2.1531275e-07	3.3800747e-07	-3.4607115e-07	1.0425617e-08	3.4390093e-06	3.4186349e-06	-0.0059598128
0.008	1	0.008	0	0	1	0	0	0	1	1	7.394929e-07	4.4946356e-06	-2.7100705e-07	4.4820249e-06	7.0673315e-07	-2.8437456e-07	-2.7116211e-07	-2.9234975e-07	5.3883498e-07	-6.6168701e-07	1.834605e-08	4.4946356e-06	4.4680754e-06	-0.0059444388
0.01	1	0.01	0	0	1	0	0	0	1	1	1.2723847e-06	5.4557801e-06	-3.2596735e-07	5.4390125e-06	1.2418114e-06	-3.4888801e-07	-3.194919e-07	-3.5978594e-07	7.6251196e-07	-1.092236e-06	2.8297919e-08	5.4557801e-06	5.445521e-06	-0.0018839444
0.012	1	0.012	0	0	1	0	0	0	1	1	1.9070522e-06	6.3834543e-06	-3.7981458e-07	6.3579229e-06	1.8747695e-06	-4.0864793e-07	-3.6738856e-07	-4.2084189e-07	1.0261749e-06	-1.6026655e-06	4.0128134e-08	6.3834543e-06	6.3779546e-06	-0.00086229317
0.014	1	0.014	0	0	1	0	0	0	1	1	2.6067983e-06	7.3045362e-06	-4.2705341e-07	7.2660696e-06	2.5717244e-06	-4.670548e-07	-4.0889421e-07	-4.7923849e-07	1.333325e-06	-2.1706159e-06	5.3809738e-08	7.3045362e-06	7.2984613e-06	-0.0008323528
0.016	1	0.016	0	0	1	0	0	0	1	1	3.3871894e-06	8.1998073e-06	-4.5278752e-07	8.1452571e-06	3.3546873e-06	-5.3242903e-07	-4.2756838e-07	-5.439845e-07	1.7092978e-06	-2.8170582e-06	6.932198e-08	8.1998073e-06	8.1978988e-06	-0.0002328096
0.018	1	0.018	0	0	1	0	0	0	1	1	4.2432227e-06	9.0781891e-06	-4.6406225e-07	9.0046881e-06	4.2143577e-06	-6.0564095e-07	-4.3117088e-07	-6.1747954e-07	2.1576738e-06	-3.5384181e-06	8.6601333e-08	9.0781891e-06	9.0790337e-06	9.3025962e-05
0.02	1	0.02	0	0	1	0	0	0	1	1	5.1342651e-06	9.9690003e-06	-4.7959002e-07	9.8728471e-06	5.1038643e-06	-6.7365329e-07	-4.3951064e-07	-6.8646815e-07	2.6356517e-06	-4.2912604e-06	1.0563811e-07	9.9690003e-06	9.9661175e-06	-0.00028925807
0.022	1	0.022	0	0	1	0	0	0	1	1	6.0463856e-06	1.0876779e-05	-5.0145578e-07	1.0753936e-05	6.0092291e-06	-7.3322276e-07	-4.5463341e-07	-7.472195e-07	3.1269219e-06	-5.0608455e-06	1.264658e-07	1.0876779e-05	1.0870534e-05	-0.0005745449
0.024	1	0.024	0	0	1	0	0	0	1	1	6.9748833e-06	1.1800966e-05	-5.2831761e-07	1.1647297e-05	6.9262376e-06	-7.8515831e-07	-4.7508876e-07	-8.0035504e-07	3.6262308e-06	-5.8424506e-06	1.4912025e-07	1.1800966e-05	1.1792238e-05	-0.00074021807
0.026	1	0.026	0	0	1	0	0	0	1	1	7.9173068e-06	1.2740495e-05	-5.5856729e-07	1.2551835e-05	7.8528175e-06	-8.3095423e-07	-4.9918751e-07	-8.472996e-07	4.1312384e-06	-6.6337876e-06	1.7363475e-07	1.2740495e-05	1.2729898e-05	-0.00083248978
0.028	1	0.028	0	0	1	0	0	0	1	1	8.8721674e-06	1.3694234e-05	-5.908512e-07	1.3466413e-05	8.787779e-06	-8.7194446e-07	-5.2551239e-07	-8.8936266e-07	4.6408123e-06	-7.4335862e-06	2.0003984e-07	1.3694234e-05	1.3682175e-05	-0.00088137829
0.03	1	0.03	0	0	1	0	0	0	1	1	9.8384644e-06	1.4661094e-05	-6.2417003e-07	1.4389941e-05	9.7303582e-06	-9.0914156e-07	-5.5301468e-07	-9.2755017e-07	5.1543866e-06	-8.2410697e-06	2.2836345e-07	1.4661094e-05	1.4647847e-05	-0.00090431288
0.032	1	0.032	0	0	1	0	0	0	1	1	1.0815449e-05	1.564008e-05	-6.5783446e-07	1.5321424e-05	1.0679994e-05	-9.4328013e-07	-5.8096786e-07	-9.6259722e-07	5.6716535e-06	-9.0556988e-06	2.5863123e-07	1.564008e-05	1.5625839e-05	-0.00091133486
0.034	1	0.034	0	0	1	0	0	0	1	1	1.180251e-05	1.663031e-05	-6.9138711e-07	1.6259976e-05	1.1636223e-05	-9.7489417e-07	-6.0888717e-07	-9.9504103e-07	6.1924174e-06	-9.8770499e-06	2.9086681e-07	1.663031e-05	1.6615218e-05	-0.00090831613
0.036	1	0.036	0	0	1	0	0	0	1	1	1.2799115e-05	1.763101e-05	-7.2453305e-07	1.7204816e-05	1.2598637e-05	-1.0043806e-06	-6.3645764e-07	-1.0252827e-06	6.7165299e-06	-1.0704761e-05	3.250921e-07	1.763101e-05	1.7615177e-05	-0.00089878558
0.038	1	0.038	0	0	1	0	0	0	1	1	1.3804793e-05	1.8641502e-05	-7.57088e-07	1.815526e-05	1.3566865e-05	-1.0320432e-06	-6.6348034e-07	-1.0536306e-06	7.2438626e-06	-1.1538507e-05	3.6132752e-07	1.8641502e-05	1.862502e-05	-0.00088493691
0.04	1	0.04	0	0	1	0	0	0	1	1	1.4819113e-05	1.9661197e-05	-7.8894228e-07	1.9110706e-05	1.4540565e-05	-1.0581217e-06	-6.8983475e-07	-1.0803288e-06	7.7742969e-06	-1.2377992e-05	3.9959218e-07	1.9661197e-05	1.9644142e-05	-0.00086818365
0.042	1	0.042	0	0	1	0	0	0	1	1	1.5841683e-05	2.0689574e-05	-8.2003632e-07	2.0070626e-05	1.5519424e-05	-1.0828105e-06	-7.1545318e-07	-1.1055759e-06	8.3077203e-06	-1.3222942e-05	4.3990409e-07	2.0689574e-05	2.0672014e-05	-0.00084946921
0.044	1	0.044	0	0	1	0	0	0	1	1	1.6872144e-05	2.172618e-05	-8.503442e-07	2.1034554e-05	1.6503155e-05	-1.1062712e-06	-7.4030348e-07	-1.1295373e-06	8.8440256e-06	-1.4073108e-05	4.8228024e-07	2.172618e-05	2.1708174e-05	-0.00082944426
0.046	1	0.046	0	0	1	0	0	0	1	1	1.7910169e-05	2.2770611e-05	-8.7986249e-07	2.2002078e-05	1.7491493e-05	-1.1286404e-06	-7.6437734e-07	-1.1523534e-06	9.3831111e-06	-1.4928258e-05	5.2673678e-07	2.2770611e-05	2.2752214e-05	-0.00080857104
0.048	1	0.048	0	0	1	0	0	0	1	1	1.8955454e-05	2.3822512e-05	-9.0860269e-07	2.2972831e-05	1.84842e-05	-1.1500357e-06	-7.8768234e-07	-1.1741452e-06	9.9248812e-06	-1.5788178e-05	5.732891e-07	2.3822512e-05	2.3803774e-05	-0.00078718664
0.05	1	0.05	0	0	1	0	0	0	1	1	2.0007723e-05	2.4881567e-05	-9.365861e-07	2.3946487e-05	1.9481058e-05	-1.1705595e-06	-8.1023647e-07	-1.1950181e-06	1.0469246e-05	-1.6652676e-05	6.2195188e-07	2.4881567e-05	2.4862534e-05	-0.00076554243
0.052	1	0.052	0	0	1	0	0	0	1	1	2.1066723e-05	2.5947496e-05	-9.6384019e-07	2.4922754e-05	2.048187e-05	-1.1903018e-06	-8.3206442e-07	-1.2150651e-06	1.1016123e-05	-1.7521572e-05	6.7273923e-07	2.5947496e-05	2.592821e-05	-0.0007438294
0.054	1	0.054	0	0	1	0	0	0	1	1	2.2132219e-05	2.7020048e-05	-9.9039622e-07	2.5901372e-05	2.1486459e-05	-1.2093421e-06	-8.5319495e-07	-1.2343683e-06	1.1565434e-05	-1.8394704e-05	7.2566472e-07	2.7020048e-05	2.7000549e-05	-0.00072219474
0.056	1	0.056	0	0	1	0	0	0	1	1	2.3203997e-05	2.8098999e-05	-1.0162875e-06	2.6882106e-05	2.2494662e-05	-1.2277511e-06	-8.7365911e-07	-1.2530011e-06	1.211711e-05	-1.9271923e-05	7.8074143e-07	2.8098999e-05	2.8079323e-05	-0.00070075312
0.058	1	0.058	0	0	1	0	0	0	1	1	2.4281859e-05	2.9184149e-05	-1.041548e-06	2.7864744e-05	2.3506335e-05	-1.2455922e-06	-8.9348892e-07	-1.2710289e-06	1.2671084e-05	-2.0153093e-05	8.3798201e-07	2.9184149e-05	2.9164329e-05	-0.00067959433
0.06	1	0.06	0	0	1	0	0	0	1	1	2.5365624e-05	3.0275316e-05	-1.066212e-06	2.8849097e-05	2.4521347e-05	-1.2629219e-06	-9.1271658e-07	-1.2885104e-06	1.3227299e-05	-2.103809e-05	8.9739874e-07	3.0275316e-05	3.0255384e-05	-0.00065878875
0.062	1	0.062	0	0	1	0	0	0	1	1	2.6455122e-05	3.137234e-05	-1.090313e-06	2.9834992e-05	2.5539579e-05	-1.2797913e-06	-9.3137379e-07	-1.3054987e-06	1.3785701e-05	-2.1926801e-05	9.5900355e-07	3.137234e-05	3.1352325e-05	-0.0006383913
0.064	1	0.064	0	0	1	0	0	0	1	1	2.75502e-05	3.2475074e-05	-1.1138836e-06	3.0822274e-05	2.6560923e-05	-1.296246e-06	-9.4949139e-07	-1.3220412e-06	1.4346242e-05	-2.2819122e-05	1.022808e-06	3.2475074e-05	3.2455002e-05	-0.00061844428
0.066	1	0.066	0	0	1	0	0	0	1	1	2.8650714e-05	3.3583386e-05	-1.1369553e-06	3.1810799e-05	2.7585282e-05	-1.3123276e-06	-9.670991e-07	-1.338181e-06	1.4908878e-05	-2.3714958e-05	1.0888236e-06	3.3583386e-05	3.3563282e-05	-0.00059897966
0.068	1	0.068	0	0	1	0	0	0	1	1	2.9756531e-05	3.4697158e-05	-1.159558e-06	3.2800439e-05	2.8612566e-05	-1.3280733e-06	-9.842253e-07	-1.3539569e-06	1.5473569e-05	-2.4614222e-05	1.1570612e-06	3.4697158e-05	3.4677044e-05	-0.00058002075
0.07	1	0.07	0	0	1	0	0	0	1	1	3.0867528e-05	3.5816281e-05	-1.1817205e-06	3.3791077e-05	2.9642694e-05	-1.3435169e-06	-1.000897e-06	-1.369404e-06	1.6040282e-05	-2.5516835e-05	1.2275317e-06	3.5816281e-05	3.5796179e-05	-0.00056158367
0.072	1	0.072	0	0	1	0	0	0	1	1	3.1983591e-05	3.6940658e-05	-1.2034698e-06	3.4782603e-05	3.0675592e-05	-1.358689e-06	-1.0171398e-06	-1.3845542e-06	1.6608986e-05	-2.6422723e-05	1.3002459e-06	3.6940658e-05	3.6920585e-05	-0.00054367843
0.074	1	0.074	0	0	1	0	0	0	1	1	3.3104614e-05	3.8070199e-05	-1.2248316e-06	3.5774919e-05	3.1711191e-05	-1.3736172e-06	-1.0329778e-06	-1.3994364e-06	1.7179652e-05	-2.7331819e-05	1.3752141e-06	3.8070199e-05	3.8050173e-05	-0.00052630999
0.076	1	0.076	0	0	1	0	0	0	1	1	3.4230498e-05	3.9204825e-05	-1.24583e-06	3.6767935e-05	3.2749426e-05	-1.3883267e-06	-1.0484337e-06	-1.4140765e-06	1.7752256e-05	-2.824406e-05	1.4524466e-06	3.9204825e-05	3.9184861e-05	-0.00050947902
0.078	1	0.078	0	0	1	0	0	0	1	1	3.5361152e-05	4.034446e-05	-1.266488e-06	3.7761567e-05	3.3790239e-05	-1.4028401e-06	-1.0635289e-06	-1.4284985e-06	1.8326778e-05	-2.915939e-05	1.5319535e-06	4.034446e-05	4.0324572e-05	-0.00049318268
0.08	1	0.08	0	0	1	0	0	0	1	1	3.6496489e-05	4.1489037e-05	-1.2868268e-06	3.8755736e-05	3.4833575e-05	-1.417178e-06	-1.0782833e-06	-1.4427238e-06	1.8903199e-05	-3.0077754e-05	1.6137449e-06	4.1489037e-05	4.1469239e-05	-0.00047741524
0.082	1	0.082	0	0	1	0	0	0	1	1	3.7636429e-05	4.2638495e-05	-1.3068666e-06	3.9750374e-05	3.5879382e-05	-1.4313589e-06	-1.0927158e-06	-1.456772e-06	1.9481503e-05	-3.0999105e-05	1.6978305e-06	4.2638495e-05	4.2618798e-05	-0.0004621686
0.084	1	0.084	0	0	1	0	0	0	1	1	3.8780897e-05	4.3792777e-05	-1.3266262e-06	4.0745412e-05	3.6927612e-05	-1.4453996e-06	-1.1068439e-06	-1.4706607e-06	2.0061676e-05	-3.1923395e-05	1.7842201e-06	4.3792777e-05	4.3773192e-05	-0.00044743283
0.086	1	0.086	0	0	1	0	0	0	1	1	3.9929824e-05	4.4951832e-05	-1.3461233e-06	4.1740791e-05	3.7978221e-05	-1.4593151e-06	-1.1206841e-06	-1.4844061e-06	2.0643707e-05	-3.2850584e-05	1.8729232e-06	4.4951832e-05	4.4932368e-05	-0.00043319651
0.088	1	0.088	0	0	1	0	0	0	1	1	4.1083143e-05	4.6115612e-05	-1.3653745e-06	4.2736454e-05	3.9031165e-05	-1.4731192e-06	-1.1342517e-06	-1.4980227e-06	2.1227585e-05	-3.3780631e-05	1.9639495e-06	4.6115612e-05	4.6096277e-05	-0.00041944713
0.09	1	0.09	0	0	1	0	0	0	1	1	4.2240792e-05	4.7284073e-05	-1.3843952e-06	4.3732347e-05	4.0086407e-05	-1.4868239e-06	-1.1475611e-06	-1.5115238e-06	2.1813302e-05	-3.4713501e-05	2.0573083e-06	4.7284073e-05	4.7264876e-05	-0.0004061714
0.092	1	0.092	0	0	1	0	0	0	1	1	4.3402715e-05	4.8457176e-05	-1.4032e-06	4.4728423e-05	4.114391e-05	-1.50044e-06	-1.1606259e-06	-1.5249212e-06	2.2400852e-05	-3.5649159e-05	2.153009e-06	4.8457176e-05	4.8438122e-05	-0.00039335544
0.094	1	0.094	0	0	1	0	0	0	1	1	4.4568854e-05	4.9634883e-05	-1.4218025e-06	4.5724635e-05	4.2203638e-05	-1.5139772e-06	-1.1734585e-06	-1.5382257e-06	2.299023e-05	-3.6587574e-05	2.2510608e-06	4.9634883e-05	4.961598e-05	-0.00038098507
0.096	1	0.096	0	0	1	0	0	0	1	1	4.5739161e-05	5.081716e-05	-1.4402155e-06	4.672094e-05	4.326556e-05	-1.527444e-06	-1.1860709e-06	-1.5514469e-06	2.358143e-05	-3.7528717e-05	2.351473e-06	5.081716e-05	5.0798413e-05	-0.00036904593
0.098	1	0.098	0	0	1	0	0	0	1	1	4.6913585e-05	5.2003977e-05	-1.4584508e-06	4.7717299e-05	4.4329646e-05	-1.5408479e-06	-1.198474e-06	-1.5645937e-06	2.417445e-05	-3.847256e-05	2.4542545e-06	5.2003977e-05	5.1985391e-05	-0.00035752364
0.1	1	0.1	0	0	1	0	0	0	1	1	4.809208e-05	5.3195305e-05	-1.4765196e-06	4.8713675e-05	4.5395868e-05	-1.5541954e-06	-1.2106782e-06	-1.5776737e-06	2.4769288e-05	-3.9419079e-05	2.5594145e-06	5.3195305e-05	5.3176884e-05	-0.00034640392
