lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1.001	0	0	0	0.99811219	1.0011085	1.0285513e-05	7.0643275e-08	-1.052701e-07	6.7599709e-08	7.8778337e-06	1.5819101e-07	-9.7930541e-08	1.5698553e-07	3.0954347e-09	-6.0554808e-06	1.4153909e-08	1.4221428e-05	1.4196563e-05	-0.0017514733
0.004	1.004	0	0	0	1.002	0	0	0	0.99612101	1.0021057	2.0674813e-05	1.1098164e-07	-2.0202065e-07	1.0504981e-07	1.5568188e-05	2.9676049e-07	-1.8137207e-07	2.9089949e-07	7.2167339e-09	-1.2083406e-05	5.6786254e-08	2.8451558e-05	2.8386733e-05	-0.0022836537
0.006	1.006	0	0	0	1.003	0	0	0	0.99403923	1.0030035	3.1014018e-05	1.3643579e-07	-2.8940248e-07	1.2784316e-07	2.307671e-05	4.092873e-07	-2.5425002e-07	3.9540878e-07	1.1771168e-08	-1.8034166e-05	1.2770084e-07	4.2539942e-05	4.2479096e-05	-0.0014323795
0.008	1.008	0	0	0	1.004	0	0	0	0.99189707	1.0038316	4.1322848e-05	1.5551348e-07	-3.7145455e-07	1.4447114e-07	3.052491e-05	4.8998896e-07	-3.217583e-07	4.652939e-07	1.6192597e-08	-2.395465e-05	2.2670264e-07	5.6567768e-05	5.6506018e-05	-0.0010928033
0.01	1.01	0	0	0	1.005	0	0	0	0.98970746	1.0046026	5.1600259e-05	1.7212452e-07	-4.5030696e-07	1.5876736e-07	3.7987081e-05	5.2869423e-07	-3.8631859e-07	4.9132728e-07	2.0268078e-08	-2.9869203e-05	3.5372491e-07	7.0571364e-05	7.0503402e-05	-0.00096394932
0.012	1.012	0	0	0	1.006	0	0	0	0.98746923	1.0053148	6.1809737e-05	1.8793329e-07	-5.2656433e-07	1.7232814e-07	4.5504228e-05	5.1108057e-07	-4.4861966e-07	4.6035828e-07	2.3898518e-08	-3.5779288e-05	5.0871625e-07	8.4534762e-05	8.4459583e-05	-0.000890117
0.014	1.014	0	0	0	1.007	0	0	0	0.98517333	1.0059585	7.1893323e-05	2.0359266e-07	-6.0008393e-07	1.8579044e-07	5.3106937e-05	4.2285812e-07	-5.0860033e-07	3.5941978e-07	2.698027e-08	-4.1675747e-05	6.9156324e-07	9.841536e-05	9.8335479e-05	-0.00081233308
0.016	1.016	0	0	0	1.008	0	0	0	0.98280922	1.0065224	8.1793649e-05	2.1936978e-07	-6.7051749e-07	1.9948303e-07	6.0818243e-05	2.5882951e-07	-5.6600809e-07	1.8455473e-07	2.9403309e-08	-4.7547098e-05	9.0205816e-07	0.00011216748	0.00011208872	-0.00070268462
0.018	1.018	0	0	0	1.009	0	0	0	0.98037282	1.0070017	9.1485585e-05	2.3549437e-07	-7.3777349e-07	2.1374765e-07	6.8645272e-05	3.0499512e-08	-6.207917e-07	-5.1971158e-08	3.1111024e-08	-5.3387323e-05	1.1399181e-06	0.0001257698	0.00012569785	-0.00057245838
0.02	1.02	0	0	0	1.01	0	0	0	0.97786972	1.0074014	0.00010098896	2.5224824e-07	-8.0216221e-07	2.2895474e-07	7.6576212e-05	-2.387359e-07	-6.7319778e-07	-3.266371e-07	3.2139692e-08	-5.9199105e-05	1.4048495e-06	0.0001392364	0.00013917275	-0.00045730903
