lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0.0016	0	0	0.99960253	0	0	0	0.99962057	1.0012217	8.6639178e-06	1.8150634e-06	9.4037276e-08	1.805014e-06	5.9658806e-10	1.3418242e-07	8.9645612e-08	1.3386978e-07	3.7734962e-09	-2.8894293e-06	1.0017591e-08	1.0115107e-05	1.0172406e-05	0.0056328164
0.004	1.004	0.0032	0	0	0.99917886	0	0	0	0.99921636	1.0023894	1.7649479e-05	3.7389906e-06	1.3375137e-07	3.7100554e-06	1.1058615e-09	2.4170115e-07	1.2567942e-07	2.4084135e-07	8.123045e-09	-5.8862361e-06	4.0689624e-08	2.0638746e-05	2.0663985e-05	0.0012214202
0.006	1.006	0.0048	0	0	0.99873393	0	0	0	0.99879021	1.0035108	2.6850371e-05	5.7305582e-06	1.4127375e-07	5.673586e-06	1.5143346e-09	3.3133998e-07	1.3089338e-07	3.3066922e-07	1.2990043e-08	-8.9549583e-06	9.267353e-08	3.1431621e-05	3.1432627e-05	3.1999828e-05
0.008	1.008	0.0064	0	0	0.99826397	0	0	0	0.99833875	1.0045784	3.6196607e-05	7.7696048e-06	1.2690616e-07	7.6749832e-06	1.8328371e-09	4.1914259e-07	1.1548972e-07	4.1947967e-07	1.8286286e-08	-1.2072242e-05	1.6642013e-07	4.2407578e-05	4.238764e-05	-0.00047036856
0.01	1.01	0.008	0	0	0.99776284	0	0	0	0.99785655	1.0055804	4.5634123e-05	9.8410847e-06	9.6172335e-08	9.6990508e-06	2.3418419e-09	5.110471e-07	8.4676693e-08	5.1298033e-07	2.3774325e-08	-1.522008e-05	2.6222409e-07	5.3500527e-05	5.3469493e-05	-0.00058039135
0.012	1.012	0.0096	0	0	0.99723832	0	0	0	0.99735222	1.006533	5.5152949e-05	1.1937981e-05	5.4582081e-08	1.1738737e-05	3.2485286e-09	5.9191075e-07	4.3976976e-08	5.9587908e-07	2.9445237e-08	-1.8395214e-05	3.802981e-07	6.4694935e-05	6.465409e-05	-0.00063174892
0.014	1.014	0.0112	0	0	0.99669704	0	0	0	0.99683311	1.0074502	6.4748955e-05	1.4055864e-05	6.0916504e-09	1.3789382e-05	4.489046e-09	6.5965452e-07	-2.5432985e-09	6.6616642e-07	3.542058e-08	-2.1596288e-05	5.2084045e-07	7.5983109e-05	7.5932209e-05	-0.00067033425
0.016	1.016	0.0128	0	0	0.9961405	0	0	0	0.99630147	1.0083355	7.4411832e-05	1.6190338e-05	-4.7042668e-08	1.5846394e-05	6.0171375e-09	7.1731239e-07	-5.2594941e-08	7.2693392e-07	4.176978e-08	-2.4819873e-05	6.8402694e-07	8.7351176e-05	8.7291183e-05	-0.00068726794
0.018	1.018	0.0144	0	0	0.99556842	0	0	0	0.99575778	1.0091892	8.4130826e-05	1.83374e-05	-1.0339938e-07	1.7905631e-05	7.8205753e-09	7.6748178e-07	-1.0474501e-07	7.8081954e-07	4.8540326e-08	-2.8062396e-05	8.7000518e-07	9.8785132e-05	9.8717226e-05	-0.00068788222
0.02	1.02	0.016	0	0	0.9949796	0	0	0	0.99520179	1.0100096	9.3895949e-05	2.0493372e-05	-1.6203523e-07	1.9963313e-05	9.9029466e-09	8.1204125e-07	-1.5803906e-07	8.2974056e-07	5.5775168e-08	-3.1320542e-05	1.0788958e-06	0.000110272	0.00011019734	-0.00067746152
0.022	1.022	0.0176	0	0	0.99437219	0	0	0	0.99463276	1.0107939	0.00010369786	2.2654705e-05	-2.2231627e-07	2.2015815e-05	1.227518e-08	8.5235318e-07	-2.1182765e-07	8.7510364e-07	6.3517994e-08	-3.4591218e-05	1.3107946e-06	0.00012179953	0.00012171925	-0.00065954329
0.024	1.024	0.0192	0	0	0.99374364	0	0	0	0.99404953	1.0115383	0.00011352755	2.4817754e-05	-2.8381773e-07	2.4059425e-05	1.4951473e-08	8.8942553e-07	-2.6566919e-07	9.1797281e-07	7.1814575e-08	-3.787144e-05	1.5657729e-06	0.00013335574	0.00013327093	-0.00063635743
0.026	1.026	0.0208	0	0	0.99309059	0	0	0	0.99345053	1.0122376	0.00012337611	2.6978429e-05	-3.4625582e-07	2.6090005e-05	1.7946324e-08	9.240164e-07	-3.1928039e-07	9.5919084e-07	8.0712089e-08	-4.1158255e-05	1.8438783e-06	0.00014492833	0.00014484007	-0.00060933612
0.028	1.028	0.0224	0	0	0.99240849	0	0	0	0.99283387	1.0128851	0.00013323504	2.9131048e-05	-4.0943464e-07	2.8101858e-05	2.1269379e-08	9.5670632e-07	-3.7258887e-07	9.9954388e-07	9.0254406e-08	-4.4448854e-05	2.1451332e-06	0.00015650417	0.00015641349	-0.00057972307
0.03	1.03	0.024	0	0	0.99168992	0	0	0	0.9921979	1.0134712	0.00014310031	3.1262102e-05	-4.7325421e-07	3.0081677e-05	2.4923105e-08	9.8803275e-07	-4.2615433e-07	1.0402521e-06	1.0046203e-07	-4.7741897e-05	2.4695322e-06	0.00016806825	0.00016797627	-0.00054759588
0.032	1.032	0.0256	0	0	0.9909259	0	0	0	0.99154001	1.013984	0.0001529648	3.3358701e-05	-5.3780357e-07	3.2016854e-05	2.8966208e-08	1.0184804e-06	-4.7987171e-07	1.081686e-06	1.1136776e-07	-5.1035044e-05	2.8170382e-06	0.00017960295	0.00017951138	-0.0005101168
0.034	1.034	0.0272	0	0	0.99010947	0	0	0	0.99085585	1.0144117	0.00016280945	3.5421822e-05	-6.028856e-07	3.3908158e-05	3.3420592e-08	1.0480565e-06	-5.3271993e-07	1.1231889e-06	1.2302823e-07	-5.4321965e-05	3.1875778e-06	0.00019108972	0.000191	-0.00046971237
0.036	1.036	0.0288	0	0	0.98923078	0	0	0	0.9901413	1.0147395	0.0001726185	3.7445281e-05	-6.6805373e-07	3.5749316e-05	3.826134e-08	1.0765287e-06	-5.8423523e-07	1.1645696e-06	1.354623e-07	-5.7597409e-05	3.5810383e-06	0.00020250763	0.00020242134	-0.00042628173
0.038	1.038	0.0304	0	0	0.98827756	0	0	0	0.98939206	1.0149501	0.00018237698	3.9418815e-05	-7.3257628e-07	3.7530071e-05	4.3450789e-08	1.1033307e-06	-6.3377693e-07	1.2053496e-06	1.4866389e-07	-6.0856365e-05	3.9972631e-06	0.00021383321	0.0002137522	-0.0003789897
0.04	1.04	0.032	0	0	0.98723582	0	0	0	0.98860368	1.0150244	0.00019206992	4.1329947e-05	-7.9524755e-07	3.923802e-05	4.8931062e-08	1.1273794e-06	-6.8026036e-07	1.2444936e-06	1.6260174e-07	-6.4093817e-05	4.4360471e-06	0.00022504126	0.00022496768	-0.00032704291
0.042	1.042	0.0336	0	0	0.98609069	0	0	0	0.98777178	1.0149419	0.00020168314	4.3164697e-05	-8.5422666e-07	4.0859347e-05	5.4618466e-08	1.1469272e-06	-7.2200877e-07	1.28026e-06	1.7721849e-07	-6.7304992e-05	4.8971339e-06	0.00023610619	0.00023604253	-0.00026972914
0.044	1.044	0.0352	0	0	0.98482769	0	0	0	0.98689231	1.0146833	0.00021120443	4.4908567e-05	-9.0701116e-07	4.2379844e-05	6.0403217e-08	1.1595437e-06	-7.5673328e-07	1.3101849e-06	1.9243338e-07	-7.0485755e-05	5.3802172e-06	0.0002470041	0.00024695307	-0.00020661567
0.046	1.046	0.0368	0	0	0.98343443	0	0	0	0.98596186	1.0142318	0.00022062474	4.6548091e-05	-9.5070533e-07	4.3786486e-05	6.615696e-08	1.1623818e-06	-7.8179171e-07	1.3313487e-06	2.0814699e-07	-7.3633014e-05	5.8849462e-06	0.00025771521	0.00025767969	-0.00013785278
0.048	1.048	0.0384	0	0	0.98190253	0	0	0	0.98497787	1.0135756	0.00022993911	4.807285e-05	-9.8268301e-07	4.5069449e-05	7.1750012e-08	1.1528263e-06	-7.9482374e-07	1.3410257e-06	2.2424529e-07	-7.6745036e-05	6.4109359e-06	0.00026822649	0.00026820919	-6.4515101e-05
0.05	1.05	0.04	0	0	0.98022911	0	0	0	0.9839389	1.0127098	0.00023914704	4.9477417e-05	-1.0014729e-06	4.6224023e-05	7.7075818e-08	1.1293593e-06	-7.9459532e-07	1.3375497e-06	2.4060242e-07	-7.9821574e-05	6.9577829e-06	0.00027853351	0.00027853663	1.12082e-05
0.052	1.052	0.0416	0	0	0.97841732	0	0	0	0.98284471	1.0116372	0.00024825216	5.0762349e-05	-1.0073618e-06	4.7251546e-05	8.207295e-08	1.0921484e-06	-7.8156277e-07	1.3209096e-06	2.5708685e-07	-8.2863774e-05	7.5250825e-06	0.00028864088	0.00028866579	8.6304184e-05
