lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1	0	0	0	0.99839783	1.0003946	8.8235051e-07	-1.7414986e-09	-4.2688044e-09	-4.6370422e-09	4.2949826e-07	8.9782827e-09	-6.5752719e-09	1.0585786e-08	1.9684788e-09	-4.3793908e-07	8.8551137e-10	8.8066108e-07	8.7127046e-07	-0.010778081
0.004	1.004	0	0	0	1	0	0	0	0.99656704	1.0005533	1.7278799e-06	-4.2032784e-09	-4.7657719e-09	-8.5797836e-09	7.591625e-07	7.8656865e-09	-9.0986732e-09	9.9946511e-09	2.5725787e-09	-8.2987167e-07	3.4850818e-09	1.7254617e-06	1.7284965e-06	0.0017557774
0.006	1.006	0	0	0	1	0	0	0	0.99463777	1.0006056	2.6080102e-06	-6.0408852e-09	-4.3142228e-09	-1.1375751e-08	1.0955462e-06	-5.943681e-09	-1.019075e-08	-3.6493647e-09	2.5593703e-09	-1.2353719e-06	7.7994975e-09	2.6055074e-06	2.6063294e-06	0.00031538945
0.008	1.008	0	0	0	1	0	0	0	0.99265545	1.0005967	3.5285851e-06	-5.5210617e-09	-3.5598051e-09	-1.1862739e-08	1.4540259e-06	-2.0902547e-08	-1.0253913e-08	-1.8153438e-08	2.713027e-09	-1.6617747e-06	1.3910399e-08	3.5258751e-06	3.5238353e-06	-0.00057887524
0.01	1.01	0	0	0	1	0	0	0	0.99064225	1.0005487	4.4846788e-06	-2.1115008e-09	-2.5699884e-09	-9.5505912e-09	1.8308888e-06	-3.2655523e-08	-9.7056977e-09	-2.9271537e-08	2.978014e-09	-2.1061819e-06	2.1894839e-08	4.4816666e-06	4.4769682e-06	-0.0010494538
0.012	1.012	0	0	0	1	0	0	0	0.98860949	1.0004728	5.4699734e-06	3.8170248e-09	-1.3646481e-09	-4.7497706e-09	2.2217512e-06	-4.2159905e-08	-8.8230351e-09	-3.808864e-08	3.2410387e-09	-2.5649886e-06	3.1818272e-08	5.4666674e-06	5.4595999e-06	-0.0012945087
0.014	1.014	0	0	0	1	0	0	0	0.98656211	1.000374	6.4781656e-06	1.1642122e-08	1.9415735e-11	1.9365314e-09	2.6232077e-06	-5.0430827e-08	-7.7415402e-09	-4.5662637e-08	3.4702173e-09	-3.0349479e-06	4.3733238e-08	6.4746024e-06	6.4656064e-06	-0.0013913641
0.016	1.016	0	0	0	1	0	0	0	0.98450225	1.0002543	7.5041334e-06	2.0797295e-08	1.5408722e-09	9.9466276e-09	3.032741e-06	-5.8006403e-08	-6.530018e-09	-5.2541375e-08	3.6668863e-09	-3.5135138e-06	5.7680698e-08	7.5003463e-06	7.4898416e-06	-0.0014025232
0.018	1.018	0	0	0	1	0	0	0	0.98243095	1.0001147	8.5440485e-06	3.0844116e-08	3.1617278e-09	1.8846265e-08	3.4484938e-06	-6.5160777e-08	-5.2285958e-09	-5.8999978e-08	3.8394276e-09	-3.9987939e-06	7.3692605e-08	8.5400617e-06	8.5283888e-06	-0.001368704
0.02	1.02	0	0	0	1	0	0	0	0.9803487	0.99995567	9.5951094e-06	4.1464648e-08	4.8497873e-09	2.8322581e-08	3.8690862e-06	-7.2041796e-08	-3.8635718e-09	-6.5185256e-08	3.9959457e-09	-4.4893972e-06	9.1794253e-08	9.5909384e-06	9.5783627e-06	-0.0013129264
0.022	1.022	0	0	0	1	0	0	0	0.97825577	0.9997774	1.065526e-05	5.2435554e-08	6.5788792e-09	3.8157268e-08	4.2934825e-06	-7.8734916e-08	-2.4536056e-09	-7.1181249e-08	4.1428014e-09	-4.9842951e-06	1.1200606e-07	1.0650914e-05	1.0637642e-05	-0.001247589
0.024	1.024	0	0	0	1	0	0	0	0.97615231	0.99957996	1.1722973e-05	6.360278e-08	8.3282568e-09	4.8200449e-08	4.7208963e-06	-8.5292793e-08	-1.0126708e-09	-7.7039199e-08	4.2846481e-09	-5.4827181e-06	1.3434482e-07	1.1718456e-05	1.1704653e-05	-0.0011792572
0.026	1.026	0	0	0	1	0	0	0	0.97403836	0.99936336	1.2797099e-05	7.4861407e-08	1.0081757e-08	5.8350173e-08	5.1507225e-06	-9.1749723e-08	4.4835394e-10	-8.2792059e-08	4.4247702e-09	-5.9840822e-06	1.5882467e-07	1.2792411e-05	1.277821e-05	-0.0011113607
0.028	1.028	0	0	0	1	0	0	0	0.97191395	0.99912754	1.3876758e-05	8.6140835e-08	1.182696e-08	6.8537541e-08	5.5824902e-06	-9.8129126e-08	1.9207434e-09	-8.846198e-08	4.5654194e-09	-6.4879379e-06	1.8545766e-07	1.3871897e-05	1.3857407e-05	-0.0010456428
0.03	1.03	0	0	0	1	0	0	0	0.96977906	0.99887243	1.4961266e-05	9.7394243e-08	1.3554434e-08	7.87163e-08	6.015828e-06	-1.0444764e-07	3.3973314e-09	-9.4064397e-08	4.7080844e-09	-6.993934e-06	2.142543e-07	1.4956228e-05	1.4941542e-05	-0.00098293516
0.032	1.032	0	0	0	1	0	0	0	0.96763366	0.99859794	1.6050086e-05	1.0859122e-07	1.5257105e-08	8.8855652e-08	6.4504399e-06	-1.1071748e-07	4.872116e-09	-9.9610387e-08	4.8536945e-09	-7.5017933e-06	2.4522383e-07	1.6044867e-05	1.6030062e-05	-0.00092357505
0.034	1.034	0	0	0	1	0	0	0	0.96547771	0.99830396	1.714279e-05	1.1971265e-07	1.6929735e-08	9.8935339e-08	6.8860872e-06	-1.1694787e-07	6.3399881e-09	-1.0510809e-07	5.0027694e-09	-8.0112934e-06	2.7837454e-07	1.7137384e-05	1.7122528e-05	-0.00086763305
0.036	1.036	0	0	0	1	0	0	0	0.96331116	0.99799036	1.8239033e-05	1.3074715e-07	1.8568507e-08	1.0894228e-07	7.3225756e-06	-1.2314589e-07	7.7965403e-09	-1.1056358e-07	5.15553e-09	-8.5222547e-06	3.1371394e-07	1.8233434e-05	1.8218585e-05	-0.00081503861
0.038	1.038	0	0	0	1	0	0	0	0.96113393	0.99765702	1.9338533e-05	1.4168862e-07	2.0170689e-08	1.1886825e-07	7.7597456e-06	-1.2931712e-07	9.2379283e-09	-1.1598148e-07	5.3119794e-09	-9.0345301e-06	3.5124888e-07	1.9332736e-05	1.9317945e-05	-0.00076564975
0.04	1.04	0	0	0	1	0	0	0	0.95894596	0.9973038	2.0441058e-05	1.5253449e-07	2.1734383e-08	1.2870833e-07	8.1974647e-06	-1.3546596e-07	1.066077e-08	-1.213653e-07	5.4719641e-09	-9.5479983e-06	3.9098572e-07	2.0435057e-05	2.0420369e-05	-0.00071929194
