t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
1.2	0.0166667	0.000453317	-0.00132813	1.1946	0.0175561	0.00296489	0.0145912	0.0224194	0	0.0399755	0.00251888
2.4	0.0333333	0.000880979	-0.00256782	2.29757	0.0699386	0.0117555	0.058183	0.0824793	0	0.152418	0.00664395
3.6	0.05	0.00129306	-0.00375735	3.3358	0.156724	0.0262211	0.130503	0.17429	0	0.331014	0.0108494
4.8	0.0666667	0.00169578	-0.00491486	4.32705	0.277495	0.0462162	0.231279	0.294363	0	0.571857	0.015067
6	0.0833333	0.00209248	-0.00605004	5.28108	0.431839	0.0716002	0.360239	0.439941	0	0.87178	0.0193872
7.2	0.1	0.00248504	-0.00716832	6.20358	0.619349	0.102237	0.517112	0.608662	0	1.22801	0.023848
8.4	0.116667	0.00287459	-0.0082729	7.09817	0.839626	0.137997	0.701629	0.79848	0	1.63811	0.028436
9.6	0.133333	0.00326184	-0.00936587	7.96734	1.09227	0.178753	0.91352	1.00763	0	2.09991	0.0331128
10.8	0.15	0.00364733	-0.0104487	8.813	1.3769	0.224383	1.15252	1.23462	0	2.61152	0.0378326
12	0.166667	0.00403145	-0.0115224	9.63672	1.69312	0.274769	1.41835	1.47815	0	3.17127	0.0425522
13.2	0.183333	0.00441454	-0.0125881	10.4398	2.04056	0.329798	1.71076	1.73714	0	3.7777	0.0472345
14.4	0.2	0.00479688	-0.0136465	11.2235	2.41883	0.389359	2.02947	2.01064	0	4.42947	0.0518499
15.6	0.216667	0.00517872	-0.0146982	11.9889	2.82758	0.453347	2.37423	2.29786	0	5.12543	0.0563756
16.8	0.233333	0.00556029	-0.015744	12.7369	3.26642	0.521658	2.74477	2.59809	0	5.86452	0.0607952
18	0.25	0.0059418	-0.0167844	13.4684	3.73501	0.594193	3.14082	2.91074	0	6.64576	0.0650977
19.2	0.266667	0.00632342	-0.01782	14.1843	4.23299	0.670854	3.56214	3.23528	0	7.46828	0.0692763
20.4	0.283333	0.00670534	-0.0188511	14.8854	4.76001	0.75155	4.00846	3.57125	0	8.33125	0.0733279
21.6	0.3	0.00708771	-0.0198783	15.5724	5.31571	0.836187	4.47952	3.91821	0	9.23392	0.0772521
22.8	0.316667	0.00747067	-0.020902	16.2459	5.89976	0.92468	4.97508	4.27581	0	10.1756	0.0810508
24	0.333333	0.00785434	-0.0219225	16.9066	6.51181	1.01694	5.49487	4.64369	0	11.1555	0.0847274
25.2	0.35	0.00823886	-0.0229402	17.5551	7.15154	1.11289	6.03865	5.02153	0	12.1731	0.0882867
26.4	0.366667	0.00862432	-0.0239553	18.1918	7.81861	1.21245	6.60616	5.40905	0	13.2277	0.0917344
27.6	0.383333	0.00901083	-0.0249683	18.8173	8.5127	1.31553	7.19717	5.80596	0	14.3187	0.0950766
28.8	0.4	0.00939847	-0.0259793	19.4321	9.23348	1.42207	7.81141	6.21201	0	15.4455	0.0983199
30	0.416667	0.00978732	-0.0269886	20.0366	9.98063	1.53198	8.44865	6.62693	0	16.6076	0.101471
31.2	0.433333	0.0101775	-0.0279963	20.6312	10.7538	1.6452	9.10865	7.05048	0	17.8043	0.104537
32.4	0.45	0.010569	-0.0290028	21.2163	11.5528	1.76166	9.79115	7.48243	0	19.0352	0.107525
33.6	0.466667	0.0108592	-0.0300054	21.7921	12.3772	1.8813	10.4959	7.92254	2.75611e-08	20.2997	0.110451
34.8	0.483333	0.0109866	-0.0310615	22.3594	13.2263	2.00401	11.2223	8.37059	7.802e-07	21.5969	0.113413
36	0.5	0.0117773	-0.0317423	22.9174	14.0985	2.12959	11.9689	8.82635	8.06493e-06	22.9249	0.116624
37.2	0.516667	0.0130222	-0.0328004	23.4639	14.9918	2.2578	12.734	9.28962	4.38401e-05	24.2815	0.120218
38.4	0.533333	0.0132484	-0.0350734	23.9993	15.9026	2.38839	13.5142	9.76019	0.000160959	25.6629	0.12454
39.6	0.55	0.0129703	-0.0368909	24.5239	16.8272	2.52111	14.3061	10.2379	0.000464549	27.0655	0.129569
40.8	0.566667	0.0129238	-0.0369124	25.0379	17.7622	2.65558	15.1066	10.7225	0.00113264	28.4858	0.135175
42	0.583333	0.0132905	-0.0364	25.54	18.7036	2.79127	15.9123	11.2142	0.00242466	29.9202	0.141427
43.2	0.6	0.0138561	-0.036568	26.0276	19.6473	2.92767	16.7196	11.7127	0.00468741	31.3646	0.148297
44.4	0.616667	0.0132599	-0.0372575	26.497	20.5893	3.06435	17.525	12.2179	0.00835288	32.8156	0.155668
45.6	0.633333	0.0128452	-0.0384646	26.9484	21.5267	3.20109	18.3256	12.7299	0.0139252	34.2705	0.163253
46.8	0.65	0.0133647	-0.0413647	27.3829	22.4571	3.33775	19.1194	13.2487	0.0219613	35.7278	0.170763
48	0.666667	0.0142188	-0.0444788	27.8018	23.3792	3.47417	19.905	13.7744	0.0330488	37.1866	0.178064
49.2	0.683333	0.0154582	-0.0465093	28.2073	24.2911	3.6101	20.6811	14.3069	0.0477832	38.6459	0.185221
50.4	0.7	0.0167535	-0.0475423	28.6001	25.191	3.74521	21.4458	14.8464	0.0667493	40.1042	0.192375
51.6	0.716667	0.01787	-0.0477507	28.98	26.0777	3.87926	22.1984	15.3928	0.0905128	41.561	0.199346
52.8	0.733333	0.0184965	-0.0470106	29.3456	26.9506	4.01209	22.9386	15.9462	0.119612	43.0164	0.205983
54	0.75	0.0193712	-0.0466878	29.6956	27.8098	4.14362	23.6661	16.5063	0.154546	44.4706	0.212271
55.2	0.766667	0.0203929	-0.0465766	30.03	28.6552	4.27382	24.3813	17.0733	0.195768	45.9242	0.218166
56.4	0.783333	0.0210935	-0.046506	30.3491	29.4869	4.40266	25.0843	17.6469	0.243683	47.3776	0.223738
57.6	0.8	0.0214569	-0.0470976	30.6544	30.3051	4.53014	25.775	18.2272	0.29864	48.831	0.229138
58.8	0.816667	0.0210057	-0.0480976	30.9494	31.1096	4.65628	26.4533	18.8139	0.360938	50.2844	0.23445
60	0.833333	0.0203271	-0.0500617	31.2357	31.9004	4.78113	27.1193	19.4068	0.430833	51.7381	0.239579
61.2	0.85	0.0194977	-0.0523072	31.5151	32.6781	4.90473	27.7733	20.0059	0.508542	53.1925	0.244493
62.4	0.866667	0.0191843	-0.0547973	31.7875	33.4434	5.02715	28.4162	20.6109	0.59424	54.6485	0.249139
63.6	0.883333	0.0195478	-0.0579371	32.0538	34.1971	5.14845	29.0487	21.2215	0.688066	56.1067	0.253543
64.8	0.9	0.0210489	-0.0613313	32.3126	34.9398	5.26865	29.6712	21.8377	0.790124	57.5676	0.257785
66	0.916667	0.0231289	-0.0651405	32.5631	35.6718	5.38773	30.2841	22.459	0.900478	59.0313	0.261951
67.2	0.933333	0.0249095	-0.0685286	32.8052	36.3932	5.50568	30.8876	23.0854	1.01916	60.4978	0.266134
68.4	0.95	0.0262557	-0.0711732	33.0387	37.1042	5.62248	31.4817	23.7165	1.14619	61.9669	0.270301
69.6	0.966667	0.0269119	-0.0719846	33.2641	37.8048	5.73816	32.0666	24.3521	1.28156	63.4384	0.274496
70.8	0.983333	0.0277022	-0.0718315	33.4818	38.4952	5.85271	32.6425	24.9919	1.42525	64.9124	0.278737
72	1	0.0282064	-0.0706095	33.6924	39.1752	5.96616	33.2091	25.6358	1.57723	66.3882	0.282967
73.2	0.983333	0.027742	-0.0696181	32.3196	37.1814	5.68424	31.4972	24.2532	1.64759	63.0822	0.194675
74.4	0.966667	0.02684	-0.0675184	31.1552	35.5023	5.43717	30.0652	22.9517	1.66257	60.1166	0.151626
75.6	0.95	0.0260031	-0.0654688	30.0857	33.9259	5.20386	28.722	21.7288	1.66257	57.3172	0.132304
76.8	0.933333	0.0251964	-0.0635193	29.0671	32.3984	4.97811	27.4203	20.5797	1.66257	54.6407	0.11884
78	0.916667	0.0244169	-0.0616422	28.0865	30.9188	4.75943	26.1593	19.4963	1.66257	52.0776	0.107818
79.2	0.9	0.0236604	-0.0598251	27.1369	29.4858	4.54747	24.9383	18.4716	1.66257	49.6199	0.0988928
80.4	0.883333	0.0229241	-0.0580603	26.2139	28.0984	4.342	23.7564	17.4997	1.66257	47.2606	0.0917594
81.6	0.866667	0.0222064	-0.0563425	25.3148	26.7556	4.14281	22.6128	16.5755	1.66257	44.9937	0.0861324
82.8	0.85	0.021506	-0.0546677	24.4374	25.4566	3.94974	21.5069	15.6947	1.66257	42.8139	0.0817546
84	0.833333	0.0208219	-0.0530328	23.5802	24.2005	3.76267	20.4378	14.8536	1.66257	40.7167	0.0784009
85.2	0.816667	0.0201531	-0.051435	22.7417	22.9864	3.58145	19.4049	14.0493	1.66257	38.6982	0.075879
86.4	0.8	0.0194991	-0.049872	21.9207	21.8133	3.40596	18.4074	13.2791	1.66257	36.755	0.0740271
87.6	0.783333	0.0188706	-0.0483662	21.1181	20.6806	3.23608	17.4446	12.5409	1.66257	34.8841	0.0727104
88.8	0.766667	0.0182464	-0.046871	20.3291	19.5874	3.0717	16.5157	11.8328	1.66257	33.0828	0.0718178
90	0.75	0.0176351	-0.0454048	19.5545	18.5329	2.9127	15.6202	11.1534	1.66257	31.3489	0.0712582
91.2	0.733333	0.0170362	-0.043966	18.7935	17.5161	2.75897	14.7572	10.5014	1.66257	29.6801	0.0709573
92.4	0.716667	0.0164492	-0.0425532	18.0452	16.5365	2.6104	13.926	9.87569	1.66257	28.0747	0.0708554
93.6	0.7	0.0158735	-0.0411649	17.3088	15.593	2.46689	13.1261	9.27539	1.66257	26.531	0.0709044
94.8	0.683333	0.0153088	-0.0397998	16.5836	14.6851	2.32833	12.3568	8.69977	1.66257	25.0474	0.0710661
96	0.666667	0.0147544	-0.0384568	15.8689	13.8118	2.19462	11.6172	8.14821	1.66257	23.6226	0.0713106
97.2	0.65	0.0142099	-0.0371348	15.1639	12.9726	2.06565	10.9069	7.62019	1.66257	22.2553	0.0716149
98.4	0.633333	0.013675	-0.035833	14.4681	12.1665	1.94132	10.2251	7.11527	1.66257	20.9443	0.0719612
99.6	0.616667	0.0131491	-0.0345505	13.7809	11.3929	1.82155	9.57131	6.63309	1.66257	19.6885	0.0723367
100.8	0.6	0.012632	-0.0332865	13.1016	10.651	1.70624	8.94478	6.17333	1.66257	18.4869	0.0727319
102	0.583333	0.0121232	-0.0320406	12.4296	9.94024	1.59529	8.34495	5.73575	1.66257	17.3386	0.0731407
103.2	0.566667	0.0116224	-0.030812	11.7645	9.25985	1.48862	7.77123	5.32012	1.66257	16.2425	0.0735591
104.4	0.55	0.0111293	-0.0296006	11.1056	8.60919	1.38614	7.22305	4.92626	1.66257	15.198	0.0739854
105.6	0.533333	0.0105899	-0.028321	10.4493	7.98761	1.28778	6.69984	4.55401	1.66257	14.2042	0.0744191
106.8	0.516667	0.0101102	-0.0271423	9.80147	7.39451	1.19344	6.20107	4.20325	1.66257	13.2603	0.0748612
108	0.5	0.00963789	-0.025981	9.15845	6.8293	1.10307	5.72623	3.87385	1.66257	12.3657	0.0753135
109.2	0.483333	0.00917296	-0.0248373	8.5197	6.2914	1.01659	5.27481	3.56572	1.66257	11.5197	0.0757784
110.4	0.466667	0.00871502	-0.0237116	7.88473	5.78029	0.933926	4.84636	3.27876	1.66257	10.7216	0.0762591
111.6	0.45	0.00826462	-0.0226038	7.25305	5.29544	0.855026	4.44042	3.01291	1.66257	9.97092	0.0767589
112.8	0.433333	0.00782158	-0.0215146	6.6242	4.83639	0.779831	4.05656	2.7681	1.66257	9.26705	0.0772816
114	0.416667	0.00738603	-0.0204447	5.99769	4.40269	0.708288	3.6944	2.54425	1.66257	8.60951	0.0778309
115.2	0.4	0.00695808	-0.0193947	5.37305	3.99392	0.640351	3.35357	2.34132	1.66257	7.99781	0.0784108
116.4	0.383333	0.00653801	-0.0183657	4.74981	3.6097	0.57598	3.03372	2.15926	1.66257	7.43152	0.0790253
117.6	0.366667	0.00612636	-0.0173583	4.1275	3.24969	0.515139	2.73455	1.99801	1.66257	6.91027	0.0796782
118.8	0.35	0.0057238	-0.0163735	3.50564	2.91359	0.457801	2.45579	1.85752	1.66257	6.43368	0.0803733
120	0.333333	0.00533073	-0.0154125	2.88376	2.60112	0.403942	2.19718	1.73776	1.66257	6.00144	0.0811145
121.2	0.316667	0.00494733	-0.0144761	2.26139	2.31206	0.353548	1.95851	1.63867	1.66257	5.6133	0.0819054
122.4	0.3	0.00458163	-0.0135849	1.63781	2.04621	0.306611	1.7396	1.56022	1.66257	5.269	0.0827494
123.6	0.283333	0.00421515	-0.0126957	1.01269	1.80344	0.263129	1.54031	1.50237	1.66257	4.96837	0.0836499
124.8	0.266667	0.00386196	-0.0118364	0.385648	1.58363	0.22311	1.36052	1.46507	1.66257	4.71127	0.0846102
126	0.25	0.00352329	-0.0110086	-0.243815	1.38674	0.186569	1.20017	1.44828	1.66257	4.49759	0.0856333
127.2	0.233333	0.00320042	-0.0102141	-0.876185	1.21274	0.15353	1.05921	1.45197	1.66257	4.32727	0.0867221
128.4	0.216667	0.00289459	-0.00945428	-1.51196	1.06167	0.124027	0.937644	1.47609	1.66257	4.20033	0.0878795
129.6	0.2	0.002607	-0.00873069	-2.15166	0.933621	0.0981017	0.835519	1.52061	1.66257	4.11679	0.0891079
