t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
1.2	0.0125	0.000495682	-0.000146609	1.20054	0.0176138	0.0029816	0.0146322	0.0224932	0	0.0401069	0.00252715
2.4	0.025	0.00094804	-0.000267609	2.30896	0.0701681	0.0118216	0.0583465	0.08275	0	0.152918	0.00666571
3.6	0.0375	0.00137525	-0.000373331	3.35229	0.157237	0.0263677	0.13087	0.174861	0	0.332098	0.0108849
4.8	0.05	0.0017844	-0.000466341	4.3484	0.278402	0.0464735	0.231928	0.295324	0	0.573726	0.015116
6	0.0625	0.00217932	-0.000548129	5.3071	0.433247	0.0719971	0.36125	0.441375	0	0.874622	0.01945
7.2	0.075	0.00256222	-0.000619646	6.2341	0.621365	0.102802	0.518563	0.610642	0	1.23201	0.023925
8.4	0.0875	0.00293445	-0.000681566	7.13303	0.842353	0.138755	0.703597	0.801072	0	1.64342	0.0285276
9.6	0.1	0.00329691	-0.000734412	8.00641	1.09581	0.179731	0.916082	1.0109	0	2.10671	0.0332191
10.8	0.1125	0.00365028	-0.000778625	8.85616	1.38135	0.225605	1.15575	1.23861	0	2.61996	0.0379536
12	0.125	0.00399509	-0.000814591	9.68384	1.69858	0.276259	1.42233	1.48292	0	3.18151	0.0426879
13.2	0.1375	0.00433179	-0.00084266	10.4908	2.04713	0.331578	1.71555	1.74273	0	3.78986	0.0473847
14.4	0.15	0.00466077	-0.000863156	11.2782	2.4266	0.391452	2.03515	2.0171	0	4.44371	0.0520142
15.6	0.1625	0.00498237	-0.000876378	12.0472	2.83664	0.455773	2.38087	2.30522	0	5.14187	0.0565537
16.8	0.175	0.00529692	-0.000882608	12.7988	3.27688	0.524438	2.75244	2.60641	0	5.88328	0.0609867
18	0.1875	0.00560471	-0.000882109	13.5338	3.74694	0.597345	3.1496	2.92004	0	6.66698	0.065302
19.2	0.2	0.00590598	-0.000875131	14.2531	4.24649	0.674399	3.57209	3.24559	0	7.49208	0.0694931
20.4	0.2125	0.00620099	-0.000861909	14.9574	4.77515	0.755503	4.01964	3.5826	0	8.35775	0.0735566
21.6	0.225	0.00648996	-0.000842666	15.6476	5.33258	0.840567	4.49201	3.93065	0	9.26323	0.0774922
22.8	0.2375	0.00677308	-0.000817614	16.3243	5.91844	0.929503	4.98894	4.28935	0	10.2078	0.0813018
24	0.25	0.00705054	-0.000786955	16.988	6.53239	1.02222	5.51017	4.65837	0	11.1908	0.084989
25.2	0.2625	0.00732251	-0.00075088	17.6395	7.1741	1.11865	6.05545	5.03738	0	12.2115	0.0885584
26.4	0.275	0.00758914	-0.000709574	18.2791	7.84322	1.21869	6.62453	5.42609	0	13.2693	0.0920157
27.6	0.2875	0.00785058	-0.000663212	18.9075	8.53943	1.32227	7.21716	5.82422	0	14.3637	0.0953671
28.8	0.3	0.00810696	-0.000611962	19.5251	9.26242	1.42933	7.83309	6.2315	0	15.4939	0.0986194
30	0.3125	0.0083584	-0.000555987	20.1323	10.0118	1.53977	8.47208	6.64769	0	16.6595	0.101779
31.2	0.325	0.00860501	-0.000495442	20.7296	10.7874	1.65353	9.13388	7.07253	0	17.8599	0.104854
32.4	0.3375	0.00884688	-0.00043048	21.3173	11.5888	1.77055	9.81825	7.50578	0	19.0946	0.107849
33.6	0.35	0.00901994	-0.000347217	21.896	12.4157	1.89074	10.5249	7.94722	1.5557e-08	20.3629	0.110778
34.8	0.3625	0.00928454	-2.52713e-05	22.4657	13.2675	2.01404	11.2534	8.39662	4.8296e-07	21.6641	0.113712
36	0.375	0.00940347	-0.000289004	23.0249	14.1428	2.14025	12.0025	8.85376	5.52152e-06	22.9966	0.116855
37.2	0.3875	0.00947553	-0.00112933	23.5743	15.0392	2.26909	12.7701	9.31841	3.30367e-05	24.3576	0.120471
38.4	0.4	0.00982611	-0.000823461	24.1138	15.9533	2.40033	13.553	9.79037	0.000132137	25.7438	0.124768
39.6	0.4125	0.0108336	0.000880004	24.6421	16.8813	2.53372	14.3476	10.2695	0.00040441	27.1512	0.129827
40.8	0.425	0.0118165	0.00275108	25.1587	17.8195	2.66885	15.1507	10.7556	0.00102479	28.5761	0.135506
42	0.4375	0.011868	0.00391198	25.6629	18.7643	2.80521	15.9591	11.2486	0.00225139	30.0152	0.141762
43.2	0.45	0.0105838	0.00326594	26.1516	19.7114	2.94225	16.7691	11.7485	0.00443079	31.4644	0.148677
44.4	0.4625	0.00920653	0.00335692	26.6224	20.6567	3.07956	17.5771	12.2552	0.00799658	32.9199	0.1561
45.6	0.475	0.00780899	0.00364997	27.0754	21.5971	3.21694	18.3801	12.7687	0.0134574	34.3793	0.163764
46.8	0.4875	0.0068299	0.00299673	27.5107	22.5299	3.35418	19.1757	13.289	0.0213769	35.8403	0.171482
48	0.5	0.00687434	0.00209696	27.9303	23.4537	3.49113	19.9626	13.8161	0.0323511	37.3022	0.178963
49.2	0.5125	0.00808552	0.00154995	28.3354	24.3667	3.62753	20.7391	14.3502	0.0469835	38.7638	0.186314
50.4	0.525	0.0105346	0.000557012	28.7269	25.267	3.76307	21.504	14.8911	0.065868	40.224	0.193569
51.6	0.5375	0.0135237	-0.000765934	29.1058	26.1541	3.89756	22.2566	15.439	0.0895806	41.6828	0.200513
52.8	0.55	0.0155704	-0.000893609	29.4716	27.0274	4.03085	22.9966	15.9939	0.118665	43.14	0.207151
54	0.5625	0.0163028	-0.000188397	29.8232	27.8866	4.16285	23.7238	16.5556	0.153628	44.5958	0.213457
55.2	0.575	0.0157635	0.000655849	30.1596	28.7317	4.29346	24.4383	17.1241	0.194932	46.0508	0.2194
56.4	0.5875	0.0144295	0.00128597	30.4818	29.5629	4.42266	25.1402	17.6993	0.242992	47.5052	0.225018
57.6	0.6	0.0127694	0.00242995	30.7904	30.3799	4.55047	25.8294	18.2812	0.298166	48.9593	0.230503
