t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
12	0.0125	0.000703738	0.000377516	0.969768	0.0175908	0.00297328	0.0146175	0.0134165	0	0.0310073	0.000326759
24	0.025	0.0013233	0.000704531	1.82575	0.0700764	0.0117898	0.0582866	0.0461638	0	0.11624	0.000766444
36	0.0375	0.00189799	0.00100838	2.61579	0.157032	0.0262993	0.130732	0.0928936	0	0.249925	0.00117865
48	0.05	0.00244301	0.00129712	3.36141	0.278038	0.0463567	0.231681	0.150968	0	0.429006	0.0015639
60	0.0625	0.0029663	0.00157497	4.07389	0.43268	0.0718215	0.360859	0.218433	0	0.651113	0.00194086
72	0.075	0.00347231	0.00184432	4.75966	0.620552	0.102558	0.517994	0.293555	0	0.914107	0.00232328
84	0.0875	0.0039637	0.00210661	5.42259	0.84125	0.138435	0.702816	0.374752	0	1.216	0.0027176
96	0.1	0.00444214	0.00236276	6.06516	1.09438	0.179325	0.915053	0.460594	0	1.55497	0.00312523
108	0.1125	0.00490876	0.00261338	6.68909	1.37954	0.225106	1.15444	0.549806	0	1.92935	0.0035448
120	0.125	0.00536438	0.00285892	7.29567	1.69636	0.275661	1.4207	0.641271	0	2.33763	0.00397363
132	0.1375	0.00580966	0.00309975	7.88593	2.04445	0.330875	1.71357	0.734019	0	2.77847	0.00440861
144	0.15	0.00624514	0.00333616	8.46075	2.42343	0.390638	2.03279	0.827214	0	3.25064	0.00484663
156	0.1625	0.00667131	0.00356844	9.02092	2.83293	0.454844	2.37808	0.920144	0	3.75307	0.00528482
168	0.175	0.0070886	0.00379681	9.56715	3.27259	0.523391	2.7492	1.01221	0	4.28479	0.00572063
180	0.1875	0.00749743	0.00402151	10.1001	3.74204	0.596179	3.14586	1.1029	0	4.84493	0.00615185
192	0.2	0.00789816	0.00424274	10.6204	4.24092	0.673113	3.56781	1.19179	0	5.43272	0.00657662
204	0.2125	0.00829115	0.00446071	11.1286	4.7689	0.754098	4.0148	1.27855	0	6.04744	0.00699338
216	0.225	0.00867674	0.00467561	11.6252	5.3256	0.839045	4.48656	1.36289	0	6.68849	0.00740086
228	0.2375	0.00905525	0.00488762	12.1108	5.9107	0.927867	4.98283	1.44459	0	7.35529	0.00779806
240	0.25	0.00942697	0.00509691	12.5859	6.52385	1.02048	5.50337	1.52348	0	8.04733	0.00818419
252	0.2625	0.00979219	0.00530364	13.051	7.16472	1.1168	6.04792	1.59944	0	8.76416	0.00855866
264	0.275	0.0101512	0.00550797	13.5064	7.83297	1.21675	6.61622	1.67237	0	9.50534	0.00892104
276	0.2875	0.0105042	0.00571006	13.9525	8.52828	1.32025	7.20804	1.74221	0	10.2705	0.00927105
