t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
12	0.0166667	-0.00328863	0.000654464	0.989575	0.0194818	0.0153145	0.00416724	0.0151315	0	0.0346133	0.000479792
24	0.0333333	-0.00616009	0.00131897	1.85758	0.0774995	0.0608047	0.0166948	0.052239	0	0.129738	0.00131933
36	0.05	-0.0087702	0.00204898	2.65394	0.173399	0.135761	0.0376377	0.105367	0	0.278767	0.00235966
48	0.0666667	-0.0111635	0.00288686	3.40032	0.306508	0.239429	0.0670787	0.171536	0	0.478043	0.00359737
60	0.0833333	-0.0133399	0.00387853	4.10782	0.47613	0.370992	0.105138	0.248512	0	0.724641	0.00504889
72	0.1	-0.0152675	0.00507957	4.78247	0.681544	0.529557	0.151987	0.334309	0	1.01585	0.0067252
84	0.116667	-0.0168834	0.00656057	5.42759	0.921997	0.714123	0.207874	0.427105	0	1.3491	0.00862932
96	0.133333	-0.018087	0.00841332	6.04485	1.19669	0.92353	0.27316	0.52524	0	1.72193	0.0107588
108	0.15	-0.0187251	0.010758	6.63483	1.50476	1.15637	0.348399	0.627228	0	2.13199	0.0131083
120	0.166667	-0.0185707	0.0137499	7.1971	1.84526	1.41079	0.434469	0.731747	0	2.57701	0.0156719
132	0.183333	-0.017295	0.0175792	7.72988	2.21706	1.68421	0.532856	0.837644	0	3.05471	0.0184449
144	0.2	-0.0144537	0.0224403	8.22926	2.61872	1.97255	0.64617	0.943931	0	3.56266	0.0214264
156	0.216667	-0.00955162	0.0284145	8.68796	3.04822	2.26926	0.778965	1.04981	0	4.09803	0.0246229
168	0.233333	-0.00231058	0.0352133	9.09493	3.50258	2.56431	0.938273	1.15467	0	4.65725	0.0280485
180	0.25	0.00689381	0.042029	9.43955	3.97792	2.84602	1.1319	1.25791	0	5.23583	0.0317096
192	0.266667	0.0170178	0.0479987	9.72034	4.47046	3.10672	1.36374	1.35859	0	5.82905	0.0355777
204	0.283333	0.0268985	0.052925	9.94815	4.97778	3.34669	1.63109	1.45542	0	6.4332	0.0395953
216	0.3	0.0358913	0.0571463	10.1387	5.49888	3.57153	1.92735	1.54726	0	7.04613	0.0437154
228	0.316667	0.0438775	0.0610246	10.3051	6.03346	3.78753	2.24594	1.63347	0	7.66694	0.0479193
240	0.333333	0.0510118	0.0647563	10.4559	6.58139	3.99945	2.58194	1.71387	0	8.29525	0.0522069
252	0.35	0.0575197	0.0684154	10.5957	7.14242	4.21025	2.93218	1.78849	0	8.93091	0.0565831
264	0.366667	0.063606	0.0720193	10.7271	7.71625	4.42152	3.29473	1.85753	0	9.57378	0.0610522
276	0.383333	0.0694221	0.0755602	10.8513	8.30242	4.63394	3.66847	1.92122	0	10.2236	0.065616
288	0.4	0.0750824	0.0790289	10.9688	8.90048	4.84769	4.05279	1.97986	0	10.8803	0.0702744
300	0.416667	0.0806656	0.0824112	11.0799	9.50998	5.0626	4.44738	2.03376	0	11.5437	0.0750266
312	0.433333	0.0862157	0.0856968	11.1849	10.1304	5.27834	4.85205	2.08323	0	12.2136	0.0798715
324	0.45	0.0916771	0.0889837	11.2838	10.7612	5.49449	5.26669	2.1286	0	12.8898	0.0848076
336	0.466667	0.0973219	0.0919454	11.3769	11.4019	5.71059	5.69132	2.17019	0	13.5721	0.0898338
348	0.483333	0.103152	0.0949415	11.4644	12.0521	5.92614	6.12591	2.20823	2.11824e-07	14.2603	0.0949443
360	0.5	0.10926	0.0978537	11.5466	12.7111	6.14067	6.57046	2.24293	1.74222e-06	14.9541	0.100118
372	0.516667	0.115432	0.101198	11.6212	13.3749	6.35262	7.02232	2.27473	1.45593e-05	15.6497	0.106734
384	0.533333	0.121336	0.104793	11.6884	14.0435	6.56165	7.48184	2.304	8.25819e-05	16.3476	0.11325
396	0.55	0.127956	0.108785	11.7491	14.7162	6.76729	7.94888	2.33093	0.000246828	17.0473	0.119871
408	0.566667	0.135685	0.112378	11.8035	15.3906	6.96884	8.42177	2.35579	0.000546745	17.747	0.127254
420	0.583333	0.14453	0.115781	11.8519	16.066	7.1661	8.89991	2.3787	0.0010411	18.4458	0.13469
432	0.6	0.15394	0.118905	11.8954	16.7439	7.35912	9.3848	2.39985	0.00178606	19.1456	0.141345
444	0.616667	0.162666	0.121854	11.9337	17.4253	7.54768	9.87764	2.41941	0.00280539	19.8475	0.147622
456	0.633333	0.17118	0.124325	11.9673	18.1104	7.73156	10.3789	2.43751	0.00409136	20.552	0.153745
468	0.65	0.179201	0.126361	11.9961	18.798	7.91041	10.8876	2.45442	0.0056341	21.2581	0.160273
480	0.666667	0.18657	0.128067	12.0198	19.4883	8.08399	11.4043	2.47044	0.00742877	21.9662	0.166801
492	0.683333	0.19337	0.129552	12.0392	20.182	8.2522	11.9298	2.48569	0.00947353	22.6772	0.173019
504	0.7	0.199723	0.130866	12.055	20.8794	8.4149	12.4645	2.50034	0.0117633	23.3915	0.179141
516	0.716667	0.205679	0.131992	12.0677	21.5803	8.57188	13.0084	2.51442	0.0142864	24.109	0.185405
528	0.733333	0.210657	0.132636	12.0761	22.2845	8.723	13.5615	2.52825	0.0170345	24.8298	0.19187
540	0.75	0.215585	0.132822	12.0825	22.9919	8.86819	14.1237	2.54192	0.0199887	25.5538	0.198454
552	0.766667	0.220238	0.132607	12.0867	23.7021	9.00742	14.6947	2.55535	0.0231406	26.2806	0.205096
564	0.783333	0.224743	0.131953	12.0894	24.4141	9.14058	15.2735	2.56863	0.0264792	27.0092	0.21226
576	0.8	0.228735	0.130806	12.0907	25.1271	9.26758	15.8595	2.58182	0.0300016	27.7389	0.219637
588	0.816667	0.232425	0.129357	12.0901	25.8414	9.38857	16.4528	2.59478	0.0337056	28.4698	0.226899
600	0.833333	0.235931	0.127708	12.0887	26.5567	9.50377	17.0529	2.60752	0.0375779	29.2018	0.234281
612	0.85	0.239145	0.125996	12.0864	27.2728	9.61329	17.6595	2.62004	0.041626	29.9345	0.241704
624	0.866667	0.241803	0.124201	12.083	27.9896	9.71726	18.2723	2.63243	0.0458512	30.6678	0.249244
636	0.883333	0.244086	0.12247	12.0793	28.7069	9.81584	18.8911	2.64488	0.0502639	31.4021	0.256879
648	0.9	0.245978	0.120879	12.0751	29.4243	9.90909	19.5152	2.65744	0.0548751	32.1366	0.264847
660	0.916667	0.247739	0.119457	12.0706	30.1418	9.99722	20.1446	2.67017	0.059699	32.8717	0.272786
672	0.933333	0.249626	0.118079	12.0663	30.8597	10.0805	20.7792	2.68319	0.064747	33.6076	0.280708
