t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
1.2	0.0166667	-0.00626268	-0.00454724	3.29271	0.0497534	0.0336298	0.0161236	0.0635983	0	0.113352	0.00718017
2.4	0.0333333	-0.0121721	-0.00936765	6.32345	0.19813	0.133611	0.0645192	0.233952	0	0.432082	0.0190104
3.6	0.05	-0.0178792	-0.0145606	9.17153	0.443792	0.298561	0.145232	0.494268	0	0.93806	0.0311698
4.8	0.0666667	-0.0234658	-0.0202027	11.8852	0.785389	0.527069	0.25832	0.834522	0	1.61991	0.0434607
6	0.0833333	-0.0289727	-0.0263511	14.4905	1.22155	0.817691	0.40386	1.24675	0	2.46831	0.0561356
7.2	0.1	-0.0344194	-0.0330549	17.0025	1.7509	1.16895	0.581944	1.7241	0	3.47499	0.0692975
8.4	0.116667	-0.0398127	-0.0403611	19.4303	2.37202	1.57934	0.792683	2.26057	0	4.63259	0.0829048
9.6	0.133333	-0.0451512	-0.0483177	21.7803	3.08351	2.0473	1.03621	2.85098	0	5.93449	0.0968444
10.8	0.15	-0.0504278	-0.0569763	24.0569	3.88392	2.57125	1.31268	3.49086	0	7.37478	0.110984
12	0.166667	-0.0556293	-0.0663939	26.2637	4.77181	3.14954	1.62227	4.17633	0	8.94814	0.125198
13.2	0.183333	-0.0607368	-0.0766339	28.4038	5.74569	3.7805	1.96519	4.90406	0	10.6497	0.139378
14.4	0.2	-0.0657245	-0.0877684	30.4798	6.80407	4.46239	2.34168	5.67114	0	12.4752	0.153438
15.6	0.216667	-0.0705584	-0.0998798	32.4938	7.94543	5.19342	2.75202	6.47503	0	14.4205	0.167311
16.8	0.233333	-0.0751946	-0.113064	34.448	9.16824	5.97172	3.19653	7.31349	0	16.4817	0.180949
18	0.25	-0.0795771	-0.127432	36.344	10.4709	6.79536	3.67557	8.18452	0	18.6554	0.194318
19.2	0.266667	-0.0836349	-0.143117	38.1833	11.8519	7.66232	4.18958	9.08631	0	20.9382	0.207398
20.4	0.283333	-0.0872784	-0.160276	39.9674	13.3095	8.57048	4.73906	10.0172	0	23.3268	0.22018
21.6	0.3	-0.0903947	-0.179101	41.6974	14.8422	9.51761	5.32456	10.9758	0	25.8179	0.232662
22.8	0.316667	-0.0928423	-0.199824	43.374	16.4481	10.5013	5.94678	11.9605	0	28.4086	0.24485
24	0.333333	-0.0943518	-0.222804	44.9982	18.1256	11.5191	6.60649	12.9701	5.21817e-09	31.0957	0.256757
25.2	0.35	-0.0963725	-0.247816	46.5701	19.8722	12.5679	7.3043	14.0031	3.32859e-06	33.8752	0.268531
26.4	0.366667	-0.0975254	-0.274797	48.0897	21.685	13.6441	8.04088	15.0584	3.59325e-05	36.7435	0.280255
27.6	0.383333	-0.0943664	-0.305717	49.5554	23.5603	14.7436	8.81668	16.1348	0.00016793	39.6953	0.292115
28.8	0.4	-0.0887948	-0.341873	50.966	25.494	15.8615	9.6325	17.231	0.000538522	42.7255	0.304063
30	0.416667	-0.0799488	-0.381388	52.3196	27.481	16.9918	10.4891	18.3458	0.00137132	45.8282	0.316303
31.2	0.433333	-0.0646571	-0.424132	53.613	29.5142	18.1271	11.3871	19.4783	0.00297048	48.9955	0.329309
32.4	0.45	-0.0451699	-0.47423	54.8427	31.5849	19.2583	12.3267	20.6271	0.00572902	52.2178	0.343399
33.6	0.466667	-0.0198897	-0.532992	56.0023	33.68	20.3727	13.3073	21.7913	0.0101458	55.4815	0.359618
34.8	0.483333	0.0160077	-0.59997	57.0865	35.7846	21.4565	14.328	22.9699	0.0168793	58.7713	0.378237
36	0.5	0.0664226	-0.674026	58.0906	37.8866	22.4976	15.3889	24.162	0.0268026	62.0753	0.398352
37.2	0.516667	0.1322	-0.754883	59.0126	39.9773	23.4873	16.49	25.3665	0.0410276	65.3848	0.418752
38.4	0.533333	0.214964	-0.850635	59.8483	42.0438	24.4155	17.6283	26.5827	0.0609036	68.6875	0.440506
39.6	0.55	0.312509	-0.96158	60.5999	44.0766	25.2774	18.7992	27.8099	0.088045	71.9745	0.462447
40.8	0.566667	0.420606	-1.08244	61.2804	46.085	26.0858	19.9992	29.0482	0.123691	75.2568	0.44451
42	0.583333	0.538867	-1.20888	61.8832	48.0474	26.8291	21.2183	30.2951	0.170172	78.5127	0.459888
43.2	0.6	0.669679	-1.33978	62.4038	49.9466	27.5013	22.4454	31.5486	0.230085	81.7253	0.523061
44.4	0.616667	0.804807	-1.47047	62.8584	51.7974	28.1212	23.6762	32.8086	0.304668	84.9107	0.540055
45.6	0.633333	0.936985	-1.59705	63.2571	53.602	28.6972	24.9048	34.0748	0.395295	88.0722	0.555501
46.8	0.65	1.06332	-1.71783	63.6071	55.362	29.2361	26.1259	35.3461	0.502938	91.2111	0.569358
48	0.666667	1.1795	-1.83112	63.9197	57.0946	29.7518	27.3428	36.6219	0.627722	94.3441	0.523788
49.2	0.683333	1.28281	-1.93435	64.1938	58.7832	30.2381	28.5451	37.8994	0.770149	97.4528	0.59186
50.4	0.7	1.3719	-2.02708	64.439	60.4463	30.7061	29.7402	39.1786	0.929991	100.555	0.600444
51.6	0.716667	1.44603	-2.10813	64.6603	62.0898	31.1599	30.9299	40.4584	1.10681	103.655	0.607936
52.8	0.733333	1.50407	-2.17744	64.8601	63.7155	31.6017	32.1137	41.7382	1.3001	106.754	0.615382
