t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
1.2	0.0166667	0.000103471	0.00193752	1.22652	0.0195563	0.0154308	0.00412549	0.0251107	0	0.044667	0.00289743
2.4	0.0333333	0.000119526	0.00367769	2.35262	0.0778042	0.0612879	0.0165163	0.0924011	0	0.170205	0.00780158
3.6	0.05	3.198e-05	0.00524739	3.40688	0.174101	0.136895	0.037206	0.195209	0	0.36931	0.0130193
4.8	0.0666667	-0.000179035	0.00665248	4.40715	0.307787	0.241539	0.066248	0.329511	0	0.637298	0.018465
6	0.0833333	-0.000539067	0.00787788	5.36296	0.478184	0.374463	0.103721	0.492085	0	0.970269	0.0242302
7.2	0.1	-0.00107869	0.00889117	6.27959	0.684592	0.534857	0.149735	0.680133	0	1.36473	0.0303494
8.4	0.116667	-0.0018326	0.00964152	7.16009	0.926288	0.721841	0.204447	0.891192	0	1.81748	0.0368007
9.6	0.133333	-0.00283712	0.0100541	8.00628	1.20252	0.934443	0.268075	1.1231	0	2.32562	0.0435352
10.8	0.15	-0.00412261	0.0100187	8.81912	1.51249	1.17156	0.340936	1.37396	0	2.88645	0.0504969
12	0.166667	-0.00569126	0.0093696	9.59887	1.85536	1.43184	0.423528	1.64209	0	3.49746	0.0576343
13.2	0.183333	-0.00744847	0.00784895	10.3447	2.2302	1.71347	0.516726	1.92599	0	4.15619	0.0649096
14.4	0.2	-0.00897563	0.00505543	11.0534	2.63586	2.01351	0.622355	2.22429	0	4.86015	0.072316
15.6	0.216667	-0.00873131	0.000492592	11.7153	3.07069	2.32574	0.744947	2.53574	0	5.60642	0.0799374
16.8	0.233333	-0.00222896	-0.00577965	12.3048	3.53143	2.63529	0.896138	2.85921	0	6.39064	0.088111
18	0.25	0.0166974	-0.0110974	12.7805	4.01216	2.91655	1.09561	3.1931	0	7.20525	0.0973112
19.2	0.266667	0.043545	-0.012201	13.1357	4.50724	3.15649	1.35075	3.53332	0	8.04057	0.10693
20.4	0.283333	0.0668403	-0.0100081	13.4117	5.01519	3.36724	1.64795	3.87493	0	8.89012	0.11571
21.6	0.3	0.0825063	-0.00678097	13.6468	5.5364	3.56429	1.97211	4.21539	0	9.7518	0.123404
22.8	0.316667	0.0918225	-0.00366693	13.8606	6.07111	3.75656	2.31456	4.55413	0	10.6252	0.130386
24	0.333333	0.0969391	-0.000967141	14.0612	6.61916	3.94802	2.67114	4.89119	0	11.5104	0.137004
25.2	0.35	0.0995007	0.00134541	14.2514	7.18016	4.14015	3.04002	5.22682	0	12.407	0.143447
26.4	0.366667	0.100704	0.0032922	14.4325	7.75361	4.33324	3.42037	5.56123	5.16626e-08	13.3148	0.149797
27.6	0.383333	0.101047	0.00506712	14.6048	8.33878	4.52702	3.81176	5.89463	6.81678e-07	14.2334	0.156122
28.8	0.4	0.101155	0.00680334	14.7677	8.93423	4.7207	4.21352	6.22726	5.33393e-06	15.1615	0.162635
30	0.416667	0.101237	0.00871847	14.9206	9.5382	4.91336	4.62484	6.55941	2.72475e-05	16.0976	0.169447
31.2	0.433333	0.101801	0.010042	15.0633	10.1488	5.10418	5.04461	6.89118	9.63552e-05	17.0401	0.176573
32.4	0.45	0.103051	0.0108749	15.1957	10.7632	5.29224	5.47096	7.22266	0.000264096	17.9861	0.184231
33.6	0.466667	0.104503	0.0115947	15.3175	11.3783	5.47663	5.9017	7.55392	0.000605421	18.9328	0.192504
34.8	0.483333	0.105821	0.0122883	15.4293	11.9932	5.65712	6.33608	7.88494	0.00121802	19.8794	0.200795
36	0.5	0.106743	0.0131796	15.5318	12.6075	5.83359	6.77391	8.21576	0.00220958	20.8255	0.208976
37.2	0.516667	0.107098	0.0141793	15.6257	13.2215	6.00608	7.21545	8.54633	0.00368406	21.7715	0.216899
38.4	0.533333	0.106871	0.0152416	15.7119	13.8359	6.17463	7.66131	8.87659	0.00572976	22.7183	0.224514
39.6	0.55	0.106309	0.0163729	15.791	14.4514	6.33921	8.11219	9.2065	0.00841258	23.6663	0.231837
40.8	0.566667	0.105527	0.0175226	15.8633	15.0686	6.4998	8.56882	9.53605	0.0117742	24.6165	0.238924
42	0.583333	0.104447	0.0185806	15.9293	15.6882	6.65631	9.03188	9.86526	0.0158329	25.5693	0.245865
43.2	0.6	0.10307	0.0195534	15.9895	16.3106	6.80865	9.50195	10.1941	0.0205867	26.5253	0.252728
44.4	0.616667	0.10139	0.0204252	16.0444	16.9363	6.95673	9.97959	10.5224	0.0260179	27.4848	0.259523
45.6	0.633333	0.0994574	0.02124	16.0944	17.5657	7.10044	10.4653	10.8503	0.0320974	28.4481	0.266311
46.8	0.65	0.0972673	0.022142	16.1398	18.199	7.23968	10.9594	11.1775	0.0387886	29.4153	0.273113
48	0.666667	0.0949544	0.0232001	16.181	18.8365	7.37436	11.4621	11.5039	0.0460448	30.3864	0.279958
49.2	0.683333	0.0924052	0.024618	16.2179	19.4776	7.5043	11.9733	11.8294	0.0538286	31.3608	0.286981
50.4	0.7	0.0893399	0.0269638	16.2503	20.1214	7.62921	12.4922	12.1537	0.0620972	32.3372	0.294271
51.6	0.716667	0.0856945	0.0295132	16.278	20.7668	7.74884	13.0179	12.4764	0.0708124	33.314	0.301823
52.8	0.733333	0.0816686	0.0321951	16.3015	21.4129	7.86305	13.5499	12.7973	0.0799468	34.2902	0.309478
54	0.75	0.0772179	0.0349764	16.3208	22.0587	7.97171	14.087	13.1161	0.0894858	35.2643	0.317297
55.2	0.766667	0.0725888	0.0370891	16.3367	22.7042	8.07551	14.6287	13.433	0.099494	36.2367	0.316489
56.4	0.783333	0.0681257	0.0381109	16.3497	23.3464	8.17323	15.1732	13.7472	0.109849	37.2034	0.333295
57.6	0.8	0.0638628	0.0383564	16.3597	23.9857	8.26573	15.72	14.0593	0.120667	38.1657	0.341446
58.8	0.816667	0.059284	0.0383286	16.3666	24.6229	8.3537	16.2692	14.3698	0.132037	39.1248	0.338972
