t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
12	0.0125	-0.00238948	0.000502023	0.991685	0.0195847	0.0154516	0.00413308	0.0152117	0	0.0347964	0.00048243
24	0.025	-0.00440816	0.000981457	1.86196	0.0779198	0.0613746	0.0165452	0.0525238	0	0.130444	0.00132687
36	0.0375	-0.00618441	0.00147532	2.66086	0.174366	0.137098	0.0372678	0.105959	0	0.280325	0.00237359
48	0.05	-0.0077567	0.00200349	3.41016	0.308267	0.241915	0.0663524	0.172529	0	0.480796	0.00361914
60	0.0625	-0.00913418	0.0025879	4.12103	0.478948	0.375072	0.103876	0.249997	0	0.728945	0.00508001
72	0.075	-0.0103102	0.0032585	4.79965	0.685713	0.535763	0.14995	0.336376	0	1.02209	0.00676725
84	0.0875	-0.0112687	0.00406102	5.4495	0.92784	0.723112	0.204728	0.429843	0	1.35768	0.0086838
96	0.1	-0.0119892	0.00506992	6.07254	1.20458	0.936152	0.268428	0.528742	0	1.73332	0.010827
108	0.1125	-0.0124552	0.00641263	6.66982	1.51514	1.17378	0.34136	0.631591	0	2.14673	0.0131913
120	0.125	-0.0126743	0.00831789	7.2417	1.85869	1.43469	0.423992	0.737079	0	2.59576	0.0157699
132	0.1375	-0.0127327	0.011218	7.78776	2.23428	1.7172	0.517087	0.844061	0	3.07834	0.0185566
144	0.15	-0.0129487	0.0159722	8.30635	2.64084	2.01882	0.622025	0.95156	0	3.5924	0.0215478
156	0.1625	-0.0143017	0.0243387	8.79316	3.0769	2.33529	0.74161	1.0588	0	4.1357	0.0247482
168	0.175	-0.0194576	0.0396623	9.23818	3.54011	2.65828	0.881832	1.1653	0	4.70541	0.0281813
180	0.1875	-0.0335895	0.0662484	9.62314	4.02636	2.97254	1.05382	1.27102	0	5.29738	0.0318976
192	0.2	-0.06055	0.10357	9.93019	4.52997	3.25993	1.27003	1.37576	0	5.90573	0.0359276
204	0.2125	-0.0947742	0.141582	10.1619	5.04646	3.51306	1.53341	1.4781	0	6.52456	0.0402046
216	0.225	-0.12548	0.169967	10.3398	5.57442	3.73858	1.83584	1.57594	0	7.15036	0.0446216
228	0.2375	-0.147104	0.186472	10.4862	6.11417	3.94763	2.16654	1.66788	0	7.78204	0.0491234
240	0.25	-0.159992	0.194003	10.6156	6.66626	4.149	2.51725	1.75341	0	8.41967	0.0537054
252	0.2625	-0.166564	0.196101	10.7352	7.23093	4.34792	2.88301	1.83257	0	9.0635	0.058381
264	0.275	-0.169101	0.1953	10.8484	7.80809	4.54693	3.26116	1.9056	0	9.71368	0.0631626
276	0.2875	-0.169209	0.193103	10.9561	8.39741	4.74697	3.65044	1.97282	0	10.3702	0.0680566
288	0.3	-0.167896	0.190311	11.0586	8.99844	4.94812	4.05032	2.0346	0	11.033	0.0730649
300	0.3125	-0.165762	0.187318	11.1557	9.6107	5.15002	4.46068	2.0913	0	11.702	0.0781872
312	0.325	-0.163145	0.184289	11.2473	10.2337	5.3521	4.88155	2.1433	0	12.377	0.0834222
324	0.3375	-0.16023	0.181275	11.3333	10.8668	5.55372	5.31308	2.19097	0	13.0578	0.0887683
336	0.35	-0.157144	0.178315	11.4136	11.5096	5.75421	5.7554	2.23467	0	13.7443	0.0942245
348	0.3625	-0.153848	0.175252	11.4882	12.1616	5.95294	6.20866	2.27476	0	14.4364	0.0997898
360	0.375	-0.150453	0.172186	11.5572	12.8223	6.14929	6.67297	2.31157	0	15.1338	0.105464
372	0.3875	-0.146944	0.169045	11.6207	13.4911	6.3427	7.14841	2.34542	0	15.8365	0.111246
384	0.4	-0.143329	0.165811	11.6789	14.1677	6.53267	7.63507	2.37661	0	16.5444	0.117136
396	0.4125	-0.139617	0.162471	11.7319	14.8517	6.71872	8.13301	2.40541	0	17.2571	0.123135
408	0.425	-0.13582	0.159021	11.7799	15.5427	6.90045	8.64222	2.43208	0	17.9747	0.129242
420	0.4375	-0.131951	0.155465	11.8233	16.2402	7.07748	9.16268	2.45686	0	18.697	0.135458
432	0.45	-0.128025	0.15181	11.8623	16.9439	7.24951	9.69435	2.47996	0	19.4238	0.141783
444	0.4625	-0.124063	0.148071	11.8971	17.6534	7.41627	10.2371	2.50158	0	20.155	0.148218
456	0.475	-0.120081	0.144263	11.928	18.3685	7.57756	10.7909	2.52192	0	20.8904	0.154764
468	0.4875	-0.116101	0.140403	11.9552	19.0888	7.73323	11.3556	2.54114	0	21.63	0.161422
480	0.5	-0.112144	0.136503	11.9791	19.8141	7.88316	11.931	2.55939	0	22.3735	0.168192
492	0.5125	-0.108224	0.132601	11.9999	20.5442	8.02731	12.5169	2.57682	0	23.121	0.175076
504	0.525	-0.104366	0.128717	12.0179	21.2787	8.16565	13.1131	2.59355	0	23.8723	0.182074
516	0.5375	-0.100573	0.124836	12.0334	22.0175	8.29823	13.7193	2.60971	0	24.6272	0.189189
528	0.55	-0.0968843	0.120994	12.0466	22.7605	8.42509	14.3354	2.62539	0	25.3858	0.19642
540	0.5625	-0.0932967	0.117207	12.0578	23.5073	8.54634	14.961	2.6407	0	26.148	0.20377
552	0.575	-0.0898666	0.113588	12.0671	24.2576	8.66206	15.5955	2.65575	2.22207e-07	26.9133	0.211408
564	0.5875	-0.0866025	0.110149	12.0748	25.0111	8.77239	16.2387	2.67061	1.90798e-06	27.6817	0.219162
576	0.6	-0.0834954	0.106782	12.0812	25.7679	8.87754	16.8903	2.68533	6.70615e-06	28.4532	0.226993
588	0.6125	-0.0805224	0.103515	12.0863	26.5279	8.97768	17.5502	2.69999	1.59312e-05	29.2279	0.234913
600	0.625	-0.0775411	0.100364	12.0904	27.2908	9.073	18.2178	2.71466	3.04972e-05	30.0055	0.243047
612	0.6375	-0.0745884	0.0973246	12.0936	28.0567	9.1637	18.893	2.72941	5.12707e-05	30.7861	0.251256
624	0.65	-0.0717494	0.0943785	12.0961	28.8252	9.24999	19.5753	2.74431	7.89989e-05	31.5696	0.259658
636	0.6625	-0.0690538	0.0915203	12.0981	29.5965	9.33207	20.2644	2.7594	0.000114571	32.356	0.268182
648	0.675	-0.0664775	0.0887269	12.0996	30.3702	9.41013	20.96	2.77471	0.000159038	33.1451	0.276927
660	0.6875	-0.0641602	0.0859072	12.1004	31.1459	9.48433	21.6616	2.79022	0.000214249	33.9364	0.285876
672	0.7	-0.0620635	0.0831069	12.101	31.924	9.55491	22.369	2.80601	0.000282606	34.7302	0.294838
