u1	f1	u2	f2	u3	f3
0.000	0.000	0.000	0.000	0.000	0.000
0.100	27.411	0.100	27.334	0.100	27.527
0.200	54.375	0.200	54.225	0.200	54.612
0.300	80.855	0.300	80.636	0.300	81.216
0.400	106.856	0.400	106.572	0.400	107.344
0.500	132.381	0.500	132.037	0.500	133.000
0.600	157.435	0.600	157.035	0.600	158.189
0.700	182.022	0.700	181.571	0.700	182.915
0.800	206.146	0.800	205.648	0.800	207.181
0.900	229.809	0.900	229.270	0.900	230.991
1.000	253.016	1.000	252.441	1.000	254.348
1.100	275.769	1.100	275.163	1.100	277.255
1.200	298.071	1.200	297.440	1.200	299.714
1.300	319.924	1.300	319.274	1.300	321.732
1.400	341.332	1.400	340.665	1.400	343.287
1.500	362.295	1.500	361.574	1.500	364.406
1.600	382.807	1.600	382.021	1.600	385.084
1.700	402.836	1.700	401.973	1.700	405.206
1.800	422.368	1.800	421.242	1.800	424.786
1.900	441.234	1.900	439.918	1.900	443.702
2.000	459.335	2.000	457.903	2.000	461.782
2.100	476.253	2.100	474.693	2.100	478.887
2.200	491.667	2.200	490.184	2.200	494.801
2.300	505.901	2.300	504.466	2.300	509.147
2.400	519.206	2.400	517.774	2.400	522.076
2.500	531.520	2.500	530.106	2.500	533.514
2.600	542.309	2.600	541.215	2.600	543.708
2.700	551.482	2.700	550.616	2.700	552.193
2.800	558.538	2.800	558.861	2.800	559.086
2.900	564.228	2.900	565.497	2.900	563.693
3.000	568.734	3.000	568.922	3.000	566.974
3.100	572.565	3.100	573.750	3.100	570.169
3.200	575.415	3.200	576.758	3.200	572.860
3.300	577.693	3.300	578.699	3.300	575.498
3.400	579.887	3.400	580.474	3.400	578.120
3.500	581.828	3.500	582.716	3.500	580.625
3.600	583.765	3.600	584.459	3.600	582.800
3.700	585.596	3.700	586.159	3.700	584.792
3.800	587.020	3.800	587.861	3.800	586.389
3.900	588.511	3.900	589.293	3.900	587.639
4.000	589.968	4.000	590.855	4.000	588.978
4.100	591.495	4.100	592.110	4.100	590.273
4.200	593.219	4.200	593.198	4.200	591.327
4.300	594.380	4.300	594.436	4.300	592.361
4.400	595.154	4.400	595.781	4.400	593.397
4.500	595.590	4.500	596.851	4.500	594.239
4.600	596.052	4.600	597.622	4.600	594.889
4.700	596.554	4.700	598.321	4.700	595.403
4.800	596.868	4.800	598.655	4.800	595.768
4.900	597.113	4.900	598.785	4.900	595.882
5.000	596.996	5.000	598.686	5.000	595.960
5.100	596.682	5.100	598.390	5.100	595.954
5.200	596.168	5.200	597.813	5.200	595.834
5.300	595.533	5.300	597.044	5.300	595.523
5.400	594.760	5.400	596.200	5.400	595.071
5.500	594.013	5.500	595.285	5.500	594.435
5.600	593.081	5.600	594.284	5.600	593.667
5.700	591.948	5.700	593.241	5.700	592.708
5.800	590.704	5.800	592.161	5.800	591.452
5.900	589.375	5.900	590.984	5.900	590.106
6.000	588.020	6.000	589.693	6.000	588.700
6.100	586.644	6.100	588.280	6.100	587.275
6.200	585.205	6.200	586.717	6.200	585.871
6.300	583.761	6.300	584.967	6.300	584.346
6.400	582.265	6.400	583.113	6.400	582.797
6.500	580.680	6.500	581.203	6.500	581.237
6.600	578.971	6.600	579.250	6.600	579.657
6.700	577.204	6.700	577.244	6.700	578.120
6.800	575.280	6.800	575.153	6.800	576.603
6.900	573.250	6.900	573.018	6.900	575.049
7.000	571.274	7.000	570.833	7.000	573.369
7.100	569.166	7.100	568.520	7.100	571.711
7.200	567.099	7.200	566.139	7.200	569.997
7.300	565.045	7.300	563.874	7.300	568.163
7.400	562.785	7.400	561.389	7.400	566.294
7.500	560.521	7.500	558.864	7.500	564.187
7.600	558.291	7.600	556.170	7.600	562.002
7.700	556.015	7.700	553.622	7.700	559.778
7.800	553.728	7.800	551.005	7.800	557.336
7.900	551.449	7.900	548.404	7.900	554.936
8.000	549.099	8.000	545.840	8.000	552.315
8.100	546.755	8.100	543.322	8.100	549.628
8.200	544.442	8.200	540.870	8.200	546.847
8.300	542.248	8.300	538.491	8.300	544.085
8.400	540.046	8.400	535.952	8.400	541.397
8.500	537.834	8.500	533.473	8.500	538.798
8.600	535.733	8.600	531.165	8.600	536.348
8.700	533.754	8.700	529.006	8.700	534.050
8.800	531.922	8.800	527.017	8.800	531.931
8.900	530.244	8.900	525.297	8.900	530.098
9.000	528.759	9.000	523.845	9.000	528.517
9.100	527.534	9.100	522.698	9.100	527.191
9.200	526.563	9.200	521.786	9.200	526.167
9.300	525.743	9.300	521.101	9.300	525.513
9.400	525.227	9.400	521.232	9.400	525.189
9.500	525.755	9.500	522.152	9.500	525.730
9.600	526.851	9.600	523.836	9.600	527.443
