u1	f1	u2	f2	u3	f3
13.200	147.781	13.200	146.488	13.200	147.157
13.300	154.070	13.300	152.142	13.300	152.136
13.400	159.945	13.400	157.629	13.400	157.717
13.500	165.850	13.500	163.209	13.500	162.285
13.600	171.529	13.600	168.726	13.600	167.881
13.700	177.733	13.700	174.461	13.700	172.963
13.800	183.171	13.800	179.933	13.800	177.834
13.900	188.409	13.900	185.097	13.900	182.191
14.000	191.063	14.000	189.785	14.000	185.617
14.100	196.243	14.100	193.114	14.100	188.518
14.200	197.380	14.200	195.346	14.200	191.828
14.300	199.352	14.300	195.192	14.300	193.714
14.400	199.464	14.400	193.927	14.400	194.900
14.500	197.985	14.500	191.487	14.500	194.164
14.600	195.123	14.600	189.195	14.600	193.749
14.700	192.234	14.700	187.139	14.700	191.195
14.800	190.274	14.800	185.490	14.800	189.541
14.900	187.982	14.900	183.815	14.900	187.024
15.000	186.011	15.000	182.273	15.000	183.771
15.100	184.713	15.100	181.179	15.100	176.246
15.200	184.466	15.200	180.061	15.200	175.565
15.300	183.197	15.300	178.981	15.300	175.025
15.400	182.307	15.400	178.024	15.400	174.860
15.500	180.868	15.500	177.231	15.500	174.789
15.600	180.659	15.600	176.452	15.600	174.438
15.700	179.376	15.700	175.704	15.700	174.785
15.800	178.568	15.800	174.956	15.800	175.135
15.900	177.846	15.900	174.323	15.900	175.212
16.000	176.892	16.000	173.753	16.000	175.379
16.100	176.772	16.100	173.199	16.100	175.678
16.200	176.435	16.200	172.640	16.200	175.850
16.300	175.168	16.300	172.198	16.300	175.987
16.400	175.073	16.400	171.616	16.400	175.960
16.500	174.130	16.500	170.954	16.500	175.723
16.600	173.610	16.600	170.358	16.600	175.476
16.700	172.912	16.700	169.717	16.700	175.349
16.800	172.420	16.800	169.723	16.800	175.092
16.900	171.918	16.900	169.306	16.900	174.861
17.000	171.104	17.000	168.868	17.000	174.659
17.100	171.142	17.100	168.291	17.100	174.285
17.200	170.336	17.200	167.832	17.200	173.992
