u1	f1	u2	f2	u3	f3
0.000	0.419	0.000	0.345	0.000	1.773
0.040	1.046	0.040	1.336	0.040	3.036
0.080	3.713	0.080	2.934	0.080	5.985
0.120	8.411	0.120	6.787	0.120	12.397
0.160	15.180	0.160	14.279	0.160	20.599
0.200	22.982	0.200	22.534	0.200	29.634
0.240	31.090	0.240	31.142	0.240	39.170
0.280	38.998	0.280	40.097	0.280	48.371
0.320	47.231	0.320	50.005	0.320	58.205
0.360	55.834	0.360	59.292	0.360	67.615
0.400	64.021	0.400	68.150	0.400	77.450
0.440	72.704	0.440	77.760	0.440	87.485
0.480	80.835	0.480	87.170	0.480	97.320
0.521	89.092	0.521	96.899	0.521	106.605
0.561	97.755	0.561	106.335	0.561	116.239
0.601	106.140	0.601	115.272	0.601	125.772
0.641	114.144	0.641	124.934	0.641	135.110
0.681	122.752	0.681	134.019	0.681	144.919
0.721	130.890	0.721	143.147	0.721	154.059
0.761	138.815	0.761	152.356	0.761	163.924
0.801	147.161	0.801	162.068	0.801	173.490
0.841	155.838	0.841	171.252	0.841	182.152
0.881	163.606	0.881	180.061	0.881	192.091
0.921	171.300	0.921	189.082	0.921	200.898
0.961	179.120	0.961	197.811	0.961	210.411
1.001	186.558	1.001	207.343	1.001	219.455
1.041	195.537	1.041	215.594	1.041	228.206
1.081	202.841	1.081	224.607	1.081	236.836
1.121	210.530	1.121	233.537	1.121	246.083
1.161	218.048	1.161	242.095	1.161	254.811
1.201	225.341	1.201	250.239	1.201	263.576
1.241	233.427	1.241	258.785	1.241	272.485
1.281	240.476	1.281	267.431	1.281	281.014
1.321	247.662	1.321	276.098	1.321	289.702
1.361	255.229	1.361	284.413	1.361	298.332
1.401	262.017	1.401	292.640	1.401	306.884
1.441	268.984	1.441	300.968	1.441	315.148
1.481	276.631	1.481	308.757	1.481	323.376
1.522	283.737	1.522	316.924	1.522	331.729
1.562	290.906	1.562	325.371	1.562	339.997
1.602	297.692	1.602	333.220	1.602	348.101
1.642	304.442	1.642	341.139	1.642	355.867
1.682	311.390	1.682	348.375	1.682	363.975
1.722	317.901	1.722	356.420	1.722	372.083
1.762	324.218	1.762	364.491	1.762	379.896
1.802	331.131	1.802	371.770	1.802	387.631
1.842	337.328	1.842	379.024	1.842	395.077
1.882	343.469	1.882	386.732	1.882	402.434
1.922	349.578	1.922	393.920	1.922	410.202
1.962	356.447	1.962	401.044	1.962	417.781
2.002	362.204	2.002	407.739	2.002	424.291
2.042	368.310	2.042	414.979	2.042	430.929
2.082	373.949	2.082	421.867	2.082	438.334
2.122	380.005	2.122	428.391	2.122	444.776
2.162	385.511	2.162	435.182	2.162	452.152
2.202	391.169	2.202	441.972	2.202	458.926
2.242	396.715	2.242	448.461	2.242	464.895
2.282	401.679	2.282	454.386	2.282	471.437
2.322	406.997	2.322	460.138	2.322	477.638
2.362	412.387	2.362	466.784	2.362	483.614
2.402	417.140	2.402	472.355	2.402	489.493
2.442	422.028	2.442	478.112	2.442	495.610
2.482	426.861	2.482	483.677	2.482	501.562
2.523	431.081	2.523	489.470	2.523	506.985
2.563	436.459	2.563	494.889	2.563	512.089
2.603	440.590	2.603	499.863	2.603	517.005
2.643	444.681	2.643	504.869	2.643	522.002
2.683	448.626	2.683	510.060	2.683	527.494
2.723	452.284	2.723	514.767	2.723	532.667
2.763	456.534	2.763	519.108	2.763	536.785
2.803	460.364	2.803	524.214	2.803	541.801
2.843	463.942	2.843	528.132	2.843	546.022
2.883	467.123	2.883	532.509	2.883	550.425
2.923	470.564	2.923	536.552	2.923	555.076
2.963	473.516	2.963	540.456	2.963	558.717
3.003	476.683	3.003	544.460	3.003	562.539
3.043	479.246	3.043	548.239	3.043	566.267
3.083	481.360	3.083	551.237	3.083	569.946
3.123	484.228	3.123	555.338	3.123	573.346
3.163	486.553	3.163	558.502	3.163	576.991
3.203	487.945	3.203	561.051	3.203	580.228
3.243	489.402	3.243	564.227	3.243	583.227
3.283	490.947	3.283	566.641	3.283	585.479
3.323	492.506	3.323	568.727	3.323	588.370
3.363	493.559	3.363	571.726	3.363	590.750
3.403	494.819	3.403	573.520	3.403	593.070
3.443	495.020	3.443	575.322	3.443	595.657
3.483	495.735	3.483	577.014	3.483	597.050
3.524	495.900	3.524	578.606	3.524	598.906
3.564	495.709	3.564	580.217	3.564	601.217
3.604	496.155	3.604	581.182	3.604	602.337
3.644	496.382	3.644	582.056	3.644	603.063
3.684	496.991	3.684	582.883	3.684	604.046
3.724	497.000	3.724	583.558	3.724	604.600
3.764	497.467	3.764	583.967	3.764	605.848
3.804	498.068	3.804	584.475	3.804	606.492
3.844	498.268	3.844	585.008	3.844	607.375
3.884	498.792	3.884	585.177	3.884	607.592
3.924	499.093	3.924	585.293	3.924	608.184
3.964	499.778	3.964	585.792	3.964	608.608
4.004	499.414	4.004	585.800	4.004	609.185
4.044	500.352	4.044	586.353	4.044	609.093
4.084	500.687	4.084	586.333	4.084	609.793
4.124	500.700	4.124	586.681	4.124	610.286
4.164	501.100	4.164	586.419	4.164	609.912
4.204	501.018	4.204	586.294	4.204	610.388
4.244	501.200	4.244	586.800	4.244	610.029
4.284	501.689	4.284	586.917	4.284	610.576
4.324	502.595	4.324	586.905	4.324	610.800
4.364	502.221	4.364	586.916	4.364	610.328
4.404	502.585	4.404	586.800	4.404	610.684
4.444	503.180	4.444	586.819	4.444	610.226
4.484	503.186	4.484	586.886	4.484	610.785
4.525	503.591	4.525	587.013	4.525	610.810
4.565	503.504	4.565	586.708	4.565	609.917
4.605	503.308	4.605	586.700	4.605	610.391
4.645	503.800	4.645	587.000	4.645	610.004
4.685	503.511	4.685	586.711	4.685	610.293
4.725	503.997	4.725	586.900	4.725	609.617
4.765	503.606	4.765	586.803	4.765	609.494
4.805	503.300	4.805	586.806	4.805	609.893
4.845	504.191	4.845	586.700	4.845	609.411
4.885	504.400	4.885	586.995	4.885	609.203
4.925	503.805	4.925	586.509	4.925	608.797
4.965	504.098	4.965	586.297	4.965	608.503
5.005	503.504	5.005	585.904	5.005	608.402
5.045	503.407	5.045	585.795	5.045	607.407
5.085	503.298	5.085	585.308	5.085	607.106
5.125	503.497	5.125	585.396	5.125	607.204
5.165	503.001	5.165	584.605	5.165	606.698
5.205	502.898	5.205	584.302	5.205	606.699
5.245	502.405	5.245	583.905	5.245	606.206
5.285	502.200	5.285	584.101	5.285	605.901
5.325	502.100	5.325	583.800	5.325	605.301
5.365	502.000	5.365	583.800	5.365	604.700
5.405	501.399	5.405	583.300	5.405	604.301
5.445	501.000	5.445	582.600	5.445	604.200
5.485	500.900	5.485	582.600	5.485	603.599
5.526	500.998	5.526	582.197	5.526	602.800
5.566	500.298	5.566	581.700	5.566	602.200
5.606	499.793	5.606	581.698	5.606	602.099
5.646	498.900	5.646	581.093	5.646	601.996
5.686	498.800	5.686	579.906	5.686	601.193
5.726	498.894	5.726	580.298	5.726	600.302
5.766	497.795	5.766	579.793	5.766	600.093
5.806	497.394	5.806	578.986	5.806	599.394
5.846	497.194	5.846	578.100	5.846	598.800
5.886	496.880	5.886	577.992	5.886	597.698
5.926	495.388	5.926	577.289	5.926	597.485
5.966	494.708	5.966	576.794	5.966	596.892
6.006	495.288	6.006	576.097	6.006	595.894
6.046	494.272	6.046	575.784	6.046	595.395
6.086	493.397	6.086	575.086	6.086	594.674
6.126	492.889	6.126	574.189	6.126	593.686
6.166	492.185	6.166	573.589	6.166	593.300
6.206	491.584	6.206	572.986	6.206	592.693
6.246	491.088	6.246	572.385	6.246	592.085
6.286	490.765	6.286	571.478	6.286	591.196
6.326	489.777	6.326	570.900	6.326	590.777
6.366	488.090	6.366	570.374	6.366	589.791
6.406	487.580	6.406	569.095	6.406	588.677
6.446	486.895	6.446	568.563	6.446	587.984
6.486	486.184	6.486	567.689	6.486	587.295
6.527	485.470	6.527	566.895	6.527	586.679
6.567	484.171	6.567	566.152	6.567	585.889
6.607	483.382	6.607	565.100	6.607	585.258
6.647	482.939	6.647	564.775	6.647	583.888
6.687	481.881	6.687	563.864	6.687	583.000
6.727	481.241	6.727	562.287	6.727	582.194
6.767	479.766	6.767	561.580	6.767	581.480
6.807	478.665	6.807	561.158	6.807	580.854
6.847	478.043	6.847	559.860	6.847	579.773
6.887	476.556	6.887	558.444	6.887	578.786
6.927	475.100	6.927	557.185	6.927	578.347
6.967	474.000	6.967	556.892	6.967	576.769
7.007	473.041	7.007	556.228	7.007	575.870
7.047	471.751	7.047	554.292	7.047	574.677
7.087	471.167	7.087	553.883	7.087	574.041
7.127	469.866	7.127	553.048	7.127	572.491
7.167	468.917	7.167	551.565	7.167	571.875
7.207	467.825	7.207	550.591	7.207	571.149
7.247	466.445	7.247	550.226	7.247	570.045
7.287	464.963	7.287	548.715	7.287	568.634
7.327	464.052	7.327	547.263	7.327	567.473
7.367	462.812	7.367	545.863	7.367	566.253
7.407	461.440	7.407	545.060	7.407	564.962
7.447	460.468	7.447	544.139	7.447	564.351
7.487	458.838	7.487	542.600	7.487	563.150
7.528	457.547	7.528	541.049	7.528	562.149
7.568	456.611	7.568	540.346	7.568	560.603
7.608	455.612	7.608	539.012	7.608	559.556
7.648	453.819	7.648	537.435	7.648	558.614
7.688	452.365	7.688	536.043	7.688	556.867
7.728	451.354	7.728	534.842	7.728	555.619
7.768	450.483	7.768	533.805	7.768	554.441
7.808	449.493	7.808	532.328	7.808	553.730
7.848	447.603	7.848	530.614	7.848	552.094
7.888	446.014	7.888	529.238	7.888	550.413
7.928	444.312	7.928	528.275	7.928	549.139
7.968	442.924	7.968	527.476	7.968	547.738
8.008	441.635	8.008	525.925	8.008	546.750
8.048	440.521	8.048	524.421	8.048	545.673
8.088	438.767	8.088	522.952	8.088	543.884
8.128	437.216	8.128	521.300	8.128	542.160
8.168	435.987	8.168	520.562	8.168	541.320
8.208	434.416	8.208	519.002	8.208	539.988
8.248	433.501	8.248	517.815	8.248	538.843
8.288	432.211	8.288	516.127	8.288	537.574
8.328	431.180	8.328	514.127	8.328	535.729
8.368	429.867	8.368	513.211	8.368	534.456
8.408	428.255	8.408	512.165	8.408	533.295
8.448	427.479	8.448	510.763	8.448	531.982
8.488	426.408	8.488	509.110	8.488	530.510
8.529	425.538	8.529	507.722	8.529	529.307
8.569	424.837	8.569	506.421	8.569	527.758
8.609	424.072	8.609	505.460	8.609	526.238
8.649	423.052	8.649	503.921	8.649	525.806
8.689	422.118	8.689	502.452	8.689	524.320
8.729	420.834	8.729	501.133	8.729	522.817
8.769	419.948	8.769	500.382	8.769	521.320
8.809	419.248	8.809	499.033	8.809	520.201
8.849	418.666	8.849	497.793	8.849	518.845
8.889	418.113	8.889	496.013	8.889	517.444
8.929	417.365	8.929	494.959	8.929	516.079
8.969	416.982	8.969	493.130	8.969	514.848
9.009	416.328	9.009	492.274	9.009	513.492
9.049	415.300	9.049	491.127	9.049	512.291
9.089	415.363	9.089	490.382	9.089	511.128
9.129	415.163	9.129	489.588	9.129	510.027
9.169	414.606	9.169	488.687	9.169	509.300
9.209	414.195	9.209	488.038	9.209	508.229
9.249	414.604	9.249	488.225	9.249	507.600
9.289	413.742	9.289	487.819	9.289	507.419
9.329	413.780	9.329	487.880	9.329	507.678
9.369	413.261	9.369	487.740	9.369	507.959
9.409	413.480	9.409	487.977	9.409	507.980
9.449	413.441	9.449	489.059	9.449	508.399
9.489	415.303	9.489	490.261	9.489	509.564
9.530	417.708	9.530	491.789	9.530	510.744
9.570	420.354	9.570	494.150	9.570	511.723
9.610	423.120	9.610	496.453	9.610	512.686
9.650	425.596	9.650	499.125	9.650	513.243
9.690	428.599	9.690	502.513	9.690	514.813
9.730	431.759	9.730	504.583	9.730	517.217
9.770	434.861	9.770	508.079	9.770	520.320
9.810	437.473	9.810	510.897	9.810	522.907
9.850	440.444	9.850	514.144	9.850	525.610
9.890	442.858	9.890	516.895	9.890	528.017
9.930	445.598	9.930	520.101	9.930	531.732
9.970	448.810	9.970	523.857	9.970	534.643
10.010	451.946	10.010	527.531	10.010	537.238
10.050	455.277	10.050	530.319	10.050	540.655
10.090	458.497	10.090	533.399	10.090	543.800
10.130	461.900	10.130	536.826	10.130	546.878
10.170	465.056	10.170	540.482	10.170	550.103
10.210	468.259	10.210	543.807	10.210	553.277
10.250	471.014	10.250	547.354	10.250	556.506
10.290	474.036	10.290	551.114	10.290	559.638
10.330	477.544	10.330	554.543	10.330	563.438
10.370	480.147	10.370	557.565	10.370	566.141
10.410	483.049	10.410	560.895	10.410	569.595
10.450	486.177	10.450	563.980	10.450	572.452
10.490	489.259	10.490	567.431	10.490	575.029
10.531	492.487	10.531	570.530	10.531	578.177
10.571	494.818	10.571	573.888	10.571	580.957
10.611	497.967	10.611	576.791	10.611	583.287
10.651	500.989	10.651	580.213	10.651	586.340
10.691	503.290	10.691	582.765	10.691	589.189
10.731	505.666	10.731	585.473	10.731	592.142
10.771	507.241	10.771	588.164	10.771	595.030
10.811	509.644	10.811	591.623	10.811	597.650
10.851	511.526	10.851	594.169	10.851	600.441
10.891	513.928	10.891	596.602	10.891	602.606
10.931	516.186	10.931	599.360	10.931	605.604
10.971	518.733	10.971	601.466	10.971	607.739
11.011	521.219	11.011	603.386	11.011	609.393
11.051	524.125	11.051	605.367	11.051	610.735
11.091	526.484	11.091	607.171	11.091	612.627
11.131	529.014	11.131	608.871	11.131	614.982
11.171	531.631	11.171	610.971	11.171	616.999
11.211	534.419	11.211	612.103	11.211	618.816
11.251	536.908	11.251	612.946	11.251	620.793
11.291	539.652	11.291	614.464	11.291	622.922
11.331	541.925	11.331	615.808	11.331	625.567
11.371	544.706	11.371	617.918	11.371	627.936
11.411	547.719	11.411	620.110	11.411	630.061
11.451	550.713	11.451	621.941	11.451	632.401
11.491	554.677	11.491	624.022	11.491	634.760
11.532	558.350	11.532	626.821	11.532	636.664
11.572	562.777	11.572	629.925	11.572	638.864
11.612	567.150	11.612	634.194	11.612	641.644
11.652	571.710	11.652	638.015	11.652	643.438
11.692	577.121	11.692	642.285	11.692	646.291
11.732	581.857	11.732	646.823	11.732	649.599
11.772	587.190	11.772	652.656	11.772	653.659
11.812	592.576	11.812	658.366	11.812	657.838
11.852	598.145	11.852	663.839	11.852	662.794
11.892	603.409	11.892	670.401	11.892	669.004
11.932	608.816	11.932	677.743	11.932	675.475
11.972	614.217	11.972	684.450	11.972	682.079
12.012	620.522	12.012	691.623	12.012	688.776
12.052	626.196	12.052	698.431	12.052	695.631
12.092	631.501	12.092	704.499	12.092	702.799
12.132	637.273	12.132	711.661	12.132	710.461
12.172	642.878	12.172	718.440	12.172	717.501
12.212	648.085	12.212	724.890	12.212	724.782
12.252	653.622	12.252	731.757	12.252	732.652
12.292	660.028	12.292	738.191	12.292	740.353
12.332	665.464	12.332	745.309	12.332	747.505
12.372	671.512	12.372	751.585	12.372	755.616
12.412	677.184	12.412	758.327	12.412	763.361
12.452	683.106	12.452	765.069	12.452	770.868
12.492	688.796	12.492	771.735	12.492	778.406
12.533	695.102	12.533	777.841	12.533	785.884
12.573	701.201	12.573	784.284	12.573	793.727
12.613	707.231	12.613	791.284	12.613	801.256
12.653	714.185	12.653	796.942	12.653	808.102
12.693	719.645	12.693	803.076	12.693	815.474
12.733	725.670	12.733	809.731	12.733	822.666
12.773	731.429	12.773	815.580	12.773	829.436
12.813	737.061	12.813	821.590	12.813	836.613
12.853	742.018	12.853	826.257	12.853	842.682
12.893	746.597	12.893	829.734	12.893	849.894
12.933	751.277	12.933	834.329	12.933	856.052
12.973	756.093	12.973	838.985	12.973	862.164
13.013	760.297	13.013	843.699	13.013	868.870
13.053	763.837	13.053	848.062	13.053	875.242
13.093	767.114	13.093	851.612	13.093	881.201
13.133	770.394	13.133	855.157	13.133	887.051
13.173	773.804	13.173	858.322	13.173	892.172
13.213	776.307	13.213	861.239	13.213	897.666
13.253	779.427	13.253	864.152	13.253	902.514
13.293	781.776	13.293	866.274	13.293	907.740
13.333	783.414	13.333	868.857	13.333	912.033
13.373	785.658	13.373	870.536	13.373	916.166
13.413	786.800	13.413	872.039	13.413	920.733
13.453	787.641	13.453	873.200	13.453	923.800
13.493	788.963	13.493	874.460	13.493	927.350
13.534	789.800	13.534	874.921	13.534	930.902
13.574	789.441	13.574	876.042	13.574	933.165
13.614	789.059	13.614	876.864	13.614	935.489
13.654	789.018	13.654	877.141	13.654	937.895
13.694	788.451	13.694	876.893	13.694	939.830
13.734	787.692	13.734	876.967	13.734	941.124
13.774	786.349	13.774	877.558	13.774	942.077
13.814	784.780	13.814	877.116	13.814	943.984
13.854	783.305	13.854	876.674	13.854	944.642
13.894	781.546	13.894	875.548	13.894	944.984
13.934	779.774	13.934	874.830	13.934	944.727
13.974	778.501	13.974	873.914	13.974	945.413
14.014	776.255	14.014	872.214	14.014	945.187
14.054	774.670	14.054	870.585	14.054	944.972
14.094	773.910	14.094	868.852	14.094	944.214
14.134	772.282	14.134	866.982	14.134	943.456
14.174	771.204	14.174	865.461	14.174	942.483
14.214	769.733	14.214	863.727	14.214	941.293
14.254	768.070	14.254	861.302	14.254	939.402
14.294	765.856	14.294	859.344	14.294	938.189
14.334	763.976	14.334	857.678	14.334	936.647
14.374	761.550	14.374	855.509	14.374	934.423
14.414	759.046	14.414	853.459	14.414	932.239
14.454	755.697	14.454	850.721	14.454	930.130
14.494	752.746	14.494	848.112	14.494	927.705
14.535	750.616	14.535	845.558	14.535	925.268
14.575	747.413	14.575	842.620	14.575	922.790
14.615	744.210	14.615	840.085	14.615	919.721
14.655	741.057	14.655	837.625	14.655	916.942
14.695	737.865	14.695	834.264	14.695	914.210
14.735	734.755	14.735	831.493	14.735	911.600
14.775	731.218	14.775	828.597	14.775	907.903
14.815	727.345	14.815	825.057	14.815	904.948
14.855	723.803	14.855	822.294	14.855	902.232
14.895	719.947	14.895	819.535	14.895	899.545
14.935	716.301	14.935	816.533	14.935	895.737
14.975	712.253	14.975	813.190	14.975	892.242
15.015	707.745	15.015	809.835	15.015	888.839
15.055	703.836	15.055	806.476	15.055	884.834
15.095	699.726	15.095	803.170	15.095	881.380
15.135	696.726	15.135	800.133	15.135	877.433
15.175	692.727	15.175	796.871	15.175	873.829
15.215	689.314	15.215	794.564	15.215	870.266
15.255	686.169	15.255	791.910	15.255	866.420
15.295	681.961	15.295	789.110	15.295	862.220
15.335	678.257	15.335	786.861	15.335	858.067
15.375	674.654	15.375	784.451	15.375	854.252
15.415	670.550	15.415	782.599	15.415	850.254
15.455	666.234	15.455	780.150	15.455	846.105
15.495	662.133	15.495	778.046	15.495	841.745
15.536	658.440	15.536	775.945	15.536	838.037
15.576	654.883	15.576	774.949	15.576	833.430
15.616	650.933	15.616	773.847	15.616	828.488
15.656	646.574	15.656	773.094	15.656	824.483
15.696	642.983	15.696	771.840	15.696	820.422
15.736	640.226	15.736	770.842	15.736	816.123
15.776	636.468	15.776	769.694	15.776	811.221
15.816	633.228	15.816	768.741	15.816	806.720
15.856	630.261	15.856	767.739	15.856	802.561
15.896	626.819	15.896	766.743	15.896	798.055
15.936	624.155	15.936	766.300	15.936	793.861
15.976	621.683	15.976	765.584	15.976	789.795
16.016	619.758	16.016	764.494	16.016	785.998
16.056	617.468	16.056	764.147	16.056	781.841
16.096	615.723	16.096	763.486	16.096	778.187
16.136	613.825	16.136	762.232	16.136	773.871
16.176	612.685	16.176	761.269	16.176	770.376
16.216	611.630	16.216	760.167	16.216	765.810
16.256	610.875	16.256	759.238	16.256	762.278
16.296	610.246	16.296	758.800	16.296	758.112
16.336	609.682	16.336	757.908	16.336	754.579
16.376	609.171	16.376	756.671	16.376	750.867
16.416	607.800	16.416	755.573	16.416	746.808
16.456	607.755	16.456	754.170	16.456	743.050
16.496	607.089	16.496	753.434	16.496	738.990
16.537	607.078	16.537	752.833	16.537	735.086
16.577	606.833	16.577	752.134	16.577	731.348
16.617	606.576	16.617	751.500	16.617	726.922
16.657	606.188	16.657	751.600	16.657	723.468
16.697	606.344	16.697	751.844	16.697	719.631
16.737	606.087	16.737	752.057	16.737	715.183
16.777	605.814	16.777	751.900	16.777	711.516
16.817	605.786	16.817	751.486	16.817	707.830
16.857	605.557	16.857	751.857	16.857	703.954
16.897	605.828	16.897	751.757	16.897	700.046
16.937	605.585	16.937	751.814	16.937	696.156
16.977	606.189	16.977	751.826	16.977	692.600
17.017	606.958	17.017	751.384	17.017	688.691
17.057	607.658	17.057	751.816	17.057	685.707
17.097	608.334	17.097	751.526	17.097	682.156
17.137	609.727	17.137	750.765	17.137	678.385
17.177	610.953	17.177	750.723	17.177	675.281
17.217	612.254	17.217	749.706	17.217	671.404
17.257	613.458	17.257	749.081	17.257	668.283
17.297	615.034	17.297	749.141	17.297	665.108
17.337	616.517	17.337	748.940	17.337	662.084
17.377	618.220	17.377	748.601	17.377	658.628
17.417	619.880	17.417	748.100	17.417	655.527
17.457	621.402	17.457	748.101	17.457	651.796
17.497	622.923	17.497	748.681	17.497	648.472
17.538	624.785	17.538	748.359	17.538	645.278
17.578	626.247	17.578	747.840	17.578	641.894
17.618	627.749	17.618	748.339	17.618	638.631
17.658	628.884	17.658	748.600	17.658	636.392
17.698	630.643	17.698	748.361	17.698	634.312
17.738	632.493	17.738	748.216	17.738	632.249
17.778	633.871	17.778	748.362	17.778	630.767
17.818	635.234	17.818	748.662	17.818	628.865
17.858	636.124	17.858	748.576	17.858	626.967
17.898	637.440	17.898	748.575	17.898	625.280
17.938	639.089	17.938	748.175	17.938	623.436
17.978	640.865	17.978	748.214	17.978	621.860
18.018	641.626	18.018	748.463	18.018	620.349
18.058	642.626	18.058	747.958	18.058	617.998
18.098	643.980	18.098	746.765	18.098	616.019
18.138	644.918	18.138	745.964	18.138	614.203
18.178	646.183	18.178	745.073	18.178	613.056
18.218	647.384	18.218	745.127	18.218	611.391
18.258	648.028	18.258	745.236	18.258	609.672
18.298	648.751	18.298	745.264	18.298	608.093
18.338	649.665	18.338	744.935	18.338	606.479
18.378	650.783	18.378	745.194	18.378	605.214
18.418	651.925	18.418	744.709	18.418	604.005
18.458	652.826	18.458	744.600	18.458	602.774
18.498	653.959	18.498	745.396	18.498	601.770
18.539	655.028	18.539	745.107	18.539	600.313
18.579	655.961	18.579	745.595	18.579	599.239
18.619	657.196	18.619	746.500	18.619	598.471
18.659	657.832	18.659	746.532	18.659	597.468
18.699	658.731	18.699	746.433	18.699	596.302
18.739	660.066	18.739	746.767	18.739	595.335
18.779	661.000	18.779	747.701	18.779	594.533
18.819	661.534	18.819	747.833	18.819	594.567
18.859	662.536	18.859	748.436	18.859	594.100
18.899	663.202	18.899	748.802	18.899	593.799
18.939	664.938	18.939	749.842	18.939	594.102
18.979	665.772	18.979	750.403	18.979	595.311
19.019	666.636	19.019	751.204	19.019	597.679
19.059	667.914	19.059	752.300	19.059	599.720
19.099	669.142	19.099	753.574	19.099	601.750
19.139	670.438	19.139	754.275	19.139	604.328
19.179	671.282	19.179	755.794	19.179	606.650
19.219	673.228	19.219	756.907	19.219	609.206
19.259	674.784	19.259	757.608	19.259	611.865
19.299	675.786	19.299	759.255	19.299	614.097
19.339	677.957	19.339	760.515	19.339	617.038
19.379	679.598	19.379	762.029	19.379	619.913
19.419	681.260	19.419	763.797	19.419	623.107
19.459	682.151	19.459	765.389	19.459	625.638
19.499	683.534	19.499	766.481	19.499	628.580
19.540	685.294	19.540	767.736	19.540	631.785
19.580	687.008	19.580	769.738	19.580	634.258
19.620	689.111	19.620	770.726	19.620	637.871
19.660	691.085	19.660	772.270	19.660	640.996
19.700	692.914	19.700	773.686	19.700	644.329
19.740	695.274	19.740	775.130	19.740	647.834
19.780	697.004	19.780	776.903	19.780	651.728
19.820	699.220	19.820	778.504	19.820	655.667
19.860	700.461	19.860	779.906	19.860	659.639
19.900	702.686	19.900	781.705	19.900	664.576
19.940	705.026	19.940	783.181	19.940	669.533
19.980	706.955	19.980	784.637	19.980	674.510
20.020	709.084	20.020	786.258	20.020	679.318
20.060	710.266	20.060	787.856	20.060	684.620
20.100	712.556	20.100	789.314	20.100	690.198
20.140	714.785	20.140	790.962	20.140	695.476
20.180	716.590	20.180	792.517	20.180	700.795
20.220	718.840	20.220	794.293	20.220	706.591
20.260	721.118	20.260	795.943	20.260	712.299
20.300	723.096	20.300	797.173	20.300	718.803
20.340	724.571	20.340	798.696	20.340	724.892
20.380	726.947	20.380	801.024	20.380	730.960
20.420	728.950	20.420	802.750	20.420	737.513
20.460	731.052	20.460	804.502	20.460	743.305
20.501	733.205	20.501	806.806	20.501	749.804
20.541	735.429	20.541	808.881	20.541	756.306
20.581	737.861	20.581	810.203	20.581	762.964
20.621	740.640	20.621	811.764	20.621	769.197
20.661	743.567	20.661	813.082	20.661	775.602
20.701	746.017	20.701	814.857	20.701	782.788
20.741	749.026	20.741	816.644	20.741	789.151
20.781	751.977	20.781	818.421	20.781	796.211
20.821	755.263	20.821	820.248	20.821	803.353
20.861	758.258	20.861	821.709	20.861	809.961
20.901	761.493	20.901	823.065	20.901	817.196
20.941	765.254	20.941	824.655	20.941	824.338
20.981	768.978	20.981	826.367	20.981	832.038
21.021	772.326	21.021	828.137	21.021	838.976
21.061	775.951	21.061	830.838	21.061	847.290
21.101	779.982	21.101	832.606	21.101	854.501
21.141	784.058	21.141	835.002	21.141	862.098
21.181	786.761	21.181	838.099	21.181	870.362
21.221	790.143	21.221	840.622	21.221	878.566
21.261	794.501	21.261	843.588	21.261	886.231
21.301	798.550	21.301	847.111	21.301	893.660
