u1	f1	u2	f2	u3	f3
4.2442	117.7946	4.2442	105.4851	4.2442	104.9943
4.2843	118.0740	4.2843	105.0053	4.2843	104.8891
4.3243	118.1950	4.3243	104.8899	4.3243	104.8106
4.3644	118.4048	4.3644	105.1956	4.3644	104.4899
4.4044	118.0909	4.4044	104.9125	4.4044	104.6951
4.4444	118.6912	4.4444	104.7045	4.4444	104.3094
4.4845	118.1084	4.4845	104.8829	4.4845	104.2045
4.5245	117.8159	4.5245	104.4144	4.5245	104.9872
4.5646	117.7887	4.5646	104.5933	4.5646	104.9000
4.6046	117.2072	4.6046	104.6095	4.6046	104.4068
4.6446	116.7135	4.6446	103.9070	4.6446	104.0037
4.6847	117.5873	4.6847	104.6889	4.6847	104.2965
4.7247	117.6030	4.7247	104.7026	4.7247	103.7000
4.7648	117.2056	4.7648	104.5029	4.7648	103.3061
4.8048	117.2000	4.8048	104.3893	4.8048	103.4943
4.8448	117.0024	4.8448	104.1980	4.8448	103.3000
4.8849	116.7087	4.8849	103.8000	4.8849	103.3000
4.9249	117.0921	4.9249	103.2083	4.9249	103.1955
4.9650	116.6089	4.9650	103.5944	4.9650	103.4896
5.0050	116.1016	5.0050	103.5000	5.0050	103.5038
5.0450	116.1014	5.0450	103.3981	5.0450	103.4000
5.0851	116.3000	5.0851	103.2013	5.0851	103.1010
5.1251	115.8000	5.1251	102.6032	5.1251	102.8013
5.1652	115.8016	5.1652	102.8989	5.1652	102.5011
5.2052	115.3000	5.2052	103.0005	5.2052	102.5000
5.2452	115.4007	5.2452	102.7999	5.2452	102.2003
5.2853	114.3009	5.2853	102.5986	5.2853	101.5014
5.3253	114.8999	5.3253	101.9996	5.3253	102.0984
5.3654	114.5993	5.3654	102.0987	5.3654	101.4992
5.4054	114.3996	5.4054	101.9007	5.4054	101.3001
5.4454	113.7019	5.4454	102.0979	5.4454	101.0010
5.4855	113.8980	5.4855	101.3988	5.4855	101.3016
5.5255	113.2000	5.5255	101.3971	5.5255	101.2951
5.5656	113.0988	5.5656	100.8989	5.5656	100.9991
5.6056	112.5000	5.6056	100.9000	5.6056	100.8944
