u_el	f_el	u_ev	f_ev	u_ep	f_ep
10.845	984.651	11.700	1175.420	10.845	701.361
10.890	987.965	11.790	1182.180	10.890	708.059
10.935	991.299	11.880	1187.730	10.935	714.902
10.980	994.651	11.970	1194.270	10.980	716.982
11.025	998.018	12.060	1198.680	11.025	722.726
11.070	1001.400	12.150	1205.260	11.070	724.778
11.115	1004.780	12.240	1210.670	11.115	731.939
11.160	1008.180	12.330	1218.180	11.160	736.787
11.205	1011.620	12.420	1225.660	11.205	748.682
11.250	1015.100	12.510	1233.780	11.250	750.704
11.295	1018.610	12.600	1241.940	11.295	758.403
11.340	1022.180	12.690	1250.160	11.340	758.081
11.385	1025.800	12.780	1258.670	11.385	765.483
11.430	1029.450	12.870	1267.480	11.430	764.824
11.475	1033.150	12.960	1276.200	11.475	771.833
11.520	1036.890	13.050	1284.850	11.520	765.579
11.565	1040.690	13.140	1293.100	11.565	775.490
11.610	1044.560	13.230	1300.880	11.610	776.449
11.655	1048.450	13.320	1308.160	11.655	780.149
11.700	1052.330	13.410	1315.150	11.700	780.391
11.745	1056.260	13.500	1321.790	11.745	782.822
11.790	1059.910	13.590	1328.430	11.790	783.276
11.835	1063.980	13.680	1334.650	11.835	785.345
11.880	1067.420	13.770	1340.860	11.880	785.258
11.925	1071.760	13.860	1346.660	11.925	786.612
11.970	1074.150	13.950	1352.360	11.970	786.472
12.015	1078.600	14.040	1357.980	12.015	787.310
12.060	1080.750	14.130	1363.320	12.060	786.810
12.105	1085.030	14.220	1368.600	12.105	787.157
12.150	1086.610	14.310	1373.740	12.150	786.096
12.195	1090.740	14.400	1378.690	12.195	786.913
12.240	1092.290	14.490	1383.450	12.240	785.756
12.285	1095.650	14.580	1387.790	12.285	785.484
12.330	1098.360	14.670	1392.700	12.330	784.152
12.375	1101.780	14.760	1396.290	12.375	784.365
12.420	1105.000	14.850	1400.890	12.420	782.480
12.465	1108.200	14.940	1404.130	12.465	782.467
12.510	1111.440	15.030	1408.380	12.510	781.185
12.555	1114.490	15.120	1411.480	12.555	779.655
12.600	1117.730	15.210	1415.390	12.600	777.959
12.645	1120.720	15.300	1418.680	12.645	777.571
12.690	1123.900	15.390	1421.880	12.690	775.413
12.735	1126.730	15.480	1424.950	12.735	774.934
12.780	1129.770	15.570	1427.940	12.780	772.825
12.825	1132.590	15.660	1430.800	12.825	772.036
12.870	1135.090	15.750	1433.560	12.870	769.895
12.915	1138.000	15.840	1436.220	12.915	769.129
12.960	1140.580	15.930	1438.790	12.960	767.163
13.005	1143.670	16.020	1441.320	13.005	765.516
13.050	1146.640	16.110	1443.870	13.050	764.044
13.095	1149.860	16.200	1446.590	13.095	763.518
13.140	1152.990	16.290	1448.880	13.140	761.552
13.185	1156.310	16.380	1451.090	13.185	759.949
13.230	1159.520	16.470	1452.770	13.230	758.383
13.275	1162.810	16.560	1455.100	13.275	758.020
13.320	1166.030	16.650	1456.900	13.320	756.760
13.365	1169.260	16.740	1459.150	13.365	755.150
13.410	1172.420	16.830	1461.130	13.410	754.408
13.455	1175.570	16.920	1463.360	13.455	753.082
13.500	1178.650	17.010	1465.500	13.500	751.760
13.545	1181.710	17.100	1467.930	13.545	749.744
13.590	1184.690	17.190	1470.390	13.590	748.386
13.635	1187.650	17.280	1473.390	13.635	746.674
13.680	1190.550	17.370	1476.740	13.680	745.655
13.725	1193.460	17.460	1480.570	13.725	742.690
13.770	1196.280	17.550	1484.630	13.770	742.610
13.815	1199.100	17.640	1489.620	13.815	740.437
13.860	1201.850	17.730	1495.450	13.860	740.542
